notice_id,notice_title,event_date,file_id,filename,label
1092317,Notice of Public Hearing - Proposed Compensation Increases for Executive Municipal Officers,2026/07/07 07:00 PM,1455867,Notice of Public Hearing - Proposed Compensation Increases 2026.pdf,Public Information Handout
1092777,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/07/07 04:00 PM,1456787,7.07.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1089697,CITY COUNCIL BUSINESS MEETING,2026/06/17 06:00 PM,1450103,6.16.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1088371,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/06/16 04:00 PM,1447655,6.16.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1082005,Notice of Public Hearing on Tentative Budget for Fiscal Year 2026-2027,2026/06/02 07:00 PM,1435637,WST-Cottonwood Heights-Notice of Public Hearing on Tenative Budget for Fiscal Year 2026-2027.pdf,Public Information Handout
1084207,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/06/02 04:00 PM,1439969,6.02.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1077699,Notice of Potential Quorum,2026/05/20 06:00 PM,1427125,PUBLIC NOTICE of POTENTIAL QUORUM for D4 Town Hall Meeting - 5.04.2026.pdf,Public Information Handout
1081414,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/05/19 04:00 PM,1434618,5.19.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1080365,NOTICE OF INTENT TO DISPOSE UNCLAIMED PROPERTY BY THE COTTONWOOD HEIGHTS POLICE DEPARTMENT,2026/05/13 11:30 PM,1432425,NOTICE OF INTENT TO DISPOSE UNCLAIMED PROPERTY BY THE COTTONWOOD HEIGHTS POLICE DEPARTMENT - May 2026.pdf,Public Information Handout
1079403,Notice of Potential Quorum,2026/05/13 06:00 PM,1430853,PUBLIC NOTICE of POTENTIAL QUORUM for Utah Renewable Communities Open House - 5.13.2026.pdf,Public Information Handout
1077399,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/05/05 04:00 PM,1426637,5.05.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
