year,election_type,source_file,sheet,contest,vote_for,precinct,candidate,votes,suppressed,vote_method,times_cast,registered_voters
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p1,Lewiston City Council,1,LEW01:I,CANDIDATE DISQUALIFIED,0,False,Total,231,611
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p1,Lewiston City Council,1,LEW01:I,CANDIDATE DISQUALIFIED,0,False,Total,231,611
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p1,Lewiston City Council,1,LEW01:I,CANDIDATE DISQUALIFIED,0,False,Total,231,611
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p1,Lewiston City Council,1,LEW01:I,CANDIDATE DISQUALIFIED,0,False,Total,231,611
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p2,Lewiston City Council,1,LEW02:I,CANDIDATE DISQUALIFIED,0,False,Total,159,389
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p2,Lewiston City Council,1,LEW02:I,CANDIDATE DISQUALIFIED,0,False,Total,159,389
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p2,Lewiston City Council,1,LEW02:I,CANDIDATE DISQUALIFIED,0,False,Total,159,389
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p2,Lewiston City Council,1,LEW02:I,CANDIDATE DISQUALIFIED,0,False,Total,159,389
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p3,North Logan City Council,2,NLG01:I,JONI KARTCHNER,50,False,Total,174,1402
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p3,North Logan City Council,2,NLG01:I,DARRIN BUTTERY,24,False,Total,174,1402
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p3,North Logan City Council,2,NLG01:I,EMILY SCHMIDT,73,False,Total,174,1402
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p3,North Logan City Council,2,NLG01:I,BRAD CROOKSTON,89,False,Total,174,1402
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p3,North Logan City Council,2,NLG01:I,BRUCE W LEE,69,False,Total,174,1402
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p4,North Logan City Council,2,NLG02:I,JONI KARTCHNER,77,False,Total,223,858
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p4,North Logan City Council,2,NLG02:I,DARRIN BUTTERY,29,False,Total,223,858
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p4,North Logan City Council,2,NLG02:I,EMILY SCHMIDT,149,False,Total,223,858
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p4,North Logan City Council,2,NLG02:I,BRAD CROOKSTON,65,False,Total,223,858
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p4,North Logan City Council,2,NLG02:I,BRUCE W LEE,82,False,Total,223,858
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p5,North Logan City Council,2,NLG03:I,JONI KARTCHNER,85,False,Total,187,851
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p5,North Logan City Council,2,NLG03:I,DARRIN BUTTERY,27,False,Total,187,851
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p5,North Logan City Council,2,NLG03:I,EMILY SCHMIDT,98,False,Total,187,851
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p5,North Logan City Council,2,NLG03:I,BRAD CROOKSTON,70,False,Total,187,851
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p5,North Logan City Council,2,NLG03:I,BRUCE W LEE,63,False,Total,187,851
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p6,North Logan City Council,2,NLG04:I,JONI KARTCHNER,111,False,Total,318,1165
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p6,North Logan City Council,2,NLG04:I,DARRIN BUTTERY,128,False,Total,318,1165
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p6,North Logan City Council,2,NLG04:I,EMILY SCHMIDT,62,False,Total,318,1165
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p6,North Logan City Council,2,NLG04:I,BRAD CROOKSTON,140,False,Total,318,1165
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p6,North Logan City Council,2,NLG04:I,BRUCE W LEE,128,False,Total,318,1165
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p7,North Logan City Council,2,NLG05:I,JONI KARTCHNER,144,False,Total,270,826
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p7,North Logan City Council,2,NLG05:I,DARRIN BUTTERY,48,False,Total,270,826
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p7,North Logan City Council,2,NLG05:I,EMILY SCHMIDT,84,False,Total,270,826
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p7,North Logan City Council,2,NLG05:I,BRAD CROOKSTON,132,False,Total,270,826
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p7,North Logan City Council,2,NLG05:I,BRUCE W LEE,95,False,Total,270,826
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p8,North Logan City Council,2,NLG06:I,JONI KARTCHNER,75,False,Total,154,922
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p8,North Logan City Council,2,NLG06:I,DARRIN BUTTERY,23,False,Total,154,922
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p8,North Logan City Council,2,NLG06:I,EMILY SCHMIDT,75,False,Total,154,922
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p8,North Logan City Council,2,NLG06:I,BRAD CROOKSTON,50,False,Total,154,922
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p8,North Logan City Council,2,NLG06:I,BRUCE W LEE,55,False,Total,154,922
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p9,Smithfield City Council,2,SMI01:I,JAMIE ANDERSON,49,False,Total,236,936
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p9,Smithfield City Council,2,SMI01:I,WADE C. CAMPBELL,130,False,Total,236,936
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p9,Smithfield City Council,2,SMI01:I,BART CALEY,25,False,Total,236,936
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p9,Smithfield City Council,2,SMI01:I,SUE HYER,159,False,Total,236,936
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p9,Smithfield City Council,2,SMI01:I,ANDREW LILLYWHITE,60,False,Total,236,936
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p10,Smithfield City Council,2,SMI02:I,JAMIE ANDERSON,150,False,Total,268,910
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p10,Smithfield City Council,2,SMI02:I,WADE C. CAMPBELL,98,False,Total,268,910
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p10,Smithfield City Council,2,SMI02:I,BART CALEY,49,False,Total,268,910
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p10,Smithfield City Council,2,SMI02:I,SUE HYER,115,False,Total,268,910
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p10,Smithfield City Council,2,SMI02:I,ANDREW LILLYWHITE,83,False,Total,268,910
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p11,Smithfield City Council,2,SMI03:I,JAMIE ANDERSON,104,False,Total,296,1158
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p11,Smithfield City Council,2,SMI03:I,WADE C. CAMPBELL,117,False,Total,296,1158
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p11,Smithfield City Council,2,SMI03:I,BART CALEY,52,False,Total,296,1158
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p11,Smithfield City Council,2,SMI03:I,SUE HYER,143,False,Total,296,1158
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p11,Smithfield City Council,2,SMI03:I,ANDREW LILLYWHITE,126,False,Total,296,1158
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p12,Smithfield City Council,2,SMI04:I,JAMIE ANDERSON,74,False,Total,243,1142
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p12,Smithfield City Council,2,SMI04:I,WADE C. CAMPBELL,90,False,Total,243,1142
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p12,Smithfield City Council,2,SMI04:I,BART CALEY,49,False,Total,243,1142
2021,municipal primary,cache-2021-primary-precinct-summary.pdf,p12,Smithfield City Council,2,SMI04:I,SUE HYER,102,False,Total,243,1142
