year,election,file,url,bytes,sha256,fetched,parsed_into,notes
2006,general,,https://cachecounty.gov/elections/election-results/2006-general-election-results.html,,,no,collection,per-precinct 'SUMMARY REPORT' PDFs (dozens) linked from the year page; countywide SOVC mirrored instead
2006,general,raw/cache-2006-general-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2006/general/GEMS%20SOVC%20REPORT.pdf,3189951,8e960b55451807c531a62e903446e3fa8932e5e04530eb46cd3bcd7e0bffb5bf,yes,not parsed,GEMS era; catalogued
2006,primary,raw/cache-2006-primary-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2006/primary/GEMS%20SOVC%20REPORT.pdf,249386,3e5e0c2bbfb19fcd2be1631905ac3c05259062ffc9fa9128afdecb3495cb04b5,yes,not parsed,GEMS era; catalogued
2007,municipal general,,https://cachecounty.gov/elections/election-results/2007-municipal-election-results.html,,,no,collection,"per-precinct town files (Ama..Wel, Log 1-33) linked from the year page; countywide SOVC + summary mirrored instead"
2007,municipal general,raw/cache-2007-municipal-election-summary.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2007/municipal/ELECTION%20SUMMARY%20REPORT.pdf,41360,e4b8dbdda733c5f2a139bc43481e27848a2b5404a89b2ea68c7a204ce31de225,yes,not parsed,GEMS-era countywide summary; catalogued
2007,municipal general,raw/cache-2007-municipal-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2007/municipal/GEMS%20SOVC%20REPORT.pdf,4618806,67c03e24c13365d2d83f670bffcba71b13b87c2dc1f8d0eafe0cf3f4c6ce30ef,yes,not parsed,"GEMS-era countywide precinct SOVC (incl. Logan, 33 precincts); catalogued for future extension"
2008,general,raw/cache-2008-general-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2008/general/GEMS%20SOVC%20REPORT.pdf,3670089,c024540c2348722fdb637068e9b9b6102fc083c3106dc8b7d11e2feee9e01596,yes,not parsed,GEMS era; catalogued
2008,primary,raw/cache-2008-primary-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2008/primary/GEMS%20SOVC%20REPORT.pdf,232926,5348776bdf8f90c022ab5edf2546b7cd4cc7a576e679726ddf8ca3972aaf4da0,yes,not parsed,GEMS era; catalogued
2008,western states presidential primary,raw/cache-2008-wspp-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2008/WSPP/GEMS%20SOVC%20REPORT.pdf,527127,a5a9513d8f116ded9d58d995aaa701a2745926f5788cbd65414007a06f037ecf,yes,not parsed,GEMS era; catalogued
2009,municipal general,raw/cache-2009-municipal-election.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2009/municipal/Cache%20County%20Municipal%20Election.pdf,49050,18c1423038f337ef9dcb25302245752925a96670bdd61ccfdb0070fd37971f51,yes,not parsed,GEMS-era; catalogued for future extension
