video_id,tab,title,date,date_source,upload_date_raw,is_meeting,body,meeting_kind,in_window_2020_2026,minutes_match,video_url
bamtcFcxOOk,streams,06.23.2026 City Council Regular Meeting/RDA,2026-06-23,title,,True,Council+RDA,Regular,True,False,https://www.youtube.com/watch?v=bamtcFcxOOk
2v8DOalnjVM,streams,06.23.2026 City Council Study Session,2026-06-23,title,,True,Council,Study,True,False,https://www.youtube.com/watch?v=2v8DOalnjVM
wT7FrymT1gw,streams,06.09.2026 City Council Regular Meeting/RDA/BA,2026-06-09,title,,True,Council+RDA+BA,Regular,True,True,https://www.youtube.com/watch?v=wT7FrymT1gw
KRQWs5GAzoo,streams,06.09.2026 City Council Study Session,2026-06-09,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=KRQWs5GAzoo
bkQNNdumJJk,streams,05.26.2026 City Council Regular Meeting/RDA/BA,2026-05-26,title,,True,Council+RDA+BA,Regular,True,True,https://www.youtube.com/watch?v=bkQNNdumJJk
0VYHMXdGzG8,streams,05.26.2026 City Council Study Session,2026-05-26,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=0VYHMXdGzG8
MHJbZz5wvXo,streams,05.12.2026 City Council Regular Meeting,2026-05-12,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=MHJbZz5wvXo
U5QxnF8_m0w,streams,05.12.2026 City Council Study Session,2026-05-12,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=U5QxnF8_m0w
H-a2FSb7F10,streams,04.28.2026 City Council Regular Meeting,2026-04-28,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=H-a2FSb7F10
KRalDq1At_Y,streams,04.28.2026 City Council Study Session,2026-04-28,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=KRalDq1At_Y
mPrj_FhDiKY,streams,04.14.2026 City Council Regular Meeting,2026-04-14,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=mPrj_FhDiKY
s_zz3LzrVlw,streams,04.14.2026 City Council Study Session,2026-04-14,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=s_zz3LzrVlw
1M43SO3qCm4,streams,03.24.2026 City Council Regular Meeting,2026-03-24,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=1M43SO3qCm4
MVAjiW4WvgY,streams,03.24.2026 City Council Study Session,2026-03-24,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=MVAjiW4WvgY
8eyZ9VHmRKk,streams,03.10.2026 City Council Regular Meeting,2026-03-10,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=8eyZ9VHmRKk
j3cnzl7cr0k,streams,03.10.2026 City Council Study Session,2026-03-10,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=j3cnzl7cr0k
tGC82wmytrE,streams,02.24.2026 City Council Regular Meeting,2026-02-24,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=tGC82wmytrE
CiHBTTo88kQ,streams,02.24.2026 City Council Study Session,2026-02-24,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=CiHBTTo88kQ
U9Rg6F3cqgk,streams,02.20.2026 City Council Budget Retreat Day 2,2026-02-20,title,,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=U9Rg6F3cqgk
NDhLt-p8-Ug,streams,02.20.2026 City Council Budget Retreat Day 2,2026-02-20,title,,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=NDhLt-p8-Ug
zNRTBrdPvJk,streams,02.20.2026 City Council Budget Retreat Day 2,2026-02-20,title,,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=zNRTBrdPvJk
hLlYpyd_za8,streams,02.19.2026 City Council Budget Retreat Day 1,2026-02-19,title,,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=hLlYpyd_za8
SuVQjF1pP-8,streams,02.19.2026 City Council Budget Retreat Day 1,2026-02-19,title,,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=SuVQjF1pP-8
z2De0e4Bcqo,streams,02.10.2026 City Council Regular Meeting,2026-02-10,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=z2De0e4Bcqo
F7koK85dt2Y,streams,02.10.2026 City Council Study Session,2026-02-10,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=F7koK85dt2Y
3iXGws7-ql8,streams,01.27.2026 City Council Regular Meeting,2026-01-27,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=3iXGws7-ql8
TcIskS901wM,streams,01.27.2025 City Council Study Meeting,2025-01-27,title,,True,Council,Study,True,False,https://www.youtube.com/watch?v=TcIskS901wM
YsdQ2hWglzg,streams,01.20.2025 City Council / Planning Commission Special Meeting,2025-01-20,title,,True,Council,Special,True,False,https://www.youtube.com/watch?v=YsdQ2hWglzg
bXCdGJHpyeA,streams,1.13.2025 City Council Regular Meeting,2025-01-13,title,,True,Council,Regular,True,False,https://www.youtube.com/watch?v=bXCdGJHpyeA
YZ6UovNdBoA,streams,1.13.2025 City Council Study Meeting,2025-01-13,title,,True,Council,Study,True,False,https://www.youtube.com/watch?v=YZ6UovNdBoA
WihOlDqGX3o,streams,1.5.2025 City Council Oath of Office Ceremony,2025-01-05,title,,True,Council,OathOfOffice,True,False,https://www.youtube.com/watch?v=WihOlDqGX3o
JPsSF3r6rqk,streams,Professional Standards Review Board (PSRB),,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=JPsSF3r6rqk
ptNrHE3z0sg,streams,12.09.2025 City Council Regular Meeting,2025-12-09,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=ptNrHE3z0sg
Dpp8fML5Xos,streams,12.09.2025 City Council Study Meeting,2025-12-09,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=Dpp8fML5Xos
FQKntiBBASc,streams,11.25.2025 City Council Regular Meeting,2025-11-25,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=FQKntiBBASc
V_e8cKyKyiI,streams,11.25.2025 City Council Study Meeting,2025-11-25,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=V_e8cKyKyiI
KoK_Jswv7NM,streams,11.18.2025 City Council Regular Meeting and Special Redevelopment Agency Meeting,2025-11-18,title,,True,Council+RDA,Special,True,True,https://www.youtube.com/watch?v=KoK_Jswv7NM
XqzvAecH1yM,streams,11.18.2025 City Council Study Meeting,2025-11-18,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=XqzvAecH1yM
vb69wWA6pWQ,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=vb69wWA6pWQ
QmYCrB0IyCE,streams,10.28.2025 City Council Regular Meeting,2025-10-28,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=QmYCrB0IyCE
JM-qEyzsNt4,streams,10.28.2025 City Council Regular Meeting,2025-10-28,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=JM-qEyzsNt4
hQ_dmld6RrQ,streams,10.28.2025 City Council Study Meeting,2025-10-28,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=hQ_dmld6RrQ
iJrPl4uMA6U,streams,10.14.2025 City Council and Municipal Building Authority Meetings,2025-10-14,title,,True,Council+BA,Regular,True,True,https://www.youtube.com/watch?v=iJrPl4uMA6U
C-i6gtqcDzE,streams,10.14.2025 City Council Study Meeting,2025-10-14,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=C-i6gtqcDzE
Ov1xCwhV0FE,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=Ov1xCwhV0FE
Ydg7Q9iK72I,streams,09.23.2025 City Council Regular Meeting,2025-09-23,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=Ydg7Q9iK72I
CydpZ1azx7Q,streams,09.23.2025 City Council Study Meeting,2025-09-23,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=CydpZ1azx7Q
n5DQ-Yb6F1o,streams,09.16.2025 City Council Special Meeting,2025-09-16,title,,True,Council,Special,True,True,https://www.youtube.com/watch?v=n5DQ-Yb6F1o
EabvTwQneTA,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=EabvTwQneTA
npdbaHD174s,streams,09.09.2025 City Council Regular Meeting,2025-09-09,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=npdbaHD174s
tA3gHjRqQIM,streams,09.09.2025 City Council Study Meeting,2025-09-09,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=tA3gHjRqQIM
uQDkmToMy5c,streams,08.26.2025 City Council Regular Meeting,2025-08-26,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=uQDkmToMy5c
dCtyYV7moZY,streams,08.26.2025 City Council Study Meeting,2025-08-26,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=dCtyYV7moZY
9l3FCAhtdbk,streams,08.19.2025 City Council Special Meeting,2025-08-19,title,,True,Council,Special,True,True,https://www.youtube.com/watch?v=9l3FCAhtdbk
rtO5cphzYhk,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=rtO5cphzYhk
NV9oKy4qDAQ,streams,08.12.2025 City Council Regular Meeting,2025-08-12,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=NV9oKy4qDAQ
NK14gRxEjr0,streams,08.12.2025 City Council Study Meeting,2025-08-12,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=NK14gRxEjr0
K5ohWps7Fn0,streams,07.22.2025 City Council Regular Meeting/ Special HA Meeting,2025-07-22,title,,True,Council+HA,Special,True,True,https://www.youtube.com/watch?v=K5ohWps7Fn0
HSL8Yg4rPeg,streams,07.22.2025 City Council Study Meeting,2025-07-22,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=HSL8Yg4rPeg
E3bNWT0h76M,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=E3bNWT0h76M
3QSUwOP5tb4,streams,07.08.2025 City Council Regular Meeting,2025-07-08,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=3QSUwOP5tb4
VL2JvKvnUho,streams,07.08.2025 City Council Study Meeting,2025-07-08,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=VL2JvKvnUho
Sr_fqLcBxtM,streams,06.24.2025 City Council Regular Meeting,2025-06-24,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=Sr_fqLcBxtM
ddltk7ivNKw,streams,06.24.2025 City Council Study Meeting,2025-06-24,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=ddltk7ivNKw
GE9N-rcfUes,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=GE9N-rcfUes
n3Pe0Jzrf2Y,streams,"06.10.2025 City Council, RDA, HA, BA Regular Meetings",2025-06-10,title,,True,Council+RDA+BA+HA,Regular,True,True,https://www.youtube.com/watch?v=n3Pe0Jzrf2Y
Y-Qtc1fkalU,streams,06.10.2025 City Council Study Meeting,2025-06-10,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=Y-Qtc1fkalU
xJ3SMHrtDZ0,streams,05.27.2025 City Council Regular Meeting,2025-05-27,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=xJ3SMHrtDZ0
9zZeV286d0I,streams,05.27.2025 City Council Study Meeting,2025-05-27,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=9zZeV286d0I
UBr2uxYf0Oo,streams,05.13.2025 City Council Regular Meeting,2025-05-13,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=UBr2uxYf0Oo
335BZ3HNLNM,streams,05.13.2025 City Council Study Meeting,2025-05-13,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=335BZ3HNLNM
CJUDx7yvOnQ,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=CJUDx7yvOnQ
Fg6aLGIz3dU,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=Fg6aLGIz3dU
9YQLGCJRPhg,streams,"05.06.2025 City Council, RDA, HA, and BA Regular Meetings",2025-05-06,title,,True,Council+RDA+BA+HA,Regular,True,True,https://www.youtube.com/watch?v=9YQLGCJRPhg
k8Or9kMHOq4,streams,05.06.2025 City Council Study Meeting,2025-05-06,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=k8Or9kMHOq4
zRmlN4b6GSk,streams,04.22.2025 City Council Regular Meeting,2025-04-22,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=zRmlN4b6GSk
2epqAWM09Z4,streams,04.22.2025 City Council Study Meeting,2025-04-22,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=2epqAWM09Z4
JCUziyK6pU0,streams,04.08.2025 City Council Regular Meeting,2025-04-08,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=JCUziyK6pU0
S2RX5FXV-rU,streams,04.08.2025 City Council Study Meeting,2025-04-08,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=S2RX5FXV-rU
9rQCdlQX5Ag,streams,"March 25, 2025 City Council Regular Meeting",2025-03-25,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=9rQCdlQX5Ag
ntQYoRfpYcA,streams,"March 25, 2025 City Council Study Meeting",2025-03-25,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=ntQYoRfpYcA
6XY7RHSY_LU,streams,"March 18, 2025 City Council Special Meeting",2025-03-18,title,,True,Council,Special,True,True,https://www.youtube.com/watch?v=6XY7RHSY_LU
bEVmsfu1XmA,streams,"March 11, 2025 City Council Regular Meeting",2025-03-11,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=bEVmsfu1XmA
4A1W4G7eBdo,streams,"March 11, 2025 City Council Study Meeting",2025-03-11,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=4A1W4G7eBdo
MU8CfpqVM2c,streams,02.25.2025 City Council Regular Meeting,2025-02-25,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=MU8CfpqVM2c
jnFyn9kLEzQ,streams,02.25.2025 City Council Study Meeting,2025-02-25,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=jnFyn9kLEzQ
2vQHLWwu-vQ,streams,2025 Annual Budget Retreat (Day Two),2025-02-23,upload_date_approx,2025-02-23,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=2vQHLWwu-vQ
4Jmajd3rjDk,streams,2025 Annual Budget Retreat (Day Two),2025-02-23,upload_date_approx,2025-02-23,True,Council,BudgetRetreat,True,False,https://www.youtube.com/watch?v=4Jmajd3rjDk
mTc8PGe5-wc,streams,02.11.2025 City Council Regular Meeting,2025-02-11,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=mTc8PGe5-wc
00q1wMSru18,streams,02.11.2025 City Council Study Meeting,2025-02-11,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=00q1wMSru18
X9NubdEtCFU,streams,01.28.2025 City Council Regular Meeting,2025-01-28,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=X9NubdEtCFU
OtTGwN4cIVI,streams,01.28.2025 City Council Study Meeting,2025-01-28,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=OtTGwN4cIVI
InNtSabxbgI,streams,"01.14.2025 City Council Regular Meeting and Annual HA, BA, RDA Meetings",2025-01-14,title,,True,Council+RDA+BA+HA,Regular,True,True,https://www.youtube.com/watch?v=InNtSabxbgI
tkSyGPgAKXA,streams,01.14.2025 City Council Study Meeting,2025-01-14,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=tkSyGPgAKXA
1F_g4BcGkUg,streams,Professional Standards Review Board (PSRB) - Public Meeting,,,,False,NonMeeting,,False,False,https://www.youtube.com/watch?v=1F_g4BcGkUg
lcf28kIvQwQ,streams,12.10.2024 City Council Regular Meeting,2024-12-10,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=lcf28kIvQwQ
UJY0stKw8JM,streams,12.10.2024 City Council Study Meeting,2024-12-10,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=UJY0stKw8JM
BDjY7xrjU5U,streams,11.26.2024 City Council Regular Meeting,2024-11-26,title,,True,Council,Regular,True,True,https://www.youtube.com/watch?v=BDjY7xrjU5U
Vm9905b5pKY,streams,11.26.2024 City Council Study Meeting,2024-11-26,title,,True,Council,Study,True,True,https://www.youtube.com/watch?v=Vm9905b5pKY
