date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,meeting_kind,minutes_match,date_source,raw_path
2026-06-23,06.23.2026 City Council Regular Meeting/RDA,Council+RDA,https://www.youtube.com/watch?v=bamtcFcxOOk,bamtcFcxOOk,asr,https://www.youtube.com/watch?v=bamtcFcxOOk,2026-07-06,caption,yt-dlp_auto_sub,text/2026-06-23_council-regular-meeting.md,Regular,False,title,raw/2026-06-23_council-regular-meeting.en.vtt
2026-06-23,06.23.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=2v8DOalnjVM,2v8DOalnjVM,asr,https://www.youtube.com/watch?v=2v8DOalnjVM,2026-07-06,na,mapped_not_fetched,,Study,False,title,
2026-06-09,06.09.2026 City Council Regular Meeting/RDA/BA,Council+RDA+BA,https://www.youtube.com/watch?v=wT7FrymT1gw,wT7FrymT1gw,asr,https://www.youtube.com/watch?v=wT7FrymT1gw,2026-07-06,caption,yt-dlp_auto_sub,text/2026-06-09_council-regular-meeting.md,Regular,True,title,raw/2026-06-09_council-regular-meeting.en.vtt
2026-06-09,06.09.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=KRQWs5GAzoo,KRQWs5GAzoo,asr,https://www.youtube.com/watch?v=KRQWs5GAzoo,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-05-26,05.26.2026 City Council Regular Meeting/RDA/BA,Council+RDA+BA,https://www.youtube.com/watch?v=bkQNNdumJJk,bkQNNdumJJk,asr,https://www.youtube.com/watch?v=bkQNNdumJJk,2026-07-06,caption,yt-dlp_auto_sub,text/2026-05-26_council-regular-meeting.md,Regular,True,title,raw/2026-05-26_council-regular-meeting.en.vtt
2026-05-26,05.26.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=0VYHMXdGzG8,0VYHMXdGzG8,asr,https://www.youtube.com/watch?v=0VYHMXdGzG8,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-05-12,05.12.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=U5QxnF8_m0w,U5QxnF8_m0w,asr,https://www.youtube.com/watch?v=U5QxnF8_m0w,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-05-12,05.12.2026 City Council Regular Meeting,Council,https://www.youtube.com/watch?v=MHJbZz5wvXo,MHJbZz5wvXo,asr,https://www.youtube.com/watch?v=MHJbZz5wvXo,2026-07-06,caption,yt-dlp_auto_sub,text/2026-05-12_council-regular-meeting.md,Regular,True,title,raw/2026-05-12_council-regular-meeting.en.vtt
2026-04-28,04.28.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=KRalDq1At_Y,KRalDq1At_Y,asr,https://www.youtube.com/watch?v=KRalDq1At_Y,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-04-28,04.28.2026 City Council Regular Meeting,Council,https://www.youtube.com/watch?v=H-a2FSb7F10,H-a2FSb7F10,asr,https://www.youtube.com/watch?v=H-a2FSb7F10,2026-07-06,caption,yt-dlp_auto_sub,text/2026-04-28_council-regular-meeting.md,Regular,True,title,raw/2026-04-28_council-regular-meeting.en.vtt
2026-04-14,04.14.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=s_zz3LzrVlw,s_zz3LzrVlw,asr,https://www.youtube.com/watch?v=s_zz3LzrVlw,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-04-14,04.14.2026 City Council Regular Meeting,Council,https://www.youtube.com/watch?v=mPrj_FhDiKY,mPrj_FhDiKY,asr,https://www.youtube.com/watch?v=mPrj_FhDiKY,2026-07-06,caption,yt-dlp_auto_sub,text/2026-04-14_council-regular-meeting.md,Regular,True,title,raw/2026-04-14_council-regular-meeting.en.vtt
2026-03-24,03.24.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=MVAjiW4WvgY,MVAjiW4WvgY,asr,https://www.youtube.com/watch?v=MVAjiW4WvgY,2026-07-06,na,mapped_not_fetched,,Study,True,title,
2026-03-24,03.24.2026 City Council Regular Meeting,Council,https://www.youtube.com/watch?v=1M43SO3qCm4,1M43SO3qCm4,asr,https://www.youtube.com/watch?v=1M43SO3qCm4,2026-07-06,caption,yt-dlp_auto_sub,text/2026-03-24_council-regular-meeting.md,Regular,True,title,raw/2026-03-24_council-regular-meeting.en.vtt
2026-03-10,03.10.2026 City Council Study Session,Council,https://www.youtube.com/watch?v=j3cnzl7cr0k,j3cnzl7cr0k,asr,https://www.youtube.com/watch?v=j3cnzl7cr0k,2026-07-06,na,mapped_not_fetched,,Study,True,title,
