city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
provo,District 1,plan_2022,2023-01-01,,geo/precincts.geojson,Ordinance 2022-13 (ref 22-003),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,CURRENT post-2020-census boundaries. Ordinance 2022-13 (ref 22-003) adopted 2022-03-29 (contested 4:3 map-selection vote); minutes made it effective end-of-2022 for the 2023 elections. geometry_ref carries COUNCIL_DISTRICT per precinct (Provo City GIS layer).
provo,District 1,plan_2012,2020-01-01,2023-01-01,,"prior map (2012 redistricting cycle, per Provo City Code §2.01.050)",,low,"historical boundaries not yet acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. The 2012-cycle used a different numeric precinct scheme (§2.01.050 codes 301/302…) that does NOT reconcile with the current 25PR## codes, and the county published no precinct SOVC for the odd-year-B (D1/3/4) contests — so old geometry is not reconstructable from data on disk. effective_start = data floor."
provo,District 2,plan_2022,2023-01-01,,geo/precincts.geojson,Ordinance 2022-13 (ref 22-003),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,CURRENT post-2020-census boundaries. Ordinance 2022-13 (ref 22-003) adopted 2022-03-29 (contested 4:3 map-selection vote); minutes made it effective end-of-2022 for the 2023 elections. geometry_ref carries COUNCIL_DISTRICT per precinct (Provo City GIS layer).
provo,District 2,plan_2012,2020-01-01,2023-01-01,,"prior map (2012 redistricting cycle, per Provo City Code §2.01.050)",,low,"historical boundaries not yet acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. The 2012-cycle used a different numeric precinct scheme (§2.01.050 codes 301/302…) that does NOT reconcile with the current 25PR## codes, and the county published no precinct SOVC for the odd-year-B (D1/3/4) contests — so old geometry is not reconstructable from data on disk. effective_start = data floor."
provo,District 3,plan_2022,2023-01-01,,geo/precincts.geojson,Ordinance 2022-13 (ref 22-003),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,CURRENT post-2020-census boundaries. Ordinance 2022-13 (ref 22-003) adopted 2022-03-29 (contested 4:3 map-selection vote); minutes made it effective end-of-2022 for the 2023 elections. geometry_ref carries COUNCIL_DISTRICT per precinct (Provo City GIS layer).
provo,District 3,plan_2012,2020-01-01,2023-01-01,,"prior map (2012 redistricting cycle, per Provo City Code §2.01.050)",,low,"historical boundaries not yet acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. The 2012-cycle used a different numeric precinct scheme (§2.01.050 codes 301/302…) that does NOT reconcile with the current 25PR## codes, and the county published no precinct SOVC for the odd-year-B (D1/3/4) contests — so old geometry is not reconstructable from data on disk. effective_start = data floor."
provo,District 4,plan_2022,2023-01-01,,geo/precincts.geojson,Ordinance 2022-13 (ref 22-003),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,CURRENT post-2020-census boundaries. Ordinance 2022-13 (ref 22-003) adopted 2022-03-29 (contested 4:3 map-selection vote); minutes made it effective end-of-2022 for the 2023 elections. geometry_ref carries COUNCIL_DISTRICT per precinct (Provo City GIS layer).
provo,District 4,plan_2012,2020-01-01,2023-01-01,,"prior map (2012 redistricting cycle, per Provo City Code §2.01.050)",,low,"historical boundaries not yet acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. The 2012-cycle used a different numeric precinct scheme (§2.01.050 codes 301/302…) that does NOT reconcile with the current 25PR## codes, and the county published no precinct SOVC for the odd-year-B (D1/3/4) contests — so old geometry is not reconstructable from data on disk. effective_start = data floor."
provo,District 5,plan_2022,2023-01-01,,geo/precincts.geojson,Ordinance 2022-13 (ref 22-003),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,CURRENT post-2020-census boundaries. Ordinance 2022-13 (ref 22-003) adopted 2022-03-29 (contested 4:3 map-selection vote); minutes made it effective end-of-2022 for the 2023 elections. geometry_ref carries COUNCIL_DISTRICT per precinct (Provo City GIS layer).
provo,District 5,plan_2012,2020-01-01,2023-01-01,,"prior map (2012 redistricting cycle, per Provo City Code §2.01.050)",,low,"historical boundaries not yet acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. The 2012-cycle used a different numeric precinct scheme (§2.01.050 codes 301/302…) that does NOT reconcile with the current 25PR## codes, and the county published no precinct SOVC for the odd-year-B (D1/3/4) contests — so old geometry is not reconstructable from data on disk. effective_start = data floor."
provo,Citywide,citywide,2020-01-01,,geo/precincts.geojson,Provo City Code (at-large / mayor — whole city),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,"Citywide I & II at-large council seats: represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of all precinct polygons (city extent)."
provo,MAYOR,citywide,2020-01-01,,geo/precincts.geojson,Provo City Code (at-large / mayor — whole city),https://gispublicweb.provo.org/ArcGIS/rest/services/Council/Council_Districts/FeatureServer/1,high,"separately-elected Mayor: represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of all precinct polygons (city extent)."
