date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,duration_sec,tab,date_source
2018-08-28,Cottonwood Heights City Council Meeting 8-28-18 #1 (ASR transcript),Council,https://www.youtube.com/watch?v=A-iy1MJn3qY,A-iy1MJn3qY,asr,https://www.youtube.com/watch?v=A-iy1MJn3qY,2026-07-13,na,mapped_not_fetched,,4947,streams,title_mdy
2018-08-28,Cottonwood Heights City Council Meeting 8-28-18 #2 (ASR transcript),Council,https://www.youtube.com/watch?v=J6Rn3ZRwf2Y,J6Rn3ZRwf2Y,asr,https://www.youtube.com/watch?v=J6Rn3ZRwf2Y,2026-07-13,na,mapped_not_fetched,,927,streams,title_mdy
2018-08-28,Cottonwood Heights City Council Meeting 8-28-18 #3 (ASR transcript),Council,https://www.youtube.com/watch?v=umgJCy36SQs,umgJCy36SQs,asr,https://www.youtube.com/watch?v=umgJCy36SQs,2026-07-13,na,mapped_not_fetched,,3796,streams,title_mdy
2018-08-28,Cottonwood Heights City Council Meeting 8-28-18 #4 (ASR transcript),Council,https://www.youtube.com/watch?v=BgEs_0CxkZo,BgEs_0CxkZo,asr,https://www.youtube.com/watch?v=BgEs_0CxkZo,2026-07-13,caption,"yt-dlp --write-auto-sub (YouTube ASR auto-captions), cleaned to text/",raw/2018-08-28_BgEs_0CxkZo.en.vtt,2794,streams,title_mdy
2018-10-09,Cottonwood Heights City Council Work Session 10-9-18 (part 1) (ASR transcript),Council,https://www.youtube.com/watch?v=vkQTFkHB4ok,vkQTFkHB4ok,asr,https://www.youtube.com/watch?v=vkQTFkHB4ok,2026-07-13,na,mapped_not_fetched,,5327,streams,title_mdy
2018-10-09,Cottonwood Heights City Council Work Session 10-9-18 (part 2) (ASR transcript),Council,https://www.youtube.com/watch?v=yhgvchF0gco,yhgvchF0gco,asr,https://www.youtube.com/watch?v=yhgvchF0gco,2026-07-13,na,mapped_not_fetched,,745,streams,title_mdy
2018-12-18,Cottonwood Heights City Council Meeting - Work Session 12-18-18 (ASR transcript),Council,https://www.youtube.com/watch?v=qgFO5psr6Fs,qgFO5psr6Fs,asr,https://www.youtube.com/watch?v=qgFO5psr6Fs,2026-07-13,na,mapped_not_fetched,,5251,streams,title_mdy
2019-02-05,Cottonwood Heights City Council Business Meeting 2-5-19 (ASR transcript),Council,https://www.youtube.com/watch?v=KsvT--sZzqI,KsvT--sZzqI,asr,https://www.youtube.com/watch?v=KsvT--sZzqI,2026-07-13,na,mapped_not_fetched,,5232,streams,title_mdy
2019-02-05,Cottonwood Heights City Council Work Session - Part 1  2-5-19 (ASR transcript),Council,https://www.youtube.com/watch?v=QZXy5C4m0JM,QZXy5C4m0JM,asr,https://www.youtube.com/watch?v=QZXy5C4m0JM,2026-07-13,na,mapped_not_fetched,,7019,streams,title_mdy
2019-02-05,Cottonwood Heights City Council Work Session - Part 2  2-5-19 (ASR transcript),Council,https://www.youtube.com/watch?v=pVCs8IldtDc,pVCs8IldtDc,asr,https://www.youtube.com/watch?v=pVCs8IldtDc,2026-07-13,na,mapped_not_fetched,,1971,streams,title_mdy
