date,date_source,body,is_meeting,video_id,video_url,title,duration_sec,tab
2026-07-07,title_iso,Council,yes,4ZCNYch3k1M,https://www.youtube.com/watch?v=4ZCNYch3k1M,2026-07-07 Council Business Meeting,2297,streams
2026-07-07,title_iso,Council,yes,xQIGv0y8foE,https://www.youtube.com/watch?v=xQIGv0y8foE,2026-07-07 Council Work Session,7495,streams
2026-07-01,title_iso,PlanningCommission,yes,jjSO25lG300,https://www.youtube.com/watch?v=jjSO25lG300,2026-07-01 Planning Commission Business Session,4515,streams
2026-07-01,title_iso,PlanningCommission,yes,x8liX2MV9UE,https://www.youtube.com/watch?v=x8liX2MV9UE,2026-07-01 Planning Commission Work Session,3218,streams
2026-06-16,title_iso,Council,yes,RL4JXp4hKYM,https://www.youtube.com/watch?v=RL4JXp4hKYM,2026-06-16 Council Business Session,3678,streams
2026-06-16,title_iso,Council,yes,LgC4nEEnC5c,https://www.youtube.com/watch?v=LgC4nEEnC5c,2026-06-16 Council Work Session,10227,streams
2026-06-03,title_iso,PlanningCommission,yes,iYEAva79qTs,https://www.youtube.com/watch?v=iYEAva79qTs,2026-06-03 Planning Commission Business Session,6083,streams
2026-06-03,title_iso,PlanningCommission,yes,0Rr4MmSADjU,https://www.youtube.com/watch?v=0Rr4MmSADjU,2026-06-03 Planning Commission Work Session,3503,streams
2026-06-03,title_iso,NonMeeting,no,d0Nkt3W6Ti4,https://www.youtube.com/watch?v=d0Nkt3W6Ti4,2026-06-03 Administrative Hearing,853,streams
2026-06-02,title_iso,Council,yes,JnPd8iDdtyM,https://www.youtube.com/watch?v=JnPd8iDdtyM,2026-06-02 Council Business Meeting,1890,streams
2026-06-02,title_iso,Council,yes,TbE1uf7xTIY,https://www.youtube.com/watch?v=TbE1uf7xTIY,2026-06-02 Council Work Session,7627,streams
2025-05-19,title_iso,Council,yes,mtjUhlP5XO4,https://www.youtube.com/watch?v=mtjUhlP5XO4,2025-05-19 Council Business Session,11224,streams
2026-05-19,title_iso,Council,yes,5C7zLE6zCe8,https://www.youtube.com/watch?v=5C7zLE6zCe8,2026-05-19 Council Work Session,9592,streams
2026-05-13,title_iso,NonMeeting,no,SOR9qt9qvII,https://www.youtube.com/watch?v=SOR9qt9qvII,2026-05-13 CED Appeals Hearing,1696,streams
2026-05-06,title_iso,PlanningCommission,yes,10Bz24cT42M,https://www.youtube.com/watch?v=10Bz24cT42M,2026-05-06 Planning Commission Business Session,2890,streams
2026-05-06,title_iso,PlanningCommission,yes,ABQYSE9ygAI,https://www.youtube.com/watch?v=ABQYSE9ygAI,2026-05-06 Planning Commission Work Session,4386,streams
2026-05-05,title_iso,Council,yes,X3rl666muCs,https://www.youtube.com/watch?v=X3rl666muCs,2026-05-05 Council Business Meeting,3888,streams
2026-05-05,title_iso,Council,yes,fJ5suJyOXBs,https://www.youtube.com/watch?v=fJ5suJyOXBs,2026-05-05 Council Work Session,7246,streams
2026-04-29,title_iso,NonMeeting,no,iCCWPnr9rjY,https://www.youtube.com/watch?v=iCCWPnr9rjY,2026-04-29 CED Appeals Hearing,1348,streams
2026-04-21,title_iso,Council,yes,ObQTQ_By-v4,https://www.youtube.com/watch?v=ObQTQ_By-v4,2026-04-21 Council Business Session,4930,streams
2026-04-21,title_iso,Council,yes,iC5jUacCvls,https://www.youtube.com/watch?v=iC5jUacCvls,2026-04-21 Council Work Session,9159,streams
2026-04-08,title_iso,NonMeeting,no,X1UCNF1ZL3A,https://www.youtube.com/watch?v=X1UCNF1ZL3A,2026-04-08 CED Appeals Hearing,2137,streams
2026-04-07,title_iso,Council,yes,l8AQlaORanI,https://www.youtube.com/watch?v=l8AQlaORanI,2026-04-07 Council Business Meeting,1997,streams
2026-04-07,title_iso,Council,yes,RhGhXPiJYIA,https://www.youtube.com/watch?v=RhGhXPiJYIA,2026-04-07 Council Work Session,9035,streams
2026-04-01,title_iso,PlanningCommission,yes,6ZCp_2msxQM,https://www.youtube.com/watch?v=6ZCp_2msxQM,2026-04-01 Planning Commission Business Session,3305,streams
2026-04-01,title_iso,PlanningCommission,yes,TDh5GS3cTRc,https://www.youtube.com/watch?v=TDh5GS3cTRc,2026-04-01 Planning Commission Work Session,4388,streams
2026-03-04,title_iso,PlanningCommission,yes,f07JBn3YR4w,https://www.youtube.com/watch?v=f07JBn3YR4w,2026-03-04 Planning Commission Business Session,3748,streams
2026-03-04,title_iso,PlanningCommission,yes,vmyk0hIXqvA,https://www.youtube.com/watch?v=vmyk0hIXqvA,2026-03-04 Planning Commission Work Session,4355,streams
