meeting_date,body,meeting_type,source_file,provenance
2015-01-06,Board of Commissioners,regular,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-13,Board of Commissioners,regular,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-20,Board of Commissioners,regular,legislative/minutes/2015/2015-01-20_commission.md,county_portal
2015-01-27,Board of Commissioners,regular,legislative/minutes/2015/2015-01-27_commission.md,county_portal
2015-02-03,Board of Commissioners,regular,legislative/minutes/2015/2015-02-03_commission.md,county_portal
2015-02-17,Board of Commissioners,regular,legislative/minutes/2015/2015-02-17_commission.md,county_portal
2015-03-03,Board of Commissioners,regular,legislative/minutes/2015/2015-03-03_commission.md,county_portal
2015-03-10,Board of Commissioners,regular,legislative/minutes/2015/2015-03-10_commission.md,county_portal
2015-03-24,Board of Commissioners,regular,legislative/minutes/2015/2015-03-24_commission.md,county_portal
2015-04-07,Board of Commissioners,regular,legislative/minutes/2015/2015-04-07_commission.md,county_portal
2015-04-14,Board of Commissioners,regular,legislative/minutes/2015/2015-04-14_commission.md,county_portal
2015-04-21,Board of Commissioners,regular,legislative/minutes/2015/2015-04-21_commission.md,county_portal
2015-04-28,Board of Commissioners,regular,legislative/minutes/2015/2015-04-28_commission.md,county_portal
2015-05-05,Board of Commissioners,regular,legislative/minutes/2015/2015-05-05_commission.md,county_portal
2015-05-12,Board of Commissioners,regular,legislative/minutes/2015/2015-05-12_commission.md,county_portal
2015-05-19,Board of Commissioners,regular,legislative/minutes/2015/2015-05-19_commission.md,county_portal
2015-06-02,Board of Commissioners,regular,legislative/minutes/2015/2015-06-02_commission.md,county_portal
2015-06-09,Board of Commissioners,regular,legislative/minutes/2015/2015-06-09_commission.md,county_portal
2015-06-16,Board of Commissioners,regular,legislative/minutes/2015/2015-06-16_commission.md,county_portal
2015-06-23,Board of Commissioners,regular,legislative/minutes/2015/2015-06-23_commission.md,county_portal
2015-06-30,Board of Commissioners,regular,legislative/minutes/2015/2015-06-30_commission.md,county_portal
2015-07-07,Board of Commissioners,regular,legislative/minutes/2015/2015-07-07_commission.md,county_portal
2015-07-14,Board of Commissioners,regular,legislative/minutes/2015/2015-07-14_commission.md,county_portal
2015-07-21,Board of Commissioners,regular,legislative/minutes/2015/2015-07-21_commission.md,county_portal
2015-07-28,Board of Commissioners,regular,legislative/minutes/2015/2015-07-28_commission.md,county_portal
2015-08-04,Board of Commissioners,regular,legislative/minutes/2015/2015-08-04_commission.md,county_portal
2015-08-11,Board of Commissioners,regular,legislative/minutes/2015/2015-08-11_commission.md,county_portal
2015-08-18,Board of Commissioners,regular,legislative/minutes/2015/2015-08-18_commission.md,county_portal
2015-08-25,Board of Commissioners,regular,legislative/minutes/2015/2015-08-25_commission.md,county_portal
2015-09-01,Board of Commissioners,regular,legislative/minutes/2015/2015-09-01_commission.md,county_portal
2015-09-08,Board of Commissioners,regular,legislative/minutes/2015/2015-09-08_commission.md,county_portal
2015-09-15,Board of Commissioners,regular,legislative/minutes/2015/2015-09-15_commission.md,county_portal
2015-09-29,Board of Commissioners,regular,legislative/minutes/2015/2015-09-29_commission.md,county_portal
2015-10-06,Board of Commissioners,regular,legislative/minutes/2015/2015-10-06_commission.md,county_portal
2015-10-13,Board of Commissioners,regular,legislative/minutes/2015/2015-10-13_commission.md,county_portal
2015-10-20,Board of Commissioners,regular,legislative/minutes/2015/2015-10-20_commission.md,county_portal
2015-10-27,Board of Commissioners,regular,legislative/minutes/2015/2015-10-27_commission.md,county_portal
2015-11-03,Board of Commissioners,regular,legislative/minutes/2015/2015-11-03_commission.md,county_portal
2015-11-10,Board of Commissioners,regular,legislative/minutes/2015/2015-11-10_commission.md,county_portal
2015-11-17,Board of Commissioners,regular,legislative/minutes/2015/2015-11-17_commission.md,county_portal
2015-11-24,Board of Commissioners,regular,legislative/minutes/2015/2015-11-24_commission.md,county_portal
2015-12-01,Board of Commissioners,regular,legislative/minutes/2015/2015-12-01_commission.md,county_portal
2015-12-08,Board of Commissioners,regular,legislative/minutes/2015/2015-12-08_commission.md,county_portal
2015-12-22,Board of Commissioners,regular,legislative/minutes/2015/2015-12-22_commission.md,county_portal
2016-01-05,Board of Commissioners,regular,legislative/minutes/2016/2016-01-05_commission.md,county_portal
2016-01-12,Board of Commissioners,regular,legislative/minutes/2016/2016-01-12_commission.md,county_portal
2016-01-19,Board of Commissioners,regular,legislative/minutes/2016/2016-01-19_commission.md,county_portal
2016-01-26,Board of Commissioners,regular,legislative/minutes/2016/2016-01-26_commission.md,county_portal
2016-02-02,Board of Commissioners,regular,legislative/minutes/2016/2016-02-02_commission.md,county_portal
2016-02-09,Board of Commissioners,regular,legislative/minutes/2016/2016-02-09_commission.md,county_portal
2016-02-16,Board of Commissioners,regular,legislative/minutes/2016/2016-02-16_commission.md,county_portal
2016-02-23,Board of Commissioners,regular,legislative/minutes/2016/2016-02-23_commission.md,county_portal
2016-03-01,Board of Commissioners,regular,legislative/minutes/2016/2016-03-01_commission.md,county_portal
2016-03-08,Board of Commissioners,regular,legislative/minutes/2016/2016-03-08_commission.md,county_portal
2016-03-22,Board of Commissioners,regular,legislative/minutes/2016/2016-03-22_commission.md,county_portal
2016-03-29,Board of Commissioners,regular,legislative/minutes/2016/2016-03-29_commission.md,county_portal
2016-04-12,Board of Commissioners,regular,legislative/minutes/2016/2016-04-12_commission.md,county_portal
2016-04-19,Board of Commissioners,regular,legislative/minutes/2016/2016-04-19_commission.md,county_portal
2016-04-26,Board of Commissioners,regular,legislative/minutes/2016/2016-04-26_commission.md,county_portal
2016-05-03,Board of Commissioners,regular,legislative/minutes/2016/2016-05-03_commission.md,county_portal
2016-05-10,Board of Commissioners,regular,legislative/minutes/2016/2016-05-10_commission.md,county_portal
2016-05-17,Board of Commissioners,regular,legislative/minutes/2016/2016-05-17_commission.md,county_portal
2016-05-24,Board of Commissioners,regular,legislative/minutes/2016/2016-05-24_commission.md,county_portal
2016-05-31,Board of Commissioners,regular,legislative/minutes/2016/2016-05-31_commission.md,county_portal
2016-06-07,Board of Commissioners,regular,legislative/minutes/2016/2016-06-07_commission.md,county_portal
2016-06-14,Board of Commissioners,regular,legislative/minutes/2016/2016-06-14_commission.md,county_portal
2016-06-21,Board of Commissioners,regular,legislative/minutes/2016/2016-06-21_commission.md,county_portal
2016-06-28,Board of Commissioners,regular,legislative/minutes/2016/2016-06-28_commission.md,county_portal
2016-07-05,Board of Commissioners,regular,legislative/minutes/2016/2016-07-05_commission.md,county_portal
2016-07-06,Board of Commissioners,work_session,legislative/minutes/2016/2016-07-06_commission.md,county_portal
2016-07-12,Board of Commissioners,regular,legislative/minutes/2016/2016-07-12_commission.md,county_portal
2016-07-13,Board of Commissioners,work_session,legislative/minutes/2016/2016-07-13_commission.md,county_portal
2016-07-19,Board of Commissioners,regular,legislative/minutes/2016/2016-07-19_commission.md,county_portal
2016-07-26,Board of Commissioners,regular,legislative/minutes/2016/2016-07-26_commission.md,county_portal
2016-08-02,Board of Commissioners,regular,legislative/minutes/2016/2016-08-02_commission.md,county_portal
2016-08-09,Board of Commissioners,regular,legislative/minutes/2016/2016-08-09_commission.md,county_portal
2016-08-15,Board of Commissioners,regular,legislative/minutes/2016/2016-08-15_commission.md,county_portal
2016-08-23,Board of Commissioners,regular,legislative/minutes/2016/2016-08-23_commission.md,county_portal
2016-08-30,Board of Commissioners,regular,legislative/minutes/2016/2016-08-30_commission.md,county_portal
2016-09-06,Board of Commissioners,regular,legislative/minutes/2016/2016-09-06_commission.md,county_portal
2016-09-13,Board of Commissioners,regular,legislative/minutes/2016/2016-09-13_commission.md,county_portal
2016-09-20,Board of Commissioners,regular,legislative/minutes/2016/2016-09-20_commission.md,county_portal
2016-09-27,Board of Commissioners,regular,legislative/minutes/2016/2016-09-27_commission.md,county_portal
2016-10-04,Board of Commissioners,regular,legislative/minutes/2016/2016-10-04_commission.md,county_portal
2016-10-11,Board of Commissioners,regular,legislative/minutes/2016/2016-10-11_commission.md,county_portal
2016-10-18,Board of Commissioners,regular,legislative/minutes/2016/2016-10-18_commission.md,county_portal
2016-10-25,Board of Commissioners,regular,legislative/minutes/2016/2016-10-25_commission.md,county_portal
2016-11-01,Board of Commissioners,regular,legislative/minutes/2016/2016-11-01_commission.md,county_portal
2016-11-08,Board of Commissioners,regular,legislative/minutes/2016/2016-11-08_commission.md,county_portal
2016-11-15,Board of Commissioners,regular,legislative/minutes/2016/2016-11-15_commission.md,county_portal
2016-11-22,Board of Commissioners,regular,legislative/minutes/2016/2016-11-22_commission.md,county_portal
2016-11-29,Board of Commissioners,regular,legislative/minutes/2016/2016-11-29_commission.md,county_portal
2016-12-13,Board of Commissioners,regular,legislative/minutes/2016/2016-12-13_commission.md,county_portal
2016-12-20,Board of Commissioners,regular,legislative/minutes/2016/2016-12-20_commission.md,county_portal
2017-01-03,Board of Commissioners,regular,legislative/minutes/2017/2017-01-03_commission.md,county_portal
2017-01-10,Board of Commissioners,regular,legislative/minutes/2017/2017-01-10_commission.md,county_portal
2017-01-17,Board of Commissioners,regular,legislative/minutes/2017/2017-01-17_commission.md,county_portal
2017-01-24,Board of Commissioners,regular,legislative/minutes/2017/2017-01-24_commission.md,county_portal
2017-01-31,Board of Commissioners,regular,legislative/minutes/2017/2017-01-31_commission.md,county_portal
2017-02-07,Board of Commissioners,regular,legislative/minutes/2017/2017-02-07_commission.md,county_portal
2017-02-14,Board of Commissioners,regular,legislative/minutes/2017/2017-02-14_commission.md,county_portal
2017-02-21,Board of Commissioners,regular,legislative/minutes/2017/2017-02-21_commission.md,county_portal
2017-02-28,Board of Commissioners,regular,legislative/minutes/2017/2017-02-28_commission.md,county_portal
2017-03-07,Board of Commissioners,regular,legislative/minutes/2017/2017-03-07_commission.md,county_portal
2017-03-14,Board of Commissioners,regular,legislative/minutes/2017/2017-03-14_commission.md,county_portal
2017-03-28,Board of Commissioners,regular,legislative/minutes/2017/2017-03-28_commission.md,county_portal
2017-04-04,Board of Commissioners,regular,legislative/minutes/2017/2017-04-04_commission.md,county_portal
2017-04-11,Board of Commissioners,regular,legislative/minutes/2017/2017-04-11_commission.md,county_portal
2017-04-18,Board of Commissioners,regular,legislative/minutes/2017/2017-04-18_commission.md,county_portal
2017-04-25,Board of Commissioners,regular,legislative/minutes/2017/2017-04-25_commission.md,county_portal
2017-05-02,Board of Commissioners,regular,legislative/minutes/2017/2017-05-02_commission.md,county_portal
2017-05-09,Board of Commissioners,regular,legislative/minutes/2017/2017-05-09_commission.md,county_portal
2017-05-16,Board of Commissioners,regular,legislative/minutes/2017/2017-05-16_commission.md,county_portal
2017-05-23,Board of Commissioners,regular,legislative/minutes/2017/2017-05-23_commission.md,county_portal
2017-05-30,Board of Commissioners,regular,legislative/minutes/2017/2017-05-30_commission.md,county_portal
2017-06-06,Board of Commissioners,regular,legislative/minutes/2017/2017-06-06_commission.md,county_portal
2017-06-13,Board of Commissioners,regular,legislative/minutes/2017/2017-06-13_commission.md,county_portal
2017-06-20,Board of Commissioners,regular,legislative/minutes/2017/2017-06-20_commission.md,county_portal
2017-06-27,Board of Commissioners,regular,legislative/minutes/2017/2017-06-27_commission.md,county_portal
2017-07-11,Board of Commissioners,regular,legislative/minutes/2017/2017-07-11_commission.md,county_portal
2017-07-18,Board of Commissioners,regular,legislative/minutes/2017/2017-07-18_commission.md,county_portal
2017-07-25,Board of Commissioners,regular,legislative/minutes/2017/2017-07-25_commission.md,county_portal
2017-08-01,Board of Commissioners,regular,legislative/minutes/2017/2017-08-01_commission.md,county_portal
2017-08-08,Board of Commissioners,regular,legislative/minutes/2017/2017-08-08_commission.md,county_portal
2017-08-15,Board of Commissioners,regular,legislative/minutes/2017/2017-08-15_commission.md,county_portal
2017-08-22,Board of Commissioners,regular,legislative/minutes/2017/2017-08-22_commission.md,county_portal
2017-08-29,Board of Commissioners,regular,legislative/minutes/2017/2017-08-29_commission.md,county_portal
2017-09-05,Board of Commissioners,regular,legislative/minutes/2017/2017-09-05_commission.md,county_portal
2017-09-12,Board of Commissioners,regular,legislative/minutes/2017/2017-09-12_commission.md,county_portal
2017-09-19,Board of Commissioners,regular,legislative/minutes/2017/2017-09-19_commission.md,county_portal
