meeting_date,motion_no,motion_text,mover,seconder,result_raw,outcome,stage,names_recorded,n_aye,n_nay,source_file,provenance
2015-01-06,1,Commissioner Bell moved to approve the consent items; Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,2,Commissioner Ebert moved to appoint Commissioner Gibson as Chair and Commissioner Bell as Vice Chair to the Weber County Commission for 2015; Commissioner Bell seconded.,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,3,"Commissioner Bell moved to approve Contract C2015-2, Interlocal Agreement with Morgan County ratifying the creation of Weber Human Services to provide a variety of human services on a cooperative basis; Commissioner Ebert seconded.",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,4,"Commissioner Bell moved to adopt Resolution 1-2015 providing notice of intent to appoint Robert Hunter (to represent aging, term expiring 12/31/2016) and Julie Southwick (to represent substance abuse, term expiring 12/31/2018) to the Weber Human Services Governing Board; Commissioner Ebert seconded.",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,5,"Commissioner Bell moved to adopt Resolution 2-2015 appointing the following members to the Fair Board: Glenda Lee, Susan Clontz, Betty Barrow, Larry Hansen, Mayor Bruce Higley and Lora Parker; Commissioner Ebert seconded.",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,6,Commissioner Bell moved to adopt Resolution 3-2015 appointing Lisa Galvez to the Golden Spike Event Center Advisory Board (term expiring 12/31/2017); Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,7,Commissioner Bell moved to adopt Resolution 4-2015 reappointing Ken Johnson and Dave Holmstrom to the Weber/Morgan Health Department; Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,8,"Commissioner Bell moved to adopt Resolution 5-2015 appointing Mayor Willard Cragun (term expiring 12/2018), Mayor Toby Mileski (term expiring 12/2018), Commissioner James Ebert (term expiring 12/2018), and Leonard Call (term expiring 12/2016) to the Weber Area Dispatch 911 and Emergency Services District Administrative Control Board; Commissioner Ebert seconded.",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,9,Commissioner Ebert moved to adopt Resolution 6-2015 reappointing Gary Newman and Tommy Smith to the Roy Water Conservancy District (terms expiring 1/1/2019); Commissioner Bell seconded.,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,10,"Commissioner Ebert moved to approve Contract C2015-3 with EDA Architects, Inc. for professional services for renovation of the North Branch Library; Commissioner Bell seconded.",Ebert,Bell,Commissioner Gibson – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-06,11,Commissioner Ebert moved to adjourn at 10:53 a.m.; Commissioner Bell seconded.,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye.,Pass,,1,3,0,legislative/minutes/2015/2015-01-06_commission.md,county_portal
2015-01-13,1,Commissioner Ebert moved to approve the consent items; Commissioner Bell seconded,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,2,Commissioner Bell moved to adopt Resolution 7-2015 appointing Commissioner James Ebert as the county representative to the Weber County Mosquito Abatement District Board; Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,3,Commissioner Bell moved to adopt Resolution 8-2015 approving participation of Weber Human Services in the Utah Counties Indemnity Pool as a separate county-related entity member; Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,4,Commissioner Ebert moved to adopt Resolution 9-2015 confirming the appointment of Robert Hunter and Julie Southwick to the Board of Directors of Weber Human Services; Commissioner Bell seconded.,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,5,"Commissioner Ebert moved to approve Contract C2015-4, Economic Development Agreement with SCREID, LLC; Commissioner Bell seconded",Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,6,Commissioner Bell moved to approve Contract C2015-5 with Commercial Mechanical for HVAC preventative maintenance for the Weber Center; Commissioner Ebert seconded,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,7,"Commissioner Bell moved to approve Contract C2015-6, Zoning Development Agreement associated with a previously and conditionally approved request (ZMA#2014-01) to rezone certain Powder Mountain property to the Ogden Valley Destination and Recreation Resort Zone; Commissioner Ebert seconded",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,8,Commissioner Bell moved to convene a closed meeting to discuss strategy relating to pending or imminent litigation; Commissioner Ebert seconded.,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson – aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-13,9,Commissioner Bell moved to adjourn; Commissioner Ebert seconded,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-13_commission.md,county_portal
2015-01-20,1,"Commissioner Bell moved to approve the consent items, removing a portion of item D.4 and the item D.5 from the consent calendar and placing them under Action Items; Commissioner Ebert seconded",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-20_commission.md,county_portal
2015-01-20,2,"Commissioner Bell moved to refund $2,523.29 for parcels 12-093-0012, 13, 14, 15 and 12-093-0035; Commissioner Ebert seconded.",Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-20_commission.md,county_portal
2015-01-20,3,"Commissioner Ebert moved to approve Contract C2015-8, Real Estate Sales Agreement, and the Quit Claim Deed for parcel #04-024-0002; Commissioner Bell seconded.",Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-20_commission.md,county_portal
2015-01-20,4,Commissioner Bell moved to approve Contract C2015-9 with Walkabout Events for a Clinton Anderson Walkabout 2-day clinic at the Golden Spike Event Center on 2/14-15/2015; Commissioner Ebert seconded,Bell,Ebert,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-20_commission.md,county_portal
2015-01-20,5,Commissioner Ebert moved to approve Contracts C2015-10 through C2015-12 with Acorn Productions for antique shows/sales at the Golden Spike Event Center as listed; Commissioner Bell seconded,Ebert,Bell,Commissioner Bell – aye; Commissioner Ebert – aye; Chair Gibson - aye,Pass,,1,3,0,legislative/minutes/2015/2015-01-20_commission.md,county_portal
