meeting_date,motion_no,ref_type,ref_number,verbatim
2015-01-06,4,resolution,1-2015,Resolution 1-2015
2015-01-06,5,resolution,2-2015,Resolution 2-2015
2015-01-06,6,resolution,3-2015,Resolution 3-2015
2015-01-06,7,resolution,4-2015,Resolution 4-2015
2015-01-06,8,resolution,5-2015,Resolution 5-2015
2015-01-06,9,resolution,6-2015,Resolution 6-2015
2015-01-13,2,resolution,7-2015,Resolution 7-2015
2015-01-13,3,resolution,8-2015,Resolution 8-2015
2015-01-13,4,resolution,9-2015,Resolution 9-2015
2015-01-20,8,resolution,10-2015,Resolution 10-2015
2015-01-20,9,resolution,11-2015,Resolution 11-2015
2015-01-20,10,resolution,12-2015,Resolution 12-2015
2015-01-20,11,ordinance,2015-1,Ordinance 2015-1
2015-01-20,12,resolution,13-2015,Resolution 13-2015
2015-01-20,13,resolution,14-2015,Resolution 14-2015
2015-01-27,2,resolution,15-2015,Resolution 15-2015
2015-01-27,3,resolution,16-2015,Resolution 16-2015
2015-02-03,2,resolution,17-2015,Resolution 17-2015
2015-02-17,5,resolution,18-2015,Resolution 18-2015
2015-02-17,10,ordinance,2015-2,Ordinance 2015-2
2015-02-17,13,ordinance,2015-3,Ordinance 2015-3
2015-03-03,2,resolution,19-2015,Resolution 19-2015
2015-03-03,3,resolution,20-2015,Resolution 20-2015
2015-03-10,2,resolution,21-2015,Resolution 21-2015
2015-03-10,3,resolution,22-2015,Resolution 22-2015
2015-04-07,5,resolution,23-2015,Resolution 23-2015
2015-04-07,10,resolution,24-2015,Resolution 24-2015
2015-04-07,11,resolution,25-2015,Resolution 25-2015
2015-04-07,12,resolution,25-2015,Resolution 25-2015
2015-04-14,6,resolution,26-2015,Resolution 26-2015
2015-04-21,4,resolution,27-2015,Resolution 27-2015
2015-04-21,5,resolution,27-2015,Resolution 27-2015
2015-04-21,8,resolution,28-2015,Resolution 28-2015
2015-04-28,2,ordinance,2015-4,Ordinance 2015-4
2015-04-28,3,ordinance,2015-4,Ordinance 2015-4
2015-04-28,4,ordinance,2015-5,Ordinance 2015-5
2015-04-28,5,ordinance,2015-5,Ordinance 2015-5
2015-05-05,2,ordinance,2015-6,Ordinance 2015-6
2015-05-05,3,ordinance,2015-6,Ordinance 2015-6
2015-05-05,9,ordinance,2015-7,Ordinance 2015-7
2015-05-05,10,ordinance,2015-8,Ordinance 2015-8
2015-06-02,1,ordinance,2015-11,Ordinance 2015-11
2015-06-23,4,resolution,29-2015,Resolution 29-2015
2015-06-23,5,resolution,30-2015,Resolution 30-2015
2015-06-23,6,resolution,31-2015,Resolution 31-2015
2015-06-23,10,resolution,32-2015,Resolution 32-2015
2015-06-23,11,resolution,32-2015,Resolution 32-2015
2015-06-30,7,ordinance,2015-12,Ordinance 2015-12
2015-07-21,2,resolution,33-2015,Resolution 33-2015
2015-08-11,2,resolution,34-2015,Resolution 34-2015
2015-08-18,2,resolution,35-2015,Resolution 35-2015
2015-08-25,10,ordinance,2015-13,Ordinance 2015-13
2015-08-25,11,ordinance,C2015-14,Ordinance C2015-14
2015-08-25,12,ordinance,C2015-14,Ordinance C2015-14
2015-09-01,8,resolution,36-2015,Resolution 36-2015
2015-09-01,9,resolution,36-2015,Resolution 36-2015
2015-09-08,2,ordinance,2015-16,Ordinance 2015-16
2015-09-08,5,resolution,37-2015,Resolution 37-2015
2015-09-29,7,resolution,38-2015,Resolution 38-2015
2015-09-29,8,resolution,38-2015,Resolution 38-2015
2015-10-06,2,ordinance,2015-17,Ordinance 2015-17
2015-10-06,3,resolution,39-2015,Resolution 39-2015
2015-10-06,3,ordinance,2015-17,Ordinance 2015-17
2015-10-27,5,resolution,40-2015,Resolution 40-2015
2015-10-27,6,resolution,41-2015,Resolution 41-2015
2015-11-03,5,resolution,42-2015,Resolution 42-2015
2015-11-03,6,resolution,43-2015,Resolution 43-2015
