lastname_key,full_name
(excused),James  H. Harvey (excused)
(horace),Gage Froerer (Horace)
(jasper),James  H. Harvey (Jasper)
bell,Matthew G Bell
bolos,Sharon Bolos
chair,Vice Chair
county,temporary County
ebert,James Ebert
excused,James Ebert. Kerry W. Gibson was excused
excused),Sharon Bolos (Gage Froerer is excused)
froerer,Gage Froerer
gibson,Kerry W. Gibson
gibson;,Chair; Kerry W. Gibson;
harvey,Jim Harvey
harvey`,James  H. Harvey`
jenkins,Scott K. Jenkins
phone),James  H. Harvey (via phone)
portion,Kerry W. Gibson. Jim Harvey was excused for the first portion
telephone,James Ebert. Kerry W. Gibson participated via telephone
telephone),Kerry W. Gibson (via telephone)
telephonically,Kerry W. Gibson. Jim Harvey participated telephonically
the,Kerry W. Gibson & Matthew G Bell. James Ebert was excused for the first portion of the
wilkinson,Sean Wilkinson
zoom),Sharon Bolos (attended via Zoom)
