layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
County Zoning - Base Districts,Countywide base zoning districts for unincorporated Cache County (the authoritative zoning map).,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning/MapServer/1,ArcGIS MapServer,live service (v10.91 server),Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,"THE countywide zoning layer for unincorporated land. Sublayer 1=Base Districts, sublayer 0=Overlay Districts (29). Query narrowly; MapServer (draw/query, no bulk export)."
County Zoning - Overlay Districts,"Zoning overlay districts (airport, sensitive-area, landfill, etc.) over the base zoning.",Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,29 overlay polygons. Pair with Base Districts (sublayer 1).
Historical Zoning,Prior zoning-district geometries (zoning change history).,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning_Historical/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Zoning_Historical/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,Track zoning change over time; pair with Rezones_Historical.
Future Land Use,Future land-use designations from the county General Plan.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Future_Land_Use/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Future_Land_Use/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,20 future-land-use polygons - the General Plan land-use vision as geography.
Subdivisions,Recorded subdivision boundaries in unincorporated Cache County.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Subdivisions/FeatureServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Subdivisions/FeatureServer/0,ArcGIS FeatureServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,"2,794 subdivisions. The residential-lotting growth record; FeatureServer supports geojson/csv export by query."
Annexation History,Municipal annexations affecting county land over time.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Annexation_History/FeatureServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Annexation_History/FeatureServer/0,ArcGIS FeatureServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,611 annexation polygons - land moving from county to city jurisdiction.
Historical Rezones,Historical rezone actions as geography.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Rezones_Historical/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Rezones_Historical/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,"Spatial complement to the land_use/ rezone motions - who rezoned what, where."
Land-Use Project Polygons,"Footprints of land-use application projects (rezones, CUPs, subdivisions, developments).",Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/PZ_New/LUProjectsPolys/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/PZ_New/LUProjectsPolys/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,"1,367 land-use project polygons - the spatial development-application layer (the county has no tabular dev-app log; this is the geographic proxy)."
Building Footprints,Building footprint polygons countywide.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Buildings/FeatureServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Buildings/FeatureServer/0,ArcGIS FeatureServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,"69,306 footprints - built-form / density analysis."
Year Built,Parcel/structure year-built values.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/PZ_New/YearBuilt/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/PZ_New/YearBuilt/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Housing-age / development-timing surface.
