date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,agenda_internal_id,content_length_bytes,size_mb,stored_locally,doc_class,fetch_status,sha256,text_path,text_chars
2020-01-08,"January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01082020-703,2026-07-13,text,pdftotext_raw,,703,34070367,34.07,no,,ok,0bd154e1b185e0ffcb656d82cf4ae2763b0879be575ea458f939b301c646c10c,text/pc_2020-01-08_packet_703.txt,488873
2020-01-15,"City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01152020-706,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,706,106787900,106.79,no,,,,,
2020-01-29,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01292020-710,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,710,2223293,2.22,no,,,,,
2020-02-05,"Planning Commission Regular Meeting Agenda and Packet - February 5, 2020",PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02052020-713,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,713,2440420,2.44,no,,,,,
2020-02-12,***AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02122020-714,2026-07-13,text,pdftotext,,714,6985990,6.99,no,,ok,4e8d1f625c5bb831a2c20d7c1133903bae22a48dd4435a1852afc87c26a218e9,text/council_2020-02-12_packet_714.txt,514598
2020-02-26,"City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02262020-725,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,725,14155256,14.16,no,,,,,
2020-03-04,Planning Commission Regular Meeting Agenda and Packet,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03042020-728,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,728,9544835,9.54,no,,,,,
2020-03-11,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03112020-731,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,731,15282031,15.28,no,,,,,
2020-04-01,City Council Electronic Meeting Agenda and Packet,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04012020-737,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,737,96582,0.1,no,,,,,
2020-04-08,"City Council, LBA & RDA Combined Electronic Meeting Agenda and Packet",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04082020-739,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,739,3714838,3.71,no,,,,,
2020-04-15,Planning Commission Electronic Meeting Agenda and Packet,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04152020-747,2026-07-13,text,pdftotext,,747,11792979,11.79,no,,ok,b1a967d89bb16e9b2045391481828b5e9e8762c853a2e645aafad10b43e3cdd2,text/pc_2020-04-15_packet_747.txt,173828
2020-04-22,City Council Electronic Meeting Agenda Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04222020-749,2026-07-13,text,pdftotext,,749,19363555,19.36,no,,ok,40ed159b0046e3fd76fe3c377c5aaad483c21c842c7ce670d9f98404e1461fe4,text/council_2020-04-22_packet_749.txt,400442
2020-05-06,Planning Commission Electronic Meeting Agenda Packet,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05062020-752,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,752,2700744,2.7,no,,,,,
2020-05-13,City Council and Planning Commission Special Joint Electronic Meeting Agenda Packet (PDF),Council,special,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05132020-756,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,756,7773969,7.77,no,,,,,
2020-05-13,City Council Electronic Meeting Agenda Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05132020-757,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,757,11774938,11.77,no,,,,,
2020-05-19,City Council Special Electronic Meeting Agenda Packet PDF,Council,special,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05192020-764,2026-07-13,text,pdftotext,,764,238351,0.24,no,,ok,33eb0e88a34c4397efb158f5103efeb4b9e94ca30440ba734dfaf310ae8da7ed,text/council_2020-05-19_packet_764.txt,18377
2020-05-20,Planning Commission Electronic Meeting Agenda Packet,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05202020-762,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,762,1695343,1.7,no,,,,,
2020-05-27,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05272020-766,2026-07-13,text,pdftotext,,766,1241685,1.24,no,,ok,8a8e9a10e0f6fa7c774aa5d5a45adb7f020d4583ef1520a70013a6868479760a,text/council_2020-05-27_packet_766.txt,86319
2020-06-10,"AMENDED City Council, LBA & RDA Combined Meeting Agenda Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06102020-777,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,777,5727781,5.73,no,,,,,
2020-06-17,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06172020-780,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,780,11517784,11.52,no,,,,,
2020-06-24,"***AMENDED City Council, LBA & RDA Combined Meeting Agenda Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06242020-782,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,782,1360929,1.36,no,,,,,
2020-07-15,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07152020-787,2026-07-13,text,pdftotext,,787,402897,0.4,no,,ok,6d73410fafb1526487a20b8bafbd72533c60c7b4000a2f340a10d38fdf68df54,text/pc_2020-07-15_packet_787.txt,145560
2020-07-22,***AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07222020-790,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,790,6119628,6.12,no,,,,,
2020-08-19,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_08192020-799,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,799,14760488,14.76,no,,,,,
2020-08-26,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_08262020-802,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,802,15413083,15.41,no,,,,,
