date,bodycode,body_name,file_id,notice_id,orig_filename,saved_name
2020-01-21,council,City Council,572397,582964,CC Minutes 1-21-2020.pdf,2020-01-21__council__CC-Minutes-1-21-2020.pdf
2020-01-21,rda,Redevelopment Agency,572399,582763,RDA Minutes 1-21-2020.pdf,2020-01-21__rda__RDA-Minutes-1-21-2020.pdf
2021-01-19,council,City Council,694077,651629,CC Minutes 1-19-2021.pdf,2021-01-19__council__CC-Minutes-1-19-2021.pdf
2021-01-19,rda,Redevelopment Agency,694041,651631,RDA Minutes 1-19-2021.pdf,2021-01-19__rda__RDA-Minutes-1-19-2021.pdf
2022-01-18,council,City Council,810853,728801,CC Minutes 1-18-2022001.pdf,2022-01-18__council__CC-Minutes-1-18-2022001.pdf
2023-01-17,council,City Council,941597,805949,CC Minutes 1-17-23001.pdf,2023-01-17__council__CC-Minutes-1-17-23001.pdf
2023-01-17,rda,Redevelopment Agency,947683,805959,RDA Minutes 1-17-2023001.pdf,2023-01-17__rda__RDA-Minutes-1-17-2023001.pdf
2023-03-30,council,City Council,968981,820997,CC Minutes 3-30-2023 Budget Retreat001.pdf,2023-03-30__council__CC-Minutes-3-30-2023-Budget-Retreat001.pdf
2023-06-20,council,City Council,1001505,840597,CC Minutes 6-20-2023001.pdf,2023-06-20__council__CC-Minutes-6-20-2023001.pdf
2023-06-20,rda,Redevelopment Agency,1008869,840591,RDA Minutes 6-20-2023001.pdf,2023-06-20__rda__RDA-Minutes-6-20-2023001.pdf
2024-02-20,council,City Council,1097525,893757,CC Minutes 2-20-2024.pdf,2024-02-20__council__CC-Minutes-2-20-2024.pdf
2024-02-20,rda,Redevelopment Agency,1097533,893759,RDA Minutes 2-20-2024.pdf,2024-02-20__rda__RDA-Minutes-2-20-2024.pdf
2024-02-27,council,City Council,1097529,895531,CC Special Meeting Minutes 2-27-2024.pdf,2024-02-27__council__CC-Special-Meeting-Minutes-2-27-2024.pdf
2024-03-12,council,City Council,1103645,898007,CC Minutes 3-12-2024.pdf,2024-03-12__council__CC-Minutes-3-12-2024.pdf
2024-03-12,rda,Redevelopment Agency,1103649,898013,RDA Minutes 3-12-2024.pdf,2024-03-12__rda__RDA-Minutes-3-12-2024.pdf
2024-05-07,council,City Council,1131957,910767,CC Minutes 5-7-2024.pdf,2024-05-07__council__CC-Minutes-5-7-2024.pdf
2024-05-07,rda,Redevelopment Agency,1140753,910759,RDA Minutes 5-7-2024.pdf,2024-05-07__rda__RDA-Minutes-5-7-2024.pdf
2024-05-07,mba,Municipal Building Authority,1204845,910761,MBA Minutes 5-7-2024.pdf.pdf,2024-05-07__mba__MBA-Minutes-5-7-2024.pdf
2024-05-21,council,City Council,1131955,914489,CC Minutes 5-21-2024.pdf,2024-05-21__council__CC-Minutes-5-21-2024.pdf
2024-05-21,rda,Redevelopment Agency,1140759,914469,RDA Minutes 5-21-2024.pdf,2024-05-21__rda__RDA-Minutes-5-21-2024.pdf
2024-06-18,council,City Council,1149461,921139,CC Minutes 6-18-2024.pdf,2024-06-18__council__CC-Minutes-6-18-2024.pdf
2024-06-18,rda,Redevelopment Agency,1149241,921141,RDA Minutes 6-18-2024.pdf,2024-06-18__rda__RDA-Minutes-6-18-2024.pdf
2024-08-06,rda,Redevelopment Agency,1165967,930475,RDA Minutes 8-6-2024.pdf,2024-08-06__rda__RDA-Minutes-8-6-2024.pdf
2025-06-03,council,City Council,1290349,998391,CC Minutes 6-3-2025.pdf,2025-06-03__council__CC-Minutes-6-3-2025.pdf
2025-06-03,rda,Redevelopment Agency,1299325,998399,RDA Minutes 6-3-2025.pdf,2025-06-03__rda__RDA-Minutes-6-3-2025.pdf
