body,body_name,event_date,notice_id,title,file_id,filename,type_label,minutes_like
753,City Council,2026-07-21,1094259,Midvale City Council Notice of Public Hearing,1459195,CC Notice - 7-21-2026.pdf,Other,False
753,City Council,2026-07-07,1093171,Midvale City Council Meeting,1457403,CC Agenda 7-7-2026.pdf,Public Information Handout,False
753,City Council,2026-07-07,1093171,Midvale City Council Meeting,1457405,CC Packet 7-7-2026.pdf,Public Information Handout,False
753,City Council,2026-07-07,1091675,Midvale City Council Notice of Public Hearing,1454537,CC  Notice - 7-7-2026 PLN.pdf,Public Information Handout,False
753,City Council,2026-06-16,1090027,Midvale City Public Notice Ordinance 2026-O-22,1450885,Ordinance Publications City Website 2026-O-22.pdf,Public Information Handout,False
753,City Council,2026-06-16,1090025,Midvale City Public Notice Ordinance 2026-O-21,1450883,Ordinance Publications Utah Public Notice Website 2026-O-21.pdf,Public Information Handout,False
753,City Council,2026-06-16,1090023,Midvale City Public Notice Ordinance 2026-O-20,1450879,Ordinance Publications 2026-O-20.pdf,Public Information Handout,False
753,City Council,2026-06-16,1088503,Midvale City Council Meeting,1458853,CC Minutes 6-16-2026.pdf,Meeting Minutes,True
753,City Council,2026-06-16,1088503,Midvale City Council Meeting,1447903,CC Agenda 6-16-2026.pdf,Public Information Handout,False
753,City Council,2026-06-16,1088503,Midvale City Council Meeting,1450747,CC Packet 6-16-2026.pdf,Public Information Handout,False
753,City Council,2026-06-16,1086171,Midvale City Council Notice of Public Hearing,1443629,CC  Notice - 6-16-2026 - PLN.pdf,Public Information Handout,False
753,City Council,2026-06-02,1084377,Midvale City Council Meeting,1450599,CC Minutes 6-2-2026.pdf,Meeting Minutes,True
753,City Council,2026-06-02,1084377,Midvale City Council Meeting,1441645,CC Agenda 6-2-2026.pdf,Public Information Handout,False
753,City Council,2026-06-02,1084377,Midvale City Council Meeting,1441647,CC Packet 6-2-2026.pdf,Public Information Handout,False
753,City Council,2026-06-02,1079731,Midvale City Notice of Public Hearing,1431389,Budget Public Hearing Notice FY 2027 City Combined notice.pdf,Public Information Handout,False
753,City Council,2026-06-02,1079735,Midvale City Notice of Public Hearing,1431391,Budget Amendment PH Jun 2026.pdf,Public Information Handout,False
753,City Council,2026-06-02,1082681,Midvale City Council Notice of Public Hearing,1436979,CC  Notice - 6-2-2026.pdf,Public Information Handout,False
753,City Council,2026-05-19,1080925,Midvale City Council Meeting,1443809,CC Minutes 5-19-2026.pdf,Meeting Minutes,True
753,City Council,2026-05-19,1080925,Midvale City Council Meeting,1433631,CC Agenda 5-19-2026.pdf,Public Information Handout,False
753,City Council,2026-05-19,1080925,Midvale City Council Meeting,1435591,CC Packet 5-19-2026.pdf,Public Information Handout,False
753,City Council,2026-05-19,1082599,Midvale City Public Notice Ordinance 2026-O-14,1436777,Ordinance Publications City Website 2026-O-14.pdf,Public Information Handout,False
753,City Council,2026-05-19,1079729,Midvale City Notice of Public Hearing,1431383,Fee Schedule Amendment PH Apr 2026.pdf,Public Information Handout,False
