stem,extraction_method,format,real_chars
2020-01-21__council__CC-Minutes-1-21-2020,ocr,scanned,29128
2020-01-21__rda__RDA-Minutes-1-21-2020,ocr,scanned,6220
2021-01-19__council__CC-Minutes-1-19-2021,ocr,scanned,36493
2021-01-19__rda__RDA-Minutes-1-19-2021,ocr,scanned,12192
2022-01-18__council__CC-Minutes-1-18-2022001,pdftotext,text,18213
2023-01-17__council__CC-Minutes-1-17-23001,pdftotext,text,34115
2023-01-17__rda__RDA-Minutes-1-17-2023001,pdftotext,text,12461
2023-03-30__council__CC-Minutes-3-30-2023-Budget-Retreat001,pdftotext,text,2071
2023-06-20__council__CC-Minutes-6-20-2023001,pdftotext,text,46233
2023-06-20__rda__RDA-Minutes-6-20-2023001,pdftotext,text,18499
2024-02-20__council__CC-Minutes-2-20-2024,pdftotext,text,27020
2024-02-20__rda__RDA-Minutes-2-20-2024,pdftotext,text,5544
2024-02-27__council__CC-Special-Meeting-Minutes-2-27-2024,pdftotext,text,3910
2024-03-12__council__CC-Minutes-3-12-2024,pdftotext,text,15144
2024-03-12__rda__RDA-Minutes-3-12-2024,pdftotext,text,8689
2024-05-07__council__CC-Minutes-5-7-2024,pdftotext,text,52682
2024-05-07__mba__MBA-Minutes-5-7-2024,pdftotext,text,3556
2024-05-07__rda__RDA-Minutes-5-7-2024,pdftotext,text,4219
2024-05-21__council__CC-Minutes-5-21-2024,pdftotext,text,34009
2024-05-21__rda__RDA-Minutes-5-21-2024,pdftotext,text,5950
2024-06-18__council__CC-Minutes-6-18-2024,pdftotext,text,25340
2024-06-18__rda__RDA-Minutes-6-18-2024,pdftotext,text,5182
2024-08-06__rda__RDA-Minutes-8-6-2024,pdftotext,text,9348
2025-06-03__council__CC-Minutes-6-3-2025,pdftotext,text,29747
2025-06-03__rda__RDA-Minutes-6-3-2025,pdftotext,text,6733
