date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,duration_sec,date_source,body_source,minutes_match
2019-10-01,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=fPYJASmnt08,fPYJASmnt08,asr,https://www.youtube.com/watch?v=fPYJASmnt08,2026-07-13,na,mapped_not_fetched,,3546,yt_release_date_utc-1_weekday,weekday,False
2019-10-03,MURRAY CITY LIVE,PlanningCommission,https://www.youtube.com/watch?v=-13FQ71sxw0,-13FQ71sxw0,asr,https://www.youtube.com/watch?v=-13FQ71sxw0,2026-07-13,na,mapped_not_fetched,,4928,yt_release_date_utc-1_weekday,weekday,False
2019-10-15,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=ysqwrrY5mMY,ysqwrrY5mMY,asr,https://www.youtube.com/watch?v=ysqwrrY5mMY,2026-07-13,na,mapped_not_fetched,,2654,yt_release_date_utc-1_weekday,weekday,False
2019-10-17,MURRAY CITY LIVE,PlanningCommission,https://www.youtube.com/watch?v=iax5tIi3zRU,iax5tIi3zRU,asr,https://www.youtube.com/watch?v=iax5tIi3zRU,2026-07-13,na,mapped_not_fetched,,8871,yt_release_date_utc-1_weekday,weekday,False
2019-11-07,MURRAY CITY LIVE,PlanningCommission,https://www.youtube.com/watch?v=_TAJCaB0nBo,_TAJCaB0nBo,asr,https://www.youtube.com/watch?v=_TAJCaB0nBo,2026-07-13,na,mapped_not_fetched,,4984,yt_release_date_utc-1_weekday,weekday,False
2019-11-12,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=SHodAMZIeIo,SHodAMZIeIo,asr,https://www.youtube.com/watch?v=SHodAMZIeIo,2026-07-13,na,mapped_not_fetched,,5267,yt_release_date_utc-1_weekday,weekday,False
2019-11-19,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=0LOIiVBTPJA,0LOIiVBTPJA,asr,https://www.youtube.com/watch?v=0LOIiVBTPJA,2026-07-13,na,mapped_not_fetched,,284,yt_release_date,weekday,False
2019-11-19,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=o-k6E-DULaY,o-k6E-DULaY,asr,https://www.youtube.com/watch?v=o-k6E-DULaY,2026-07-13,na,mapped_not_fetched,,6473,yt_release_date_utc-1_weekday,weekday,False
2019-11-21,MURRAY CITY LIVE,PlanningCommission,https://www.youtube.com/watch?v=TOvbRWetuRc,TOvbRWetuRc,asr,https://www.youtube.com/watch?v=TOvbRWetuRc,2026-07-13,na,mapped_not_fetched,,5400,yt_release_date_utc-1_weekday,weekday,False
2019-12-03,MURRAY CITY LIVE,Council,https://www.youtube.com/watch?v=rexP2pAYCEk,rexP2pAYCEk,asr,https://www.youtube.com/watch?v=rexP2pAYCEk,2026-07-13,na,mapped_not_fetched,,4114,yt_release_date_utc-1_weekday,weekday,False
