precinct,district,election_district,method,agrees_with_current_election
COT001,1,1,point_in_polygon,yes
COT002,1,1,point_in_polygon,yes
COT003,3,3,point_in_polygon,yes
COT004,3,3,point_in_polygon,yes
COT005,3,3,point_in_polygon,yes
COT006,1,1,point_in_polygon,yes
COT007,1,1,point_in_polygon,yes
COT008,3,3,point_in_polygon,yes
COT009,3,3,point_in_polygon,yes
COT010,2,2,point_in_polygon,yes
COT011,3,3,point_in_polygon,yes
COT012,4,4,point_in_polygon,yes
COT013,4,4,point_in_polygon,yes
COT014,4,4,point_in_polygon,yes
COT015,4,4,point_in_polygon,yes
COT016,1,1,point_in_polygon,yes
COT017,2,2,point_in_polygon,yes
COT018,2,2,point_in_polygon,yes
COT019,2,2,point_in_polygon,yes
COT020,4,4,point_in_polygon,yes
COT021,1,1,point_in_polygon,yes
COT022,2,2,point_in_polygon,yes
COT023,2,2,point_in_polygon,yes
COT024,4,4,point_in_polygon,yes
COT025,4,4,point_in_polygon,yes
COT026,4,4,point_in_polygon,yes
COT027,2,2,point_in_polygon,yes
COT028,3,3,point_in_polygon,yes
COT029,1,1,point_in_polygon,yes
COT030,1,1,point_in_polygon,yes
COT031,2,2,point_in_polygon,yes
COT032,4,4,point_in_polygon,yes
COT033,4,4,point_in_polygon,yes
COT034,4,4,point_in_polygon,yes
COT035,2,2,point_in_polygon,yes
COT036,4,4,point_in_polygon,yes
COT037,2,2,point_in_polygon,yes
COT038,4,4,point_in_polygon,yes
COT039,3,3,point_in_polygon,yes
COT040,4,4,point_in_polygon,yes
COT041,2,,point_in_polygon,n/a
COT901,4,4,point_in_polygon,yes
COT902,4,4,point_in_polygon,yes
COT903,4,4,point_in_polygon,yes
