ordinance_no,notice_id,notice_url,pmn_file_id,source_url,posted_date,notice_title,filename
23-13,847275,https://www.utah.gov/pmn/sitemap/notice/847275.html,1001713,https://www.utah.gov/pmn/files/1001713.pdf,2023-07-18,NOTICE OF ADOPTION - ORDINANCE NO. 23-13,2023-Ordinance No. 23-13.pdf
23-14,852841,https://www.utah.gov/pmn/sitemap/notice/852841.html,1011425,https://www.utah.gov/pmn/files/1011425.pdf,2023-08-15,NOTICE OF ADOPTION - ORDINANCE NO. 23-14,2023-Ordinance No. 23-14.pdf
23-15,891953,https://www.utah.gov/pmn/sitemap/notice/891953.html,1082861,https://www.utah.gov/pmn/files/1082861.pdf,2023-10-17,NOTICE OF ADOPTION - ORDINANCE NO. 23-15,2023-Ordinance No. 23-15.pdf
23-16,891959,https://www.utah.gov/pmn/sitemap/notice/891959.html,1082871,https://www.utah.gov/pmn/files/1082871.pdf,2023-12-06,NOTICE OF ADOPTION - ORDINANCE NO. 23-16,2023-Ordinance No. 23-16.pdf
24-01,891951,https://www.utah.gov/pmn/sitemap/notice/891951.html,1082859,https://www.utah.gov/pmn/files/1082859.pdf,2024-02-06,NOTICE OF ADOPTION - ORDINANCE NO. 24-01,2024-Ordinance No. 24-01.pdf
24-02,901031,https://www.utah.gov/pmn/sitemap/notice/901031.html,1099885,https://www.utah.gov/pmn/files/1099885.pdf,2024-03-19,NOTICE OF ADOPTION - ORDINANCE NO. 24-02,2024-Ordinance No. 24-02.pdf
24-03,907585,https://www.utah.gov/pmn/sitemap/notice/907585.html,1111957,https://www.utah.gov/pmn/files/1111957.pdf,2024-04-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-03,2024-Ordinance No. 24-03.pdf
24-04,907395,https://www.utah.gov/pmn/sitemap/notice/907395.html,1111493,https://www.utah.gov/pmn/files/1111493.pdf,2024-04-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-04,2024-Ordinance No. 24-04.pdf
24-05,907403,https://www.utah.gov/pmn/sitemap/notice/907403.html,1111513,https://www.utah.gov/pmn/files/1111513.pdf,2024-04-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-05,2024-Ordinance No. 24-05.pdf
24-06,912037,https://www.utah.gov/pmn/sitemap/notice/912037.html,1119199,https://www.utah.gov/pmn/files/1119199.pdf,2024-05-07,NOTICE OF ADOPTION - ORDINANCE NO. 24-06,2024-Ordinance No. 24-06.pdf
24-07,915557,https://www.utah.gov/pmn/sitemap/notice/915557.html,1125989,https://www.utah.gov/pmn/files/1125989.pdf,2024-05-21,NOTICE OF ADOPTION - ORDINANCE NO. 24-07,2024-Ordinance No. 24-07.pdf
24-08,918893,https://www.utah.gov/pmn/sitemap/notice/918893.html,1131425,https://www.utah.gov/pmn/files/1131425.pdf,2024-06-04,NOTICE OF ADOPTION - ORDINANCE NO. 24-08,2024-Ordinance No. 24-08.pdf
24-09,918895,https://www.utah.gov/pmn/sitemap/notice/918895.html,1131429,https://www.utah.gov/pmn/files/1131429.pdf,2024-06-04,NOTICE OF ADOPTION - ORDINANCE NO. 24-09,2024-Ordinance No. 24-09.pdf
24-11,922807,https://www.utah.gov/pmn/sitemap/notice/922807.html,1138477,https://www.utah.gov/pmn/files/1138477.pdf,2024-06-18,NOTICE OF ADOPTION - ORDINANCE NO. 24-11,2024-Ordinance No. 24-11.pdf
24-12,928100,https://www.utah.gov/pmn/sitemap/notice/928100.html,1147788,https://www.utah.gov/pmn/files/1147788.pdf,2024-07-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-12,2024-Ordinance No. 24-12.pdf
24-13,928110,https://www.utah.gov/pmn/sitemap/notice/928110.html,1147800,https://www.utah.gov/pmn/files/1147800.pdf,2024-07-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-13,2024-Ordinance No. 24-13.pdf
24-14,928112,https://www.utah.gov/pmn/sitemap/notice/928112.html,1147804,https://www.utah.gov/pmn/files/1147804.pdf,2024-07-31,NOTICE OF ADOPTION - ORDINANCE NO. 24-14,2024-Ordinance No. 24-14.pdf
24-15,928102,https://www.utah.gov/pmn/sitemap/notice/928102.html,1147790,https://www.utah.gov/pmn/files/1147790.pdf,2024-07-16,NOTICE OF ADOPTION - ORDINANCE NO. 24-15,2024-Ordinance No. 24-15.pdf
24-16,937451,https://www.utah.gov/pmn/sitemap/notice/937451.html,1165353,https://www.utah.gov/pmn/files/1165353.pdf,2024-09-03,NOTICE OF ADOPTION - ORDINANCE NO. 24-16,2024-Ordinance No. 24-16.pdf
24-17,937453,https://www.utah.gov/pmn/sitemap/notice/937453.html,1165357,https://www.utah.gov/pmn/files/1165357.pdf,2024-09-03,NOTICE OF ADOPTION - ORDINANCE NO. 24-17,2024-Ordinance No. 24-17.pdf
24-19,944079,https://www.utah.gov/pmn/sitemap/notice/944079.html,1177579,https://www.utah.gov/pmn/files/1177579.pdf,2024-10-01,NOTICE OF ADOPTION - ORDINANCE NO. 24-19,2024-Ordinance No. 24-19.pdf
24-22,954913,https://www.utah.gov/pmn/sitemap/notice/954913.html,1197845,https://www.utah.gov/pmn/files/1197845.pdf,2024-11-12,NOTICE OF ADOPTION - ORDINANCE NO. 24-22,2024-Ordinance No. 24-22.pdf
24-23,954915,https://www.utah.gov/pmn/sitemap/notice/954915.html,1197853,https://www.utah.gov/pmn/files/1197853.pdf,2024-11-12,NOTICE OF ADOPTION - ORDINANCE NO. 24-23,2024-Ordinance No. 24-23.pdf
24-24,954917,https://www.utah.gov/pmn/sitemap/notice/954917.html,1197857,https://www.utah.gov/pmn/files/1197857.pdf,2024-11-12,NOTICE OF ADOPTION - ORDINANCE NO. 24-24,2024-Ordinance No. 24-24.pdf
24-25,954925,https://www.utah.gov/pmn/sitemap/notice/954925.html,1197863,https://www.utah.gov/pmn/files/1197863.pdf,2024-11-12,NOTICE OF ADOPTION - ORDINANCE NO. 24-25,2024-Ordinance No. 24-25.pdf
24-26,958379,https://www.utah.gov/pmn/sitemap/notice/958379.html,1204223,https://www.utah.gov/pmn/files/1204223.pdf,2024-12-03,NOTICE OF ADOPTION - ORDINANCE NO. 24-26,2024-Ordinance No. 24-26.pdf
24-27,958383,https://www.utah.gov/pmn/sitemap/notice/958383.html,1204237,https://www.utah.gov/pmn/files/1204237.pdf,2024-12-03,NOTICE OF ADOPTION - ORDINANCE NO. 24-27,2024-Ordinance No. 24-27.pdf
25-01,965581,https://www.utah.gov/pmn/sitemap/notice/965581.html,1216723,https://www.utah.gov/pmn/files/1216723.pdf,2025-01-07,NOTICE OF ADOPTION - ORDINANCE NO. 25-01,2025-Ordinance No. 25-01.pdf
25-02,965583,https://www.utah.gov/pmn/sitemap/notice/965583.html,1216727,https://www.utah.gov/pmn/files/1216727.pdf,2025-01-07,NOTICE OF ADOPTION - ORDINANCE NO. 25-02,2025-Ordinance No. 25-02.pdf
25-04,972039,https://www.utah.gov/pmn/sitemap/notice/972039.html,1229121,https://www.utah.gov/pmn/files/1229121.pdf,2025-02-04,NOTICE OF ADOPTION - ORDINANCE NO. 25-04,2025-Ordinance No. 25-04.pdf
25-05,972041,https://www.utah.gov/pmn/sitemap/notice/972041.html,1229127,https://www.utah.gov/pmn/files/1229127.pdf,2025-02-04,NOTICE OF ADOPTION - ORDINANCE NO. 25-05,2025-Ordinance No. 25-05.pdf
