ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source,pmn_notice_url,pmn_file_id
20-07,2020-03-17,2020-03-17,"Rezone of Properties within the Main City Park located near 15000 West 12800 South, from Public Utility to Parks/ Open Space, proposed by Riverton City",https://www.utah.gov/pmn/files/590475.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-03-17,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-03-16/2020-03-17_city-council.md,,
20-08,2020-03-17,2020-03-17,"Amendments to Section 18.175, Wireless Communications Towers, of the Riverton City Code, addressing Architectural Standards for Wireless Communications Towers and approva",https://www.utah.gov/pmn/files/590475.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-03-17,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-03-16/2020-03-17_city-council.md,,
20-09,2020-03-17,2020-03-17,"Approving Amendments to Riverton City Code Title 2, Chapter 105 to Adjust Compensation of Elected Officials",https://www.utah.gov/pmn/files/590475.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2020-03-17,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-03-16/2020-03-17_city-council.md,,
20-10,2020-04-21,2020-04-21,"Rezoning properties located near 4185 West 12600 South from Planned Commercial Center (PCC) to Commercial Regional (C-R), as shown on the attached Exhibit “A”. Council Me",https://www.utah.gov/pmn/files/598079.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-04-21,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-04-20/2020-04-21_city-council.md,,
20-11,2020-04-21,2020-04-21,"Amending Sections 18.70.070, 18.85.070 of the Riverton City Code as shown on the attached Exhibit “A”, specifically noting the exclusion of 18-100-070",https://www.utah.gov/pmn/files/598079.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-04-21,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-04-20/2020-04-21_city-council.md,,
20-13,2021-01-19,2021-01-19,"Amending SD designation #2, eliminating the reference to the R-4 Zone, and inserting text as follows: Area 2, as designated below, shall have a minimum lot size of 6,000",https://www.utah.gov/pmn/files/682571.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-01-19,7,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-01-18/2021-01-19_city-council.md,,
20-14,2020-08-18,2020-08-18,"Amending the Riverton City General Plan Land Use Map, as described in Exhibit “A”, with the following amendment: The Community Commercial designation on 13400 South betwe",https://www.utah.gov/pmn/files/634929.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-08-18,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-08-17/2020-08-18_city-council.md,,
20-15,2020-09-01,2020-09-01,Amending Section 18.145.100 of the Zoning Ordinance as shown on the attached Exhibit “A,https://www.utah.gov/pmn/files/652327.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-01,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-08-31/2020-09-01_city-council.md,,
20-16,2020-09-01,2020-09-01,"Amending Chapter 18.150.110, regarding Secondary Monument Signs, as described in Exhibit “A",https://www.utah.gov/pmn/files/652327.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-01,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-08-31/2020-09-01_city-council.md,,
20-17,2020-09-01,2020-09-01,"Proposed Amendments to Riverton City Code, Section 18.150, Sign Ordinance, Clarifying Language and Updating Zoning Lists",https://www.utah.gov/pmn/files/652327.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-01,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-08-31/2020-09-01_city-council.md,,
20-18,2020-09-01,2020-09-01,"Proposed Amendments to Riverton City Code, Section 18.10.010, updating the Zoning Districts List",https://www.utah.gov/pmn/files/652327.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-01,6,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-08-31/2020-09-01_city-council.md,,
