motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,1,1,approve the Consent Agenda. Council Member Buroker,Procedural/Administrative,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,23,24,1,pmn_backfill/text/council_2020-01-07.txt,pmn_minutes
2,1,1,2,Amend Ordinance No. 19-21 – With Minor Amendments to the Accessory Dwelling Unit Ordinance and Establishing an Application Fee of $175.00. Council Member Buroker,Ordinance,Passed unanimously,Pass,council_vote,,,unclassified,low,,,,20,24,1,pmn_backfill/text/council_2020-01-07.txt,pmn_minutes
3,1,1,3,approve Resolution No. 20-02 - Amending the Riverton City Budget for Fiscal Year 2019-2020. Council Member Stewart,Budget Amendment,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,24,20,1,pmn_backfill/text/council_2020-01-07.txt,pmn_minutes
4,1,1,4,"meet in Closed Session to discuss the purchase, exchange, sale, or lease of real property, pending or reasonably imminent litigation, and the character, professional competence, or physical or mental health of an individual. Council Member McCay",Contract/Purchase,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,20,23,1,pmn_backfill/text/council_2020-01-07.txt,pmn_minutes
5,1,1,5,adjourn. Council Member Wells,Procedural/Administrative,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,26,5,1,pmn_backfill/text/council_2020-01-07.txt,pmn_minutes
6,2,1,1,adjourn. Council Member McCay,Procedural/Administrative,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,24,23,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
7,2,1,2,approve the Consent Agenda. Council Member Stewart,Procedural/Administrative,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,23,20,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
8,2,1,3,"the City Council Adopt Ordinance No. 20-01 - Amending Section 18.150.110 (1) and 18.150.110(2) allowing temporary promotional signs and LED signs residential zones for non-residential uses and amending existing standards for size, as described in Exhibit “A”. Council Member McCay",Ordinance,Passed unanimously,Pass,council_vote,,approve,keyword,high,1,singleton,high,24,23,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
9,2,1,4,TABLE to a date certain to the next City Council Meeting and resume the public hearing at that time. Council Member McCay,Public Hearing Action,Passed unanimously,Pass,council_vote,,table,keyword,high,,,,24,23,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
10,2,1,5,the City Council Adopt Ordinance No. 20-03 - Rezoning Property Located at 2435 West 12600 South from RR-22 (Residential Half Acre Lots) to CPO (Commercial Professional Office). Council Member Stewart,Land-Use/Zoning,Passed unanimously,Pass,council_vote,,approve,keyword,high,2,singleton,high,23,20,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
11,2,1,6,defer Resolution No. 20-05 and the public hearing to the next City Council Meeting on February 4th. Council Member McCay,Resolution,Passed unanimously,Pass,council_vote,,procedural,keyword,medium,,,,20,23,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
12,2,1,7,"adopt Resolution No. 20-07 - Authorizing a Quit Claim Deed to be conveyed to UDOT for a portion of 3900 West, between approximately 12385 South and 11280 South, Riverton, Utah. Council Member Stewart",Resolution,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,23,20,1,pmn_backfill/text/council_2020-01-21.txt,pmn_minutes
