referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,5,Council,128,PlanningCommission,address,low,11845 s redwood,0.598,2020-02-18,2020-01-23,26,
2,5,Council,129,PlanningCommission,address+subject,high,11845 s redwood,0.598,2020-02-18,2020-01-23,26,
3,7,Council,131,PlanningCommission,subject,medium,,0.589,2020-03-17,2020-02-13,33,
4,9,Council,136,PlanningCommission,address+subject,high,4185 w 12600 s,0.849,2020-04-21,2020-03-12,40,
5,10,Council,128,PlanningCommission,address,low,11845 s redwood,0.055,2020-05-19,2020-01-23,117,
6,13,Council,139,PlanningCommission,subject,medium,,0.74,2020-09-01,2020-03-12,173,
7,19,Council,166,PlanningCommission,subject,medium,,0.621,2020-10-16,2020-08-13,64,
8,21,Council,175,PlanningCommission,subject,medium,,0.723,2020-11-17,2020-10-22,26,
9,32,Council,138,PlanningCommission,subject,medium,,0.54,2021-02-16,2020-03-12,341,
10,35,Council,198,PlanningCommission,subject,medium,,0.721,2021-04-20,2021-03-11,40,
11,38,Council,200,PlanningCommission,address,low,11850 s 3600 w,0.527,2021-05-04,2021-03-25,40,
12,38,Council,201,PlanningCommission,address+subject,high,11850 s 3600 w,0.628,2021-05-04,2021-03-25,40,
13,40,Council,212,PlanningCommission,address,low,12900 s 1830 w,0.086,2021-06-01,2021-05-13,19,
14,42,Council,481,PlanningCommission,subject,medium,,0.524,2026-06-02,2025-11-20,194,
15,43,Council,212,PlanningCommission,address,low,12900 s 1830 w,0.18,2021-07-20,2021-05-13,68,
16,45,Council,212,PlanningCommission,address,low,12900 s 1830 w,0.185,2021-08-17,2021-05-13,96,
17,46,Council,235,PlanningCommission,subject,medium,,0.609,2021-09-07,2021-08-12,26,
18,47,Council,226,PlanningCommission,subject,medium,,0.613,2021-09-07,2021-06-24,75,
19,48,Council,236,PlanningCommission,subject,medium,,0.456,2021-09-07,2021-08-12,26,
20,49,Council,243,PlanningCommission,address+subject,high,12984 s sunday,0.713,2021-10-05,2021-09-09,26,
21,50,Council,248,PlanningCommission,subject,medium,,0.243,2021-10-05,2021-09-23,12,
22,51,Council,254,PlanningCommission,address+subject,high,12261 s 4000 w,0.603,2021-11-16,2021-10-28,19,
23,54,Council,259,PlanningCommission,address+subject,high,12761 s 3600 w,0.74,2021-12-14,2021-11-18,26,
24,56,Council,264,PlanningCommission,address,low,1933 w 11800 s,0.182,2022-01-04,2021-12-09,26,
25,57,Council,265,PlanningCommission,address,low,2356 w 11800 s,0.156,2022-01-04,2021-12-09,26,
26,58,Council,258,PlanningCommission,address,low,12325 s redwood,0.073,2022-01-18,2021-11-18,61,
27,59,Council,269,PlanningCommission,address+subject,high,3479 w 12600 s,0.233,2022-02-01,2022-01-13,19,
28,59,Council,276,PlanningCommission,address,low,3479 w 12600 s,0.701,2022-02-01,2022-02-24,-23,
29,64,Council,277,PlanningCommission,address+subject,high,4623 w 12600 s,0.567,2022-04-19,2022-03-10,40,
30,65,Council,280,PlanningCommission,address+subject,high,1768 w 13400 s,0.518,2022-05-03,2022-04-14,19,
31,66,Council,287,PlanningCommission,address+subject,high,11944 s 3600 w,0.612,2022-05-17,2022-04-28,19,
32,67,Council,295,PlanningCommission,address+subject,high,12984 s 4490 w,0.234,2022-07-19,2022-06-23,26,
33,69,Council,304,PlanningCommission,address,low,12653 s 3600 w,0.157,2022-09-20,2022-08-25,26,
34,71,Council,306,PlanningCommission,address+subject,high,13040 s redwood,0.744,2022-10-04,2022-08-25,40,
35,73,Council,320,PlanningCommission,address+subject,high,1794 w 11800 s,0.615,2022-11-15,2022-10-13,33,
36,75,Council,330,PlanningCommission,subject,medium,,0.329,2023-01-17,2023-01-12,5,
37,76,Council,331,PlanningCommission,address+subject,high,12995 s sand hollow,0.814,2023-02-07,2023-01-12,26,
38,79,Council,340,PlanningCommission,address+subject,high,4141 w 13400 s,0.582,2023-03-21,2023-02-23,26,
39,81,Council,346,PlanningCommission,subject,medium,,0.595,2023-04-18,2023-03-23,26,
40,83,Council,354,PlanningCommission,subject,medium,,0.569,2023-07-18,2023-05-11,68,
41,87,Council,386,PlanningCommission,address+subject,high,12701 s 3600 w,0.692,2024-05-21,2024-04-25,26,
42,88,Council,392,PlanningCommission,address+subject,high,12800 s and redwood,0.89,2024-06-18,2024-06-13,5,
43,89,Council,388,PlanningCommission,address,low,3807 w 11800 s,0.199,2024-06-18,2024-05-23,26,
44,90,Council,391,PlanningCommission,address+subject,high,2400 w 11800 s,0.886,2024-07-16,2024-06-13,33,
45,93,Council,405,PlanningCommission,subject,medium,,0.676,2024-09-03,2024-08-22,12,
46,95,Council,407,PlanningCommission,address+subject,high,13153 s redwood,0.517,2024-10-01,2024-09-12,19,
47,97,Council,411,PlanningCommission,address,low,2682 w 13400 s,0.119,2024-11-12,2024-10-10,33,
48,99,Council,417,PlanningCommission,address+subject,high,4191 w 13400 s,0.645,2024-12-03,2024-11-14,19,
49,100,Council,421,PlanningCommission,subject,medium,,0.69,2025-01-07,2024-12-12,26,
50,101,Council,422,PlanningCommission,subject,medium,,0.617,2025-01-07,2024-12-12,26,
51,102,Council,418,PlanningCommission,address,low,3516 w 12600 s,0.064,2025-01-07,2024-11-14,54,
52,103,Council,431,PlanningCommission,subject,medium,,0.745,2025-02-04,2025-01-09,26,
53,106,Council,435,PlanningCommission,address+subject,high,11968 s redwood,0.727,2025-03-04,2025-02-13,19,
54,108,Council,442,PlanningCommission,subject,medium,,0.151,2025-04-01,2025-03-13,19,
55,110,Council,440,PlanningCommission,subject,medium,,0.642,2025-05-06,2025-03-13,54,
