date,title,body,tab,duration_s,video_id,video_url
2026-06-23,"Provo City Council Meeting | June 23, 2026",council,streams,11276.0,yiQAWH7ZUKM,https://www.youtube.com/watch?v=yiQAWH7ZUKM
2026-06-23,"Provo City Council Work Meeting | June 23, 2026",council_work,streams,10784.0,9tDDwq1NPnY,https://www.youtube.com/watch?v=9tDDwq1NPnY
2026-06-17,Central District Meeting 06/17/2026,neighborhood,videos,5395.0,wCQxCZJO3Z4,https://www.youtube.com/watch?v=wCQxCZJO3Z4
2026-06-17,"Provo City Council Meeting | June 17, 2026",council,streams,627.0,YYYVoLj2oEU,https://www.youtube.com/watch?v=YYYVoLj2oEU
2026-06-09,"Provo City Council Meeting | June 9, 2026",council,streams,3771.0,NnIkK5GzCn4,https://www.youtube.com/watch?v=NnIkK5GzCn4
2026-06-09,"Provo City Council Work Meeting | June 9, 2026",council_work,streams,17082.0,H1nERgmoRJo,https://www.youtube.com/watch?v=H1nERgmoRJo
2026-06-03,Northwest District Meeting 06/03/2026,neighborhood,videos,4102.0,on4WqHuBCd8,https://www.youtube.com/watch?v=on4WqHuBCd8
2026-06-01,North Timpview Neighborhood Meeting 06/01/2026,neighborhood,videos,5531.0,GUWO9A_iGwQ,https://www.youtube.com/watch?v=GUWO9A_iGwQ
2026-05-26,"Provo City Council Meeting | May 26, 2026",council,streams,2709.0,v7NeHLyg5dU,https://www.youtube.com/watch?v=v7NeHLyg5dU
2026-05-26,"Provo City Council - Work Meeting | May 26, 2026",council_work,streams,11282.0,HrOrnKjaq88,https://www.youtube.com/watch?v=HrOrnKjaq88
2026-05-12,"Provo City Council Meeting | May 12, 2026",council,streams,1908.0,vaJkbNGwq08,https://www.youtube.com/watch?v=vaJkbNGwq08
2026-05-12,"Provo City Council Work Meeting | May 12, 2026",council_work,streams,2137.0,mAqErgT04qw,https://www.youtube.com/watch?v=mAqErgT04qw
2026-05-06,West District Meeting 05/06/2026,neighborhood,videos,5350.0,ssjgw_CvOoI,https://www.youtube.com/watch?v=ssjgw_CvOoI
2026-05-05,"Provo City Council Meeting | May 5, 2026",council,streams,1711.0,nj3oY7gw2mQ,https://www.youtube.com/watch?v=nj3oY7gw2mQ
2026-04-29,East District Meeting 04/29/2026,neighborhood,videos,4999.0,rORFEaYEggg,https://www.youtube.com/watch?v=rORFEaYEggg
2026-04-28,"Provo City Council Meeting | April 28, 2026",council,streams,1809.0,ARxMbqI6IXY,https://www.youtube.com/watch?v=ARxMbqI6IXY
2026-04-28,"Provo City Council Work Meeting | April 28, 2026",council_work,streams,8921.0,qDzrbiLU5TQ,https://www.youtube.com/watch?v=qDzrbiLU5TQ
