week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-07,2020-01-01,0,2,9,2,council regular meeting; council work session
2020-01-21,2020-01-15,0,2,6,0,council regular meeting; council work session
2020-02-04,2020-01-29,0,2,5,1,council regular meeting; council work session
2020-02-18,2020-02-12,0,2,10,1,council regular meeting; council work session
2020-03-10,2020-03-04,0,2,14,4,council regular meeting; council work session
2020-03-31,2020-03-25,0,2,7,2,council regular meeting; council work session
2020-04-07,2020-04-01,5,1,0,0,budget retreat
2020-04-14,2020-04-08,0,2,10,6,council regular meeting; council work session
2020-04-21,2020-04-15,6,2,3,0,council regular meeting; council work session
2020-04-28,2020-04-22,2,0,0,0,
2020-05-05,2020-04-29,0,2,4,0,council regular meeting; council work session
2020-05-12,2020-05-06,2,1,0,0,town hall on the critical hillside overlay zone for foothills protection
2020-05-19,2020-05-13,0,1,10,0,council regular meeting
2020-05-26,2020-05-20,5,0,0,0,
2020-06-02,2020-05-27,0,2,6,1,council regular meeting; council work session
2020-06-16,2020-06-10,5,2,15,1,council regular meeting; council work session
2020-07-07,2020-07-01,0,2,10,0,council regular meeting; council work session
2020-07-21,2020-07-15,0,2,4,1,council regular meeting; council work session
2020-08-04,2020-07-29,0,2,6,0,council regular meeting; council work session
2020-08-18,2020-08-12,0,2,8,1,council regular meeting; council work session
2020-08-25,2020-08-19,0,2,9,1,council regular meeting
2020-09-01,2020-08-26,0,3,8,3,council regular meeting; council work session
2020-09-08,2020-09-02,1,0,0,0,
2020-09-15,2020-09-09,0,2,8,0,council regular meeting; council work session
2020-09-22,2020-09-16,2,0,0,0,
2020-09-29,2020-09-23,3,0,0,0,
2020-10-06,2020-09-30,2,2,13,3,council regular meeting; council work session
2020-10-13,2020-10-07,4,0,0,0,
2020-10-20,2020-10-14,4,2,10,1,council regular meeting; council work session
2020-10-27,2020-10-21,14,1,0,0,transportation retreat
2020-11-10,2020-11-04,2,2,10,1,council regular meeting; council work session
2020-11-17,2020-11-11,2,0,0,0,
2020-12-01,2020-11-25,0,2,15,0,council regular meeting; council work session
2020-12-15,2020-12-09,1,2,6,0,council regular meeting; council work session
2021-01-05,2020-12-30,0,2,8,0,council regular meeting; council work session
2021-01-12,2021-01-06,0,1,0,0,joint meeting provo city council with state legislators
2021-01-19,2021-01-13,0,2,7,1,council regular meeting; council work session
2021-02-02,2021-01-27,0,2,9,2,council regular meeting; council work session
2021-02-16,2021-02-10,0,2,9,4,council regular meeting; council work session
2021-03-02,2021-02-24,0,2,5,1,council regular meeting; council work session
2021-03-09,2021-03-03,3,0,0,0,
2021-03-16,2021-03-10,0,2,11,0,council regular meeting; council work session
2021-03-30,2021-03-24,0,2,8,1,council regular meeting; council work session
2021-04-13,2021-04-07,0,1,0,0,council work session
2021-04-20,2021-04-14,0,2,8,1,council regular meeting; council work session
2021-05-04,2021-04-28,1,2,7,1,council regular meeting; council work session
2021-05-11,2021-05-05,2,1,0,0,council work session
2021-05-18,2021-05-12,2,2,14,1,council regular meeting; council work session
2021-05-25,2021-05-19,0,1,1,0,council work session
2021-06-01,2021-05-26,0,2,6,1,council regular meeting; council work session
2021-06-08,2021-06-02,1,0,0,0,
2021-06-15,2021-06-09,2,2,12,1,council regular meeting; council work session
2021-07-06,2021-06-30,4,2,10,3,council regular meeting; council work session
2021-07-20,2021-07-14,0,1,4,0,council work session
2021-07-27,2021-07-21,1,0,0,0,
2021-08-03,2021-07-28,0,2,5,1,council regular meeting; council work session
2021-08-24,2021-08-18,0,3,4,0,board of canvassers meeting; council regular meeting; council work session
2021-09-07,2021-09-01,0,2,7,2,council regular meeting; council work session
2021-09-21,2021-09-15,0,2,4,1,council regular meeting; council work session
2021-10-12,2021-10-06,0,2,6,3,council regular meeting; council work session
2021-10-26,2021-10-20,1,2,4,1,council regular meeting; council work session
2021-11-02,2021-10-27,1,0,0,0,
2021-11-16,2021-11-10,0,3,14,1,board of canvassers meeting; council regular meeting; council work session
2021-11-23,2021-11-17,0,1,0,0,town hall on parking
2021-11-30,2021-11-24,0,2,7,0,council regular meeting; council work session
2021-12-07,2021-12-01,1,0,0,0,
2021-12-14,2021-12-08,0,2,14,4,council regular meeting; council work session
2022-01-04,2021-12-29,0,2,9,0,council regular meeting; council work session
2022-01-18,2022-01-12,0,2,12,0,council regular meeting; council work session
2022-02-01,2022-01-26,0,2,8,1,council regular meeting; council work session
2022-02-15,2022-02-09,0,2,11,3,council regular meeting; council work session
2022-03-01,2022-02-23,0,2,4,0,council regular meeting; council work session
2022-03-08,2022-03-02,1,0,0,0,
2022-03-15,2022-03-09,0,2,8,0,council regular meeting; council work session
2022-03-29,2022-03-23,0,2,11,4,council regular meeting; council work session
2022-04-12,2022-04-06,0,1,1,0,council priorities retreat
2022-04-19,2022-04-13,0,2,10,1,council regular meeting; council work session
2022-05-03,2022-04-27,0,2,6,0,council regular meeting; council work session
2022-05-10,2022-05-04,0,1,0,0,council work session
2022-05-17,2022-05-11,0,2,6,0,council regular meeting; council work session
2022-06-07,2022-06-01,0,2,11,1,council regular meeting; council work session
2022-06-21,2022-06-15,0,2,15,1,council regular meeting; council work session
2022-07-12,2022-07-06,0,1,5,2,council work session
2022-07-26,2022-07-20,0,2,8,0,council regular meeting; council work session
2022-08-02,2022-07-27,0,1,0,0,truth in taxation hearing
2022-08-09,2022-08-03,0,2,11,2,council regular meeting; council work session
2022-08-23,2022-08-17,0,2,3,0,council regular meeting; council work session
2022-09-06,2022-08-31,0,2,4,0,council regular meeting; council work session
2022-09-20,2022-09-14,0,2,3,0,council regular meeting; council work session
2022-09-27,2022-09-21,1,0,0,0,
2022-10-04,2022-09-28,0,2,13,2,council regular meeting; council work session
2022-10-18,2022-10-12,0,2,9,2,council regular meeting; council work session
2022-11-01,2022-10-26,0,2,6,2,council regular meeting; council work session
2022-11-15,2022-11-09,0,2,9,0,council regular meeting; council work session
2022-11-29,2022-11-23,0,2,4,1,council regular meeting; council work session
2022-12-13,2022-12-07,0,2,16,4,council regular meeting; council work session
2023-01-10,2023-01-04,0,1,1,0,council work session
2023-01-17,2023-01-11,0,2,7,1,council regular meeting; council work session
2023-01-31,2023-01-25,0,2,6,0,council regular meeting; council work session
2023-02-14,2023-02-08,0,2,5,0,council regular meeting; council work session
2023-02-28,2023-02-22,0,2,2,0,council regular meeting; council work session
2023-03-14,2023-03-08,0,2,6,1,council regular meeting; council work session
2023-03-28,2023-03-22,0,2,9,0,council regular meeting; council work session
2023-04-18,2023-04-12,0,2,7,0,council regular meeting; council work session
2023-05-02,2023-04-26,0,2,9,1,council regular meeting; council work session
