retrieved_date,date,path,source_url
2026-07-12,2020-02-18,minutes/2020/2020-02-17/2020-02-18_city-council.md,https://www.utah.gov/pmn/files/586401.pdf
2026-07-12,2020-03-03,minutes/2020/2020-03-02/2020-03-03_city-council.md,https://www.utah.gov/pmn/files/586405.pdf
2026-07-12,2020-03-17,minutes/2020/2020-03-16/2020-03-17_city-council.md,https://www.utah.gov/pmn/files/590475.pdf
2026-07-12,2020-04-07,minutes/2020/2020-04-06/2020-04-07_city-council.md,https://www.utah.gov/pmn/files/595357.pdf
2026-07-12,2020-04-21,minutes/2020/2020-04-20/2020-04-21_city-council.md,https://www.utah.gov/pmn/files/598079.pdf
2026-07-12,2020-05-05,minutes/2020/2020-05-04/2020-05-05_city-council.md,https://www.utah.gov/pmn/files/602535.pdf
2026-07-12,2020-05-19,minutes/2020/2020-05-18/2020-05-19_city-council.md,https://www.utah.gov/pmn/files/606595.pdf
2026-07-12,2020-06-16,minutes/2020/2020-06-15/2020-06-16_city-council.md,https://www.utah.gov/pmn/files/622549.pdf
2026-07-12,2020-06-29,minutes/2020/2020-06-29/2020-06-29_city-council.md,https://www.utah.gov/pmn/files/622551.pdf
2026-07-12,2020-07-21,minutes/2020/2020-07-20/2020-07-21_city-council.md,https://www.utah.gov/pmn/files/630901.pdf
2026-07-12,2020-08-18,minutes/2020/2020-08-17/2020-08-18_city-council.md,https://www.utah.gov/pmn/files/634929.pdf
2026-07-12,2020-09-01,minutes/2020/2020-08-31/2020-09-01_city-council.md,https://www.utah.gov/pmn/files/652327.pdf
2026-07-12,2020-09-15,minutes/2020/2020-09-14/2020-09-15_city-council.md,https://www.utah.gov/pmn/files/652325.pdf
2026-07-12,2020-10-06,minutes/2020/2020-10-05/2020-10-06_city-council.md,https://www.utah.gov/pmn/files/649683.pdf
2026-07-12,2020-10-16,minutes/2020/2020-10-12/2020-10-16_city-council.md,https://www.utah.gov/pmn/files/659909.pdf
2026-07-12,2020-11-17,minutes/2020/2020-11-16/2020-11-17_city-council.md,https://www.utah.gov/pmn/files/668797.pdf
2026-07-12,2020-12-01,minutes/2020/2020-11-30/2020-12-01_city-council.md,https://www.utah.gov/pmn/files/668799.pdf
2026-07-12,2020-12-15,minutes/2020/2020-12-14/2020-12-15_city-council.md,https://www.utah.gov/pmn/files/677569.pdf
2026-07-12,2021-01-05,minutes/2021/2021-01-04/2021-01-05_city-council.md,https://www.utah.gov/pmn/files/677575.pdf
2026-07-12,2021-01-19,minutes/2021/2021-01-18/2021-01-19_city-council.md,https://www.utah.gov/pmn/files/682571.pdf
2026-07-12,2021-02-02,minutes/2021/2021-02-01/2021-02-02_city-council.md,https://www.utah.gov/pmn/files/692249.pdf
2026-07-12,2021-02-16,minutes/2021/2021-02-15/2021-02-16_city-council.md,https://www.utah.gov/pmn/files/692685.pdf
2026-07-12,2021-03-02,minutes/2021/2021-03-01/2021-03-02_city-council.md,https://www.utah.gov/pmn/files/698123.pdf
2026-07-12,2021-03-16,minutes/2021/2021-03-15/2021-03-16_city-council.md,https://www.utah.gov/pmn/files/704775.pdf
2026-07-12,2021-04-06,minutes/2021/2021-04-05/2021-04-06_city-council.md,https://www.utah.gov/pmn/files/709903.pdf
2026-07-12,2021-04-20,minutes/2021/2021-04-19/2021-04-20_city-council.md,https://www.utah.gov/pmn/files/720405.pdf
2026-07-12,2021-05-04,minutes/2021/2021-05-03/2021-05-04_city-council.md,https://www.utah.gov/pmn/files/720407.pdf
2026-07-12,2021-05-18,minutes/2021/2021-05-17/2021-05-18_city-council.md,https://www.utah.gov/pmn/files/725525.pdf
2026-07-12,2021-06-01,minutes/2021/2021-05-31/2021-06-01_city-council.md,https://www.utah.gov/pmn/files/730699.pdf
