member,role,first_seen,last_seen,vote_rows,mayor_tiebreaks
Troy McDougal,Councilmember,2020-03-17,2026-06-02,687,0
Tawnee McCay,Councilmember,2020-03-17,2025-12-16,663,0
Tish Buroker,Councilmember,2020-03-17,2025-12-16,633,0
Claude Wells,Councilmember,2020-03-17,2023-12-06,417,0
Andy Pierucci,Councilmember,2023-01-03,2026-06-02,360,0
Sheldon Stewart,Councilmember,2020-03-17,2022-12-13,322,0
Spencer Haymond,Councilmember,2024-01-02,2026-06-02,285,0
Alexander Johnson,Councilmember,2026-01-20,2026-06-02,57,0
Shannon Smith,Councilmember,2026-01-20,2026-06-02,57,0
Trent Staggs,Mayor (tie-break),2025-12-16,2025-12-16,1,1
