person_id,full_name,name_key
1,Adams,adams
2,Best,best
3,Bingham,bingham
4,Craig,craig
5,Dahlin,dahlin
6,F. Lowry,flowry
7,Fidler,fidler
8,Fowler,fowler
9,Green,green
10,Gundersen,gundersen
11,Hawker,hawker
12,Johnson,johnson
13,Lower,lower
14,Lowrey,lowrey
15,Nixon,nixon
16,Ogden,ogden
17,Player,player
18,Roberts,roberts
19,Shah,shah
20,Shirely,shirely
21,Shirey,shirey
22,Squire,squire
23,T. Lowery,tlowery
24,The,the
25,Tonks,tonks
26,Troy K. Walker,troykwalker
27,Van Hoff,vanhoff
28,Vawdrey,vawdrey
