role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2020-12-10,2026-05-28,163
2,2,2,2026-05-14,2026-05-28,18
3,3,2,2020-11-19,2023-04-27,128
4,5,1,2026-01-06,2026-06-09,58
5,6,1,2020-01-14,2026-06-09,743
6,7,2,2023-09-14,2026-05-28,277
7,8,2,2020-01-23,2026-05-28,503
8,9,1,2020-01-14,2026-06-09,743
9,9,2,2024-03-14,2026-05-28,244
10,10,2,2020-02-13,2020-06-25,52
11,11,2,2020-01-23,2023-08-10,225
12,12,1,2024-01-09,2026-06-09,286
13,15,2,2021-07-08,2026-05-28,479
14,16,2,2020-02-27,2026-05-28,497
15,17,2,2020-01-23,2021-02-25,121
16,18,1,2020-01-14,2024-11-12,553
17,19,2,2024-02-08,2025-11-20,188
18,21,2,2022-06-23,2026-05-28,299
19,22,2,2020-01-23,2026-05-28,558
20,23,1,2020-01-14,2026-06-09,747
21,25,2,2020-01-23,2023-06-22,172
22,26,1,2024-10-15,2024-10-15,1
23,27,2,2020-02-13,2022-04-14,190
24,28,1,2020-01-14,2025-12-16,593
