dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,1,2020-01-14,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,rule:proc-agenda,high,1
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,2,2020-01-14,Council,Ordinance,Land-Use,Text-Amendment,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-textamend,high,2
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,3,2020-01-14,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-rezone,high,3
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,4,2020-01-14,Council,Other,Budget,,final-action,pass,5,0,,roll-call,5-0 Pass,rule:budget,high,4
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,5,2020-01-14,Council,Budget,Budget,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,5
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,6,2020-01-14,Council,Resolution,Budget,,final-action,pass,,,,voice,Unanimous (voice/tally-only),rule:budget,high,6
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,7,2020-01-14,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,1,,roll-call,4-1 Pass,rule:lu-subdiv,high,7
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,8,2020-01-14,Council,Land-Use/Zoning,Land-Use,Vacation,final-action,pass,3,2,,roll-call,3-2 Pass,rule:lu-vacate,high,8
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,9,2020-01-14,Council,Appointment,Appointment,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,9
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,10,2020-01-14,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,10
meeting_minutes,minutes/2020/2020-01-13/2020-01-14_city-council.md,11,2020-01-14,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,11
meeting_minutes,minutes/2020/2020-01-20/2020-01-21_city-council.md,1,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,12
meeting_minutes,minutes/2020/2020-01-20/2020-01-21_city-council.md,2,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,13
meeting_minutes,minutes/2020/2020-01-20/2020-01-21_city-council.md,3,2020-01-21,Council,Land-Use/Zoning,Land-Use,Text-Amendment,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-textamend,high,14
meeting_minutes,minutes/2020/2020-01-20/2020-01-21_city-council.md,4,2020-01-21,Council,Resolution,Contract-Purchase,,final-action,pass,5,0,,roll-call,5-0 Pass,rule:contract,high,15
meeting_minutes,minutes/2020/2020-01-20/2020-01-21_city-council.md,5,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,16
meeting_minutes,minutes/2020/2020-02-10/2020-02-11_city-council.md,1,2020-02-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,17
meeting_minutes,minutes/2020/2020-02-10/2020-02-11_city-council.md,2,2020-02-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,18
meeting_minutes,minutes/2020/2020-02-10/2020-02-11_city-council.md,3,2020-02-11,Council,Budget,Budget,,final-action,pass,,,,voice,Unanimous (voice/tally-only),crosswalk,medium,19
meeting_minutes,minutes/2020/2020-02-10/2020-02-11_city-council.md,4,2020-02-11,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,20
meeting_minutes,minutes/2020/2020-02-10/2020-02-11_city-council.md,5,2020-02-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,21
meeting_minutes,minutes/2020/2020-02-17/2020-02-18_city-council.md,1,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,22
meeting_minutes,minutes/2020/2020-02-17/2020-02-18_city-council.md,2,2020-02-18,Council,Land-Use/Zoning,Land-Use,Development-Agreement,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-devagr,high,23
meeting_minutes,minutes/2020/2020-02-17/2020-02-18_city-council.md,3,2020-02-18,Council,Contract/Purchase,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,rule:proc-session,high,24
meeting_minutes,minutes/2020/2020-02-17/2020-02-18_city-council.md,4,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,25
meeting_minutes,minutes/2020/2020-02-17/2020-02-18_city-council.md,5,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,26
meeting_minutes,minutes/2020/2020-03-09/2020-03-10_city-council.md,1,2020-03-10,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,27
meeting_minutes,minutes/2020/2020-03-09/2020-03-10_city-council.md,2,2020-03-10,Council,Land-Use/Zoning,Land-Use,Development-Agreement,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-devagr,high,28
meeting_minutes,minutes/2020/2020-03-09/2020-03-10_city-council.md,3,2020-03-10,Council,Land-Use/Zoning,Land-Use,Text-Amendment,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-textamend,high,29
meeting_minutes,minutes/2020/2020-03-09/2020-03-10_city-council.md,4,2020-03-10,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,30
meeting_minutes,minutes/2020/2020-03-16/2020-03-19_city-council-special.md,1,2020-03-19,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,rule:proc-agenda,high,31
meeting_minutes,minutes/2020/2020-03-16/2020-03-19_city-council-special.md,2,2020-03-19,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-rezone,high,32
meeting_minutes,minutes/2020/2020-03-16/2020-03-19_city-council-special.md,3,2020-03-19,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,33
meeting_minutes,minutes/2020/2020-04-06/2020-04-07_city-council.md,1,2020-04-07,Council,Budget,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,rule:proc-agenda,high,34
meeting_minutes,minutes/2020/2020-04-06/2020-04-07_city-council.md,2,2020-04-07,Council,Budget,Budget,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,medium,35
meeting_minutes,minutes/2020/2020-04-06/2020-04-07_city-council.md,3,2020-04-07,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,5,0,,roll-call,5-0 Pass,rule:lu-rezone,high,36
meeting_minutes,minutes/2020/2020-04-06/2020-04-07_city-council.md,4,2020-04-07,Council,Budget,Budget,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,37
meeting_minutes,minutes/2020/2020-04-06/2020-04-07_city-council.md,5,2020-04-07,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,4,0,,roll-call,4-0 Pass,crosswalk,high,38
