date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-01-15,2020,Copperton Meeting,Council,1,"to approve the minutes of the Copperton Metro Township Council meetings held on September 30, 1 DATE WEDNESDAY JANUARY 15, 2020 2019, October 16, 2019, and November 19, 2019",Procedural/Administrative,Pass,Kathleen Bailey,Kevin Severson,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,2,to approve the invoice for legal services,Other,Pass (unanimous),Apollo Pazell,Tessa Stitzer,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,3,to approve the 2020 meeting schedule,Other,Pass (unanimous),Kathleen Bailey,Apollo Pazell,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,4,to keep Sean Clayton as chair/mayor,Appointment,Pass (unanimous),Kathleen Bailey,Apollo Pazell,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,5,to keep Apollo Pazell as vice-chair,Other,Pass (unanimous),Kathleen Bailey,Tessa Stitzer,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,6,to keep Kathleen Bailey as treasurer,Other,Pass (unanimous),Apollo Pazell,Tessa Stitzer,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,7,to keep Kevin Severson as secretary,Other,Pass (unanimous),Apollo Pazell,Kathleen Bailey,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,8,to appoint Tessa Stitzer to the Wasatch Front Waste and Recycling District Board,Appointment,Pass (unanimous),Kathleen Bailey,Kevin Severson,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,9,to appoint Apollo Pazell to the Unified Police Department and Salt Lake Valley Law Enforcement Service Area boards,Appointment,Pass (unanimous),Kathleen Bailey,Tessa Stitzer,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,10,to appoint Kathleen Bailey to the Unified Fire Authority and Unified Fire Service Area boards,Appointment,Pass (unanimous),Apollo Pazell,Sean Clayton,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,11,to appoint Tessa Stitzer to serve as the liaison for the Bingham Cemetery Board,Appointment,Pass (unanimous),Kathleen Bailey,Kevin Severson,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,12,to appoint Kathleen Bailey as liaison to the Copperton Community Council,Appointment,Pass (unanimous),Apollo Pazell,Sean Clayton,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,13,to appoint Kevin Severson as the liaison to the Planning & Zoning Commission,Land-Use/Zoning,Pass (unanimous),Kathleen Bailey,Apollo Pazell,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
2020-01-15,2020,Copperton Meeting,Council,14,to appoint Kevin Severson as the liaison to the Animal Services Board,Appointment,Pass (unanimous),Sean Clayton,Kathleen Bailey,,,minutes/2020/2020-01-15/2020-01-15_council-meeting.md
