date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,event_id,file_id,size_mb,stored_locally
2014-01-08,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=325,plainText=false)",2026-07-05,na,civicclerk_odata,,194,325,,no
2014-01-22,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=319,plainText=false)",2026-07-05,na,civicclerk_odata,,191,319,,no
2014-02-05,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=124,plainText=false)",2026-07-05,na,civicclerk_odata,,78,124,,no
2014-02-12,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=335,plainText=false)",2026-07-05,na,civicclerk_odata,,199,335,,no
2014-02-19,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=125,plainText=false)",2026-07-05,na,civicclerk_odata,,79,125,,no
2014-02-26,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=329,plainText=false)",2026-07-05,na,civicclerk_odata,,196,329,,no
2014-02-26,Redevelopment Agency Meeting Agenda,RDA,Redevelopment Agency Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=45,plainText=false)",2026-07-05,na,civicclerk_odata,,37,45,0.149,no
2014-03-05,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=133,plainText=false)",2026-07-05,na,civicclerk_odata,,85,133,,no
2014-03-12,Town Council  Meeting - Regular Agenda - Cancelled,Council,Town Council  Meeting - Regular Agenda - Cancelled,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=285,plainText=false)",2026-07-05,na,civicclerk_odata,,172,285,,no
2014-03-19,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=135,plainText=false)",2026-07-05,na,civicclerk_odata,,86,135,,no
2014-03-26,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=279,plainText=false)",2026-07-05,na,civicclerk_odata,,169,279,,no
2014-03-26,Redevelopment Agency Meeting Agenda,RDA,Redevelopment Agency Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=95,plainText=false)",2026-07-05,na,civicclerk_odata,,62,95,,no
2014-04-02,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=115,plainText=false)",2026-07-05,na,civicclerk_odata,,72,115,,no
2014-04-16,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=117,plainText=false)",2026-07-05,na,civicclerk_odata,,73,117,,no
2014-04-23,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=411,plainText=false)",2026-07-05,na,civicclerk_odata,,244,411,,no
2014-04-23,Redevelopment Agency Meeting Agenda,RDA,Redevelopment Agency Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=57,plainText=false)",2026-07-05,na,civicclerk_odata,,43,57,0.15,no
2014-04-30,Town Council Meeting - Work Session Agenda,Council,Town Council Meeting - Work Session Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=413,plainText=false)",2026-07-05,na,civicclerk_odata,,245,413,,no
2014-05-07,Planning Commission Regular Meeting Agenda,PlanningCommission,Planning Commission Regular Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=137,plainText=false)",2026-07-05,na,civicclerk_odata,,87,137,,no
2014-05-14,Town Council Tentative Budget,Council,Town Council Tentative Budget,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=274,plainText=false)",2026-07-05,na,civicclerk_odata,,166,274,,no
2014-05-14,Town Council  Meeting - Regular Agenda,Council,Town Council  Meeting - Regular Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=275,plainText=false)",2026-07-05,na,civicclerk_odata,,167,275,,no
2014-05-14,Redevelopment Agency Meeting Agenda,RDA,Redevelopment Agency Meeting Agenda,agenda,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=87,plainText=false)",2026-07-05,na,civicclerk_odata,,58,87,,no
