meeting_date,body,meeting_type,minutes_md,source_pdf,source_url,source_index,n_chars,provenance
2015-01-06,Board of Commissioners,regular,legislative/minutes/2015/2015-01-06_commission.md,legislative/raw/min_01062015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01062015.pdf,commission_meetings.php,14413,county_portal
2015-01-13,Board of Commissioners,regular,legislative/minutes/2015/2015-01-13_commission.md,legislative/raw/min_01132015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01132015.pdf,archive:minute_id=707,14518,county_portal
2015-01-20,Board of Commissioners,regular,legislative/minutes/2015/2015-01-20_commission.md,legislative/raw/min_01202015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01202015.pdf,commission_meetings.php,18507,county_portal
2015-01-27,Board of Commissioners,regular,legislative/minutes/2015/2015-01-27_commission.md,legislative/raw/min_01272015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01272015.pdf,commission_meetings.php,11768,county_portal
2015-02-03,Board of Commissioners,regular,legislative/minutes/2015/2015-02-03_commission.md,legislative/raw/min_02032015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02032015.pdf,commission_meetings.php,12910,county_portal
2015-02-17,Board of Commissioners,regular,legislative/minutes/2015/2015-02-17_commission.md,legislative/raw/min_02172015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02172015.pdf,commission_meetings.php,20410,county_portal
2015-03-03,Board of Commissioners,regular,legislative/minutes/2015/2015-03-03_commission.md,legislative/raw/min_03032015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03032015.pdf,commission_meetings.php,8415,county_portal
2015-03-10,Board of Commissioners,regular,legislative/minutes/2015/2015-03-10_commission.md,legislative/raw/min_03102015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03102015.pdf,commission_meetings.php,20925,county_portal
2015-03-24,Board of Commissioners,regular,legislative/minutes/2015/2015-03-24_commission.md,legislative/raw/min_03242015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03242015.pdf,commission_meetings.php,11716,county_portal
2015-04-07,Board of Commissioners,regular,legislative/minutes/2015/2015-04-07_commission.md,legislative/raw/min_04072015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04072015.pdf,commission_meetings.php,24302,county_portal
2015-04-14,Board of Commissioners,regular,legislative/minutes/2015/2015-04-14_commission.md,legislative/raw/min_04142015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04142015.pdf,archive:minute_id=717,11412,county_portal
2015-04-21,Board of Commissioners,regular,legislative/minutes/2015/2015-04-21_commission.md,legislative/raw/min_04212015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04212015.pdf,commission_meetings.php,15576,county_portal
2015-04-28,Board of Commissioners,regular,legislative/minutes/2015/2015-04-28_commission.md,legislative/raw/min_04282015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04282015.pdf,commission_meetings.php,12276,county_portal
2015-05-05,Board of Commissioners,regular,legislative/minutes/2015/2015-05-05_commission.md,legislative/raw/min_05052015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05052015.pdf,archive:minute_id=722,12034,county_portal
2015-05-12,Board of Commissioners,regular,legislative/minutes/2015/2015-05-12_commission.md,legislative/raw/min_05122015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05122015.pdf,commission_meetings.php,7696,county_portal
2015-05-19,Board of Commissioners,regular,legislative/minutes/2015/2015-05-19_commission.md,legislative/raw/min_05192015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05192015.pdf,commission_meetings.php,10453,county_portal
2015-06-02,Board of Commissioners,regular,legislative/minutes/2015/2015-06-02_commission.md,legislative/raw/min_06022015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06022015.pdf,commission_meetings.php,12591,county_portal
2015-06-09,Board of Commissioners,regular,legislative/minutes/2015/2015-06-09_commission.md,legislative/raw/min_06092015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06092015.pdf,commission_meetings.php,5371,county_portal
2015-06-16,Board of Commissioners,regular,legislative/minutes/2015/2015-06-16_commission.md,legislative/raw/min_06162015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06162015.pdf,archive:minute_id=730,6947,county_portal
2015-06-23,Board of Commissioners,regular,legislative/minutes/2015/2015-06-23_commission.md,legislative/raw/min_06232015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06232015.pdf,commission_meetings.php,12737,county_portal
2015-06-30,Board of Commissioners,regular,legislative/minutes/2015/2015-06-30_commission.md,legislative/raw/min_06302015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06302015.pdf,commission_meetings.php,23959,county_portal
2015-07-07,Board of Commissioners,regular,legislative/minutes/2015/2015-07-07_commission.md,legislative/raw/min_07072015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07072015.pdf,commission_meetings.php,10336,county_portal
2015-07-14,Board of Commissioners,regular,legislative/minutes/2015/2015-07-14_commission.md,legislative/raw/min_07142015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07142015.pdf,commission_meetings.php,5674,county_portal
2015-07-21,Board of Commissioners,regular,legislative/minutes/2015/2015-07-21_commission.md,legislative/raw/min_07212015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07212015.pdf,archive:minute_id=738,3923,county_portal
2015-07-28,Board of Commissioners,regular,legislative/minutes/2015/2015-07-28_commission.md,legislative/raw/min_07282015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07282015.pdf,commission_meetings.php,4617,county_portal
2015-08-04,Board of Commissioners,regular,legislative/minutes/2015/2015-08-04_commission.md,legislative/raw/min_08042015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08042015.pdf,archive:minute_id=735,8257,county_portal
2015-08-11,Board of Commissioners,regular,legislative/minutes/2015/2015-08-11_commission.md,legislative/raw/min_08112015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08112015.pdf,commission_meetings.php,6603,county_portal
2015-08-18,Board of Commissioners,regular,legislative/minutes/2015/2015-08-18_commission.md,legislative/raw/min_08182015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08182015.pdf,commission_meetings.php,11600,county_portal
