date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,apid,eventid,size_mb,stored_locally
2025-01-07,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3127,2026-07-13,text,pdftotext -layout,raw/2025-01-07/PlanningCommission_e2852_packet.pdf,3127,2852,11.559,yes
2025-01-09,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3129,2026-07-13,text,pdftotext -layout,raw/2025-01-09/Council_e2811_packet.pdf,3129,2811,0.723,yes
2025-01-21,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3130,2026-07-13,text,pdftotext -layout,raw/2025-01-21/PlanningCommission_e2691_packet.pdf,3130,2691,1.141,yes
2025-01-23,City Council Work Meeting,Council,work,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3131,2026-07-13,text,pdftotext -layout,raw/2025-01-23/Council_e2823_packet.pdf,3131,2823,17.159,yes
2025-02-04,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3132,2026-07-13,text,pdftotext -layout,raw/2025-02-04/PlanningCommission_e2741_packet.pdf,3132,2741,6.223,yes
2025-02-06,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3133,2026-07-13,text,pdftotext -layout,raw/2025-02-06/Council_e2652_packet.pdf,3133,2652,6.901,yes
2025-02-18,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3134,2026-07-13,text,pdftotext -layout,raw/2025-02-18/PlanningCommission_e2692_packet.pdf,3134,2692,6.936,yes
2025-03-04,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3139,2026-07-13,text,pdftotext -layout,raw/2025-03-04/PlanningCommission_e2742_packet.pdf,3139,2742,9.768,yes
2025-03-06,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3141,2026-07-13,text,pdftotext -layout,raw/2025-03-06/Council_e2901_packet.pdf,3141,2901,6.076,yes
2025-03-18,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3145,2026-07-13,text,pdftotext -layout,raw/2025-03-18/PlanningCommission_e2842_packet.pdf,3145,2842,9.68,yes
