date	body	eventid	title	apid	aid	mid	packet_url
2025-01-02	Council	3089	City Council Meeting				
2025-01-07	PlanningCommission	2852	Planning Commission Meeting	3127	3275	1132	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3127
2025-01-09	Council	2811	City Council Meeting	3129	3276	1141	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3129
2025-01-09	Council	2876	City Council Legislative Meeting		3277	1140	
2025-01-15	Council	2678	Arts Council		3279		
2025-01-21	PlanningCommission	2691	Planning Commission Meeting	3130	3280	1138	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3130
2025-01-23	Council	2823	City Council Work Meeting	3131	3282	1142	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3131
2025-02-04	PlanningCommission	2741	Planning Commission Meeting	3132	3283	1139	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3132
2025-02-06	Council	2652	City Council Meeting	3133	3284	1143	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3133
2025-02-18	PlanningCommission	2692	Planning Commission Meeting	3134	3287	1144	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3134
2025-02-19	Council	2679	Arts Council		3289		
2025-02-20	Council	2776	City Council Retreat		3288		
2025-03-04	PlanningCommission	2742	Planning Commission Meeting	3139	3292	1146	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3139
2025-03-06	Council	2901	City Council Meeting	3141	3294	1148	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3141
2025-03-18	PlanningCommission	2842	Planning Commission Meeting	3145	3297	1147	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3145
2025-03-19	Council	2955	Arts Council		3298		
2025-03-20	Council	2913	City Council Meeting	3146	3300	1149	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3146
2025-04-01	PlanningCommission	2855	Planning Commission Meeting		3301	1145	
2025-04-03	Council	2902	City Council Work Meeting	3150	3302	1161	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3150
2025-04-15	PlanningCommission	2843	Planning Commission Meeting	3151	3305	1157	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3151
2025-04-17	Council	2722	City Council Meeting	3152	3306	1153	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3152
2025-04-23	Council	2956	Arts Council		3307		
2025-05-01	Council	2903	City Council Meeting - audio only	3154	3308	1156	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3154
2025-05-01	RDA	2970	RDA Board	3153	3309		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3153
2025-05-06	PlanningCommission	2744	Planning Commission Meeting	3160	3311		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3160
2025-05-08	Council	2971	City Council Work Meeting	3157	3312	1150	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3157
2025-05-15	Council	2915	City Council Meeting- audio only	3158	3314	1151	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3158
2025-05-20	PlanningCommission	2844	Planning Commission Meeting - Canceled		3315		
2025-06-03	PlanningCommission	2857	Planning Commission Meeting - Canceled		3319		
2025-06-05	Council	2904	City Council & RDA Meeting	3171	3317	1159	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3171
