year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2016,municipal general,Council,1,Kearns Metro Township Council Seat 1,KEARNS METRO TOWNSHIP CNCL #1,1,2,plurality,1254,,PATRICK SCHAEFFER,653,52.07,H. BRETT HELSTEN,601,52,4.15,2138,1598,74.74,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip (SLCo_16G_SOVC_112816.xlsx)
2016,municipal general,Council,2,Kearns Metro Township Council Seat 2,KEARNS METRO TOWNSHIP CNCL #2,1,1,plurality,1311,,ALAN PETERSON,1311,100.0,,0,1311,100.0,2376,1779,74.87,True,False,,2016-11-08-general-election-statement-of-votes-cast.zip (SLCo_16G_SOVC_112816.xlsx)
2016,municipal general,Council,3,Kearns Metro Township Council Seat 3,KEARNS METRO TOWNSHIP CNCL #3,1,2,plurality,1551,,STEVE PERRY,1145,73.82,CHRISTOPHER JAMES GEERTSEN,406,739,47.65,2423,1839,75.9,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip (SLCo_16G_SOVC_112816.xlsx)
2016,municipal general,Council,4,Kearns Metro Township Council Seat 4,KEARNS METRO TOWNSHIP CNCL #4,1,1,plurality,1343,,TINA SNOW,1343,100.0,,0,1343,100.0,2455,1851,75.4,True,False,,2016-11-08-general-election-statement-of-votes-cast.zip (SLCo_16G_SOVC_112816.xlsx)
2016,municipal general,Council,5,Kearns Metro Township Council Seat 5,KEARNS METRO TOWNSHIP CNCL #5,1,2,plurality,1500,,KELLY F. BUSH,782,52.13,BRIAN RICHARDS,718,64,4.27,2524,1943,76.98,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip (SLCo_16G_SOVC_112816.xlsx)
2017,municipal general,Council,2,Kearns Metro Township Council Seat 2,KEARNS METRO TOWNSHIP CNCL 2,1,1,plurality,521,,ALAN PETERSON,521,100.0,,0,521,100.0,2142,642,29.97,True,False,,2017-11-07-general-election-statement-of-votes-cast.zip (SOVC_171121_070327.xlsx)
2017,municipal general,Council,4,Kearns Metro Township Council Seat 4,KEARNS METRO TOWNSHIP CNCL 4,1,2,plurality,58,,TINA SNOW,15,25.86,Write-in,43,-28,-48.28,2255,504,22.35,False,False,aggregate write-in votes exceeded the lone named candidate; the named candidate is certified the winner (scattered write-ins are not a single person),2017-11-07-general-election-statement-of-votes-cast.zip (SOVC_171121_070327.xlsx)
2019,municipal general,Council,1,Kearns Metro Township Council District 1,KEARNS METRO TOWNSHIP COUNCIL DISTRICT 1,1,2,plurality,415,,PATRICK DANIEL SCHAEFFER,211,50.84,SAMUEL J HIGGINSON,204,7,1.69,2100,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,3,Kearns Metro Township Council District 3,KEARNS METRO TOWNSHIP COUNCIL DISTRICT 3,1,2,plurality,400,,CHRYSTAL BUTTERFIELD,273,68.25,RUBY BROWN,127,146,36.5,2469,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,5,Kearns Metro Township Council District 5,KEARNS METRO TOWNSHIP COUNCIL DISTRICT 5,1,2,plurality,544,,KELLY BUSH,377,69.3,BRIAN RICHARDS,167,210,38.6,2524,,,False,False,,2019-11-05-general-election-sovc.xlsx
2021,municipal general,Council,2,Kearns Metro Township Council District 2,KEARNS METRO TOWNSHIP COUNCIL DISTRICT 2,1,2,plurality,108,,ALAN PETERSON,56,51.85,ROYCE GIBSON,52,4,3.7,2685,260,9.68,False,False,,november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Council,4,Kearns Metro Township Council District 4,KEARNS METRO TOWNSHIP COUNCIL DISTRICT 4,1,1,plurality,266,,TINA SNOW,266,100.0,,0,266,100.0,2740,271,9.89,True,False,,november-2-2021-general-election-statement-of-votes-cast.xlsx
