precinct,district,district_area_frac,method,split
MID001,5,0.992,centroid_in_district,no
MID002,2,0.9995,centroid_in_district,no
MID003,2,0.9993,centroid_in_district,no
MID004,2,0.9425,centroid_in_district,no
MID005,1,0.9914,centroid_in_district,no
MID006,1,0.9693,centroid_in_district,no
MID007,1,0.9977,centroid_in_district,no
MID008,5,1.0,centroid_in_district,no
MID009,5,0.998,centroid_in_district,no
MID010,2,0.9975,centroid_in_district,no
MID011,3,1.0,centroid_in_district,no
MID012,3,0.9968,centroid_in_district,no
MID013,1,0.9984,centroid_in_district,no
MID014,1,0.9992,centroid_in_district,no
MID015,1,0.9992,centroid_in_district,no
MID016,1,0.995,centroid_in_district,no
MID017,5,0.9989,centroid_in_district,no
MID018,4,0.9932,centroid_in_district,no
MID019,4,0.999,centroid_in_district,no
MID020,3,0.9999,centroid_in_district,no
MID021,3,0.9987,centroid_in_district,no
MID022,4,0.998,centroid_in_district,no
MID023,4,0.9946,centroid_in_district,no
MID024,3,0.9958,centroid_in_district,no
MID025,1,0.5714,centroid_in_district,yes
MID026,1,1.0,centroid_in_district,no
MID027,1,0.9956,centroid_in_district,no
MID028,1,1.0,centroid_in_district,no
MID029,1,0.9979,centroid_in_district,no
MID030,3,1.0,centroid_in_district,no
MID031,2,0.9986,centroid_in_district,no
MID032,2,0.9739,centroid_in_district,no
MID033,4,0.9665,centroid_in_district,no
MID034,5,0.9973,centroid_in_district,no
MID035,1,0.9988,centroid_in_district,no
MID036,1,0.904,centroid_in_district,no
MID037,4,1.0,centroid_in_district,no
MID038,2,0.9931,centroid_in_district,no
