body_id,body_name,date,flag_class,evidence_url,pmn_title,pmn_files,known_unrecovered,note
2148,Planning Commission,2020-02-05,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/585513.html,NOTICE OF PLANNING COMMISSION MEETING and AGENDA,,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2020-02-18,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/589359.html,ADMINISTRATIVE HEARING AGENDA -18 Feb 2020,,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2020-08-12,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/621981.html,"ADMINISTRATIVE HEARING AGENDA - AUGUST 12, 2020",,,no repo record of this meeting date at all (lower confidence)
2147,City Council,2020-10-06,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/632361.html,City Council Work Session and Business Meeting,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2021-02-03,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/653369.html,NOTICE OF A PUBLIC HEARING - Below Market Rate Housing Requirements of the Planned Development District Ordinance,,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2021-02-17,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/661227.html,Notice of Administrative Hearing,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2021-06-02,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/680775.html,PLANNING COMMISSION MEETING AGENDA,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2021-07-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/686923.html,Notice of a Public Hearing - Zoning Text Amendment to Short-Term Rental Ordinance,,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2022-03-09,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/739929.html,"March 9, 2022 Administrative Hearing Agenda",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2022-07-20,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/769473.html,CITY COUNCIL &amp; PLANNING COMMISSION JOINT WORK SESSION AGENDA,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2022-10-19,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/787727.html,"October 19, 2022 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
2147,City Council,2022-12-06,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/797975.html,City Council Work Session and Business Meeting,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2022-12-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/796051.html,Notice of a Public Hearing - Update to the Affordable Housing Element of the Cottonwood Heights General Plan,,,no repo record of this meeting date at all (lower confidence)
2147,City Council,2022-12-13,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/799496.html,"City Council Work Session, CDRA Meeting and City Council Business Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-02-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/890347.html,"February 7, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-03-06,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/896607.html,"March 6, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-03-06,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/896813.html,"March 6, 2024 Administrative Hearing Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-04-03,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/903093.html,"April 3, 2024 Planning Commission Meeting Agenda",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-04-03,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/903297.html,"March 3, 2024 Administrative Hearing",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-05-01,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/909317.html,"Cottonwood Heights Planning Commission Meeting - May 1, 2024",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-05-01,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/909333.html,"Cottonwood Heights Administrative Hearing - May 1, 2024",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-06-05,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/917535.html,"June 5, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-06-05,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/917773.html,"June 5, 2024 Administrative Hearing",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-07-11,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/925503.html,"Planning Commission Meeting - July 11, 2024",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-08-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/930619.html,"August 7, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-08-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/930585.html,"August 7, 2024 Administrative Hearing Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-09-04,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/936749.html,"September 4, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-09-04,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/936857.html,"Administrative Hearing Agenda - September 4, 2024",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-10-02,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/943073.html,"October 2, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
3287,Administrative Hearings,2024-10-02,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/943179.html,"October 2, 2024 Administrative Hearing Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2024-10-16,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/946333.html,"October 16, 2024 Planning Commission Meeting",,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2025-05-07,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/990252.html,"Notice of Public Hearing - May 7, 2025 Planning Commission",,,no repo record of this meeting date at all (lower confidence)
2147,City Council,2025-06-03,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/996977.html,Notice of Public Hearing - Tentative Budget for 2025-2026 Fiscal Year,,,no repo record of this meeting date at all (lower confidence)
2148,Planning Commission,2025-10-01,agenda_only_gap,https://www.utah.gov/pmn/sitemap/notice/992095.html,"Cottonwood Heights Planning Commission Meeting - October 1, 2025",,,no repo record of this meeting date at all (lower confidence)
