date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,docid,content_length_bytes,size_mb,stored_locally,note
2018-05-14,Community Reinvestment Agency Regular Meeting Agenda,CRA,regular,agenda_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Agenda/_05142018-157,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),,157,197879,0.2,no,
2018-07-09,Community Reinvestment Agency Regular Meeting Agenda,CRA,regular,agenda_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Agenda/_07092018-153,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),,153,187439,0.19,no,
2018-07-26,Community Reinvestment Agency Regular Meeting Agenda,CRA,regular,agenda_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Agenda/_07262018-151,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),,151,196999,0.2,no,
2018-08-13,Community Reinvestment Agency Regular Meeting Agenda,CRA,regular,agenda_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Agenda/_08132018-149,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),,149,194330,0.19,no,
2018-11-13,CRA Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_11132018-184,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2018/2018-11-13_CRA_184.pdf,184,5618774,5.62,yes,
2018-11-26,CRA Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_11262018-187,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2018/2018-11-26_CRA_187.pdf,187,1523711,1.52,yes,
2018-12-10,CRA Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12102018-191,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2018/2018-12-10_CRA_191.pdf,191,1347201,1.35,yes,
2019-01-14,CRA Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01142019-199,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2019/2019-01-14_CRA_199.pdf,199,614165,0.61,yes,
2019-02-11,CRA Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_02112019-207,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2019/2019-02-11_CRA_207.pdf,207,397672,0.4,yes,
2019-04-08,Community Reinvestment Agency Meeting Agenda &amp; Packet,CRA,regular,agenda_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Agenda/_04082019-225,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),,225,3055,0.0,no,
2019-04-22,Community Reinvestment Agency Meeting Agenda and Packet,CRA,regular,full_packet,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_04222019-231,2026-07-06,na,not_extracted (index/join layer; combined PDF retained in sibling meeting_minutes|planning_commission raw/ or re-fetch source_url),meeting_minutes/raw/2019/2019-04-22_CRA_231.pdf,231,752686,0.75,yes,
