city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
provo,Suzanne Q,2021,Council,,0.0,0.0,1,1,summary,
provo,Tom Sitake,2021,Council,,0.0,0.0,1,1,summary,
provo,Katrice MacKay,2021,Council,Citywide I,33325.0,33325.0,1,1,summary,
provo,Aaron Skabelund,2021,Council,Citywide I,30907.62,31761.63,1,1,summary,
provo,Hoc Vu,2021,Council,Citywide I,5166.04,5166.04,1,1,summary,
provo,Landon Johnson,2021,Council,Citywide I,546.14,546.14,1,1,summary,
provo,George Handley,2021,Council,District 2,4201.03,1527.34,1,1,summary,
provo,Rachel Whipple,2021,Council,District 5,11351.84,10383.56,1,1,summary,
provo,Coy D Porter,2021,Council,District 5,5224.91,3257.34,1,1,summary,
provo,Zac Green,2021,Council,District 5,1226.96,488.03,1,1,summary,
provo,Michelle Kaufusi,2021,Mayor,Mayor,51223.0,33752.25,1,1,summary,
provo,Kenneth Dudley,2021,Mayor,Mayor,14941.33,14582.16,1,1,summary,
provo,Neil Mitchell,2021,Mayor,Mayor,5220.0,5220.0,1,1,summary,
provo,Caleb Reeve,2021,Mayor,Mayor,1310.43,1310.43,1,1,summary,
provo,M David Gedo Sanchez,2021,Mayor,Mayor,324.12,324.12,1,1,summary,
provo,Ari Emmanuel Webb,2023,Council,,0.0,0.0,1,1,summary,
provo,McKay R Jensen,2023,Council,Citywide II,25436.0,25436.0,1,1,summary,
provo,Gary Garrett,2023,Council,Citywide II,23091.0,22938.85,1,1,summary,
provo,Joseph Penrose,2023,Council,Citywide II,1147.89,1147.89,1,1,summary,
provo,Wendy Ahlman,2023,Council,Citywide II,491.08,491.08,1,1,summary,
provo,Tanner Bennett,2023,Council,Citywide II,87.71,87.71,1,1,summary,
provo,Nathan Smith Jones,2023,Council,Citywide II,0.0,0.0,1,1,summary,
provo,Craig Christensen,2023,Council,District 1,40723.68,36611.48,1,1,summary,
provo,Stan Jensen,2023,Council,District 1,27811.02,27811.02,1,1,summary,
provo,David Lewis,2023,Council,District 3,8562.91,8562.91,1,1,summary,
provo,Becky Bogdin,2023,Council,District 3,6260.0,6260.0,1,1,summary,
provo,Travis Hoban,2023,Council,District 4,850.0,850.0,1,1,summary,
provo,Adam Shin,2025,Council,Citywide I,24505.0,24355.0,1,1,summary,
provo,Katrice MacKay,2025,Council,Citywide I,19629.27,18413.2,1,1,summary,
provo,Tom Fifita Sitake Sr,2025,Council,Citywide I,1126.11,1126.11,1,1,summary,
provo,Jeff Whitlock,2025,Council,District 2,39230.91,39230.91,1,1,summary,
provo,Hannah Petersen,2025,Council,District 2,22009.52,22009.52,1,1,summary,
provo,Sally Clayton,2025,Council,District 2,500.08,119.89,1,1,summary,
provo,Rachel Whipple,2025,Council,District 5,3775.0,3866.17,1,1,summary,
provo,Shay Aslett,2025,Council,District 5,1775.0,1904.17,1,1,summary,
provo,Sam Blackburn,2025,Council,District 5,1131.89,1131.89,1,1,summary,
provo,Tim Jafek,2025,Council,District 5,175.0,175.0,1,1,summary,
provo,Michelle Kaufusi,2025,Mayor,Mayor,161052.72,156802.73,1,1,summary,
provo,Marsha Judkins,2025,Mayor,Mayor,63522.39,62567.63,1,1,summary,
provo,Eric Mutch,2025,Mayor,Mayor,2727.3,2700.83,1,1,summary,
provo,Thatcher Alain Longman,2025,Mayor,Mayor,255.38,255.38,1,1,summary,
