date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,seat,is_winner,matched_to_results,date_basis,document_id
2021-09-07,Caleb Reeve,Mayor,2021,summary,,2021 Campaign Finance Disclosure — Caleb Reeve (Mayor),https://www.provo.gov/DocumentCenter/View/4456/Caleb-Reeve-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4456_Caleb_Reeve.pdf,Mayor,False,yes,creation_date,4456
2021-11-30,Kenneth Dudley,Mayor,2021,summary,,2021 Campaign Finance Disclosure — Kenneth Dudley (Mayor),https://www.provo.gov/DocumentCenter/View/4461/Kenneth-Dudley-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4461_Kenneth_Dudley.pdf,Mayor,False,yes,creation_date,4461
2021-09-08,M David Gedo Sanchez,Mayor,2021,summary,,2021 Campaign Finance Disclosure — M David Gedo Sanchez (Mayor),https://www.provo.gov/DocumentCenter/View/4463/M-David-Gedo-Sanchez-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4463_M_David_Gedo_Sanchez.pdf,Mayor,False,yes,creation_date,4463
2021-11-29,Michelle Kaufusi,Mayor,2021,summary,,2021 Campaign Finance Disclosure — Michelle Kaufusi (Mayor),https://www.provo.gov/DocumentCenter/View/4464/Michelle-Kaufusi-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4464_Michelle_Kaufusi.pdf,Mayor,True,yes,creation_date,4464
2021-09-07,Neil Mitchell,Mayor,2021,summary,,2021 Campaign Finance Disclosure — Neil Mitchell (Mayor),https://www.provo.gov/DocumentCenter/View/4465/Neil-Mitchell-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4465_Neil_Mitchell.pdf,Mayor,False,yes,creation_date,4465
2021-11-30,Aaron Skabelund,Council,2021,summary,,2021 Campaign Finance Disclosure — Aaron Skabelund (Citywide I),https://www.provo.gov/DocumentCenter/View/4455/Aaron-Skabelund-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4455_Aaron_Skabelund.pdf,Citywide I,False,yes,creation_date,4455
2021-11-29,Coy D Porter,Council,2021,summary,,2021 Campaign Finance Disclosure — Coy D Porter (District 5),https://www.provo.gov/DocumentCenter/View/4457/Coy-D-Porter-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4457_Coy_D_Porter.pdf,District 5,False,yes,creation_date,4457
2021-12-09,George Handley,Council,2021,summary,,2021 Campaign Finance Disclosure — George Handley (District 2),https://www.provo.gov/DocumentCenter/View/4458/George-Handley-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4458_George_Handley.pdf,District 2,True,yes,creation_date,4458
2021-08-02,Hoc Vu,Council,2021,summary,,2021 Campaign Finance Disclosure — Hoc Vu (Citywide I),https://www.provo.gov/DocumentCenter/View/4459/Hoc-Vu-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4459_Hoc_Vu.pdf,Citywide I,False,yes,creation_date,4459
2021-11-29,Katrice MacKay,Council,2021,summary,,2021 Campaign Finance Disclosure — Katrice MacKay (Citywide I),https://www.provo.gov/DocumentCenter/View/4460/Katrice-MacKay-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4460_Katrice_MacKay.pdf,Citywide I,True,yes,creation_date,4460
2021-08-02,Landon Johnson,Council,2021,summary,,2021 Campaign Finance Disclosure — Landon Johnson (Citywide I),https://www.provo.gov/DocumentCenter/View/4462/Landon-Johnson-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4462_Landon_Johnson.pdf,Citywide I,False,yes,creation_date,4462
2021-11-30,Rachel Whipple,Council,2021,summary,,2021 Campaign Finance Disclosure — Rachel Whipple (District 5),https://www.provo.gov/DocumentCenter/View/4466/Rachel-Whipple-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4466_Rachel_Whipple.pdf,District 5,True,yes,creation_date,4466
2021-06-24,Suzanne Q,Council,2021,summary,,2021 Campaign Finance Disclosure — Suzanne Q,https://www.provo.gov/DocumentCenter/View/4467/Suzanne-Q-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4467_Suzanne_Q.pdf,,False,no,creation_date,4467
2021-10-21,Tom Sitake,Council,2021,summary,,2021 Campaign Finance Disclosure — Tom Sitake,https://www.provo.gov/DocumentCenter/View/4468/Tom-Sitake-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4468_Tom_Sitake.pdf,,False,no,latest_period_end,4468
2021-09-09,Zac Green,Council,2021,summary,,2021 Campaign Finance Disclosure — Zac Green (District 5),https://www.provo.gov/DocumentCenter/View/4469/Zac-Green-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2021_4469_Zac_Green.pdf,District 5,False,yes,creation_date,4469
2023-06-27,Ari Emmanuel Webb,Council,2023,summary,,2023 Campaign Finance Disclosure — Ari Emmanuel Webb,https://www.provo.gov/DocumentCenter/View/3797/Ari-Emmanuel-Webb-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3797_Ari_Emmanuel_Webb.pdf,,False,no,signature_date,3797
2023-12-04,Becky Bogdin,Council,2023,summary,,2023 Campaign Finance Disclosure — Becky Bogdin (District 3),https://www.provo.gov/DocumentCenter/View/3791/Becky-Bogdin-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3791_Becky_Bogdin.pdf,District 3,True,yes,creation_date,3791
2023-12-18,Craig Christensen,Council,2023,summary,,2023 Campaign Finance Disclosure — Craig Christensen (District 1),https://www.provo.gov/DocumentCenter/View/3792/Craig-Christensen-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3792_Craig_Christensen.pdf,District 1,True,yes,creation_date,3792
2023-12-19,David Lewis,Council,2023,summary,,2023 Campaign Finance Disclosure — David Lewis (District 3),https://www.provo.gov/DocumentCenter/View/3798/David-Lewis-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3798_David_Lewis.pdf,District 3,False,yes,creation_date,3798
2023-12-18,Gary Garrett,Council,2023,summary,,2023 Campaign Finance Disclosure — Gary Garrett (Citywide II),https://www.provo.gov/DocumentCenter/View/3793/Gary-Garrett-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3793_Gary_Garrett.pdf,Citywide II,True,yes,creation_date,3793
2023-10-03,Joseph Penrose,Council,2023,summary,,2023 Campaign Finance Disclosure — Joseph Penrose (Citywide II),https://www.provo.gov/DocumentCenter/View/3799/Joseph-Penrose-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3799_Joseph_Penrose.pdf,Citywide II,False,yes,creation_date,3799
2023-12-18,McKay R Jensen,Council,2023,summary,,2023 Campaign Finance Disclosure — McKay R Jensen (Citywide II),https://www.provo.gov/DocumentCenter/View/3800/McKay-R-Jensen-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3800_McKay_R_Jensen.pdf,Citywide II,False,yes,creation_date,3800
2023-10-11,Nathan Smith Jones,Council,2023,summary,,2023 Campaign Finance Disclosure — Nathan Smith Jones (Citywide II),https://www.provo.gov/DocumentCenter/View/3801/Nathan-Smith-Jones-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3801_Nathan_Smith_Jones.pdf,Citywide II,False,yes,signature_date,3801
2023-12-18,Stan Jensen,Council,2023,summary,,2023 Campaign Finance Disclosure — Stan Jensen (District 1),https://www.provo.gov/DocumentCenter/View/3802/Stan-Jensen-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3802_Stan_Jensen.pdf,District 1,False,yes,signature_date,3802
2023-10-10,Tanner Bennett,Council,2023,summary,,2023 Campaign Finance Disclosure — Tanner Bennett (Citywide II),https://www.provo.gov/DocumentCenter/View/3803/Tanner-Bennett-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3803_Tanner_Bennett.pdf,Citywide II,False,yes,creation_date,3803
2023-12-19,Travis Hoban,Council,2023,summary,,2023 Campaign Finance Disclosure — Travis Hoban (District 4),https://www.provo.gov/DocumentCenter/View/3794/Travis-Hoban-PDF,2026-07-03,scanned,tesseract OCR (pdftoppm; OSD-derotated),raw/cf_2023_3794_Travis_Hoban.pdf,District 4,True,yes,creation_date,3794
2023-10-10,Wendy Ahlman,Council,2023,summary,,2023 Campaign Finance Disclosure — Wendy Ahlman (Citywide II),https://www.provo.gov/DocumentCenter/View/3804/Wendy-Ahlman-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2023_3804_Wendy_Ahlman.pdf,Citywide II,False,yes,creation_date,3804
2025-09-12,Eric Mutch,Mayor,2025,summary,,2025 Campaign Finance Disclosure — Eric Mutch (Mayor),https://www.provo.gov/DocumentCenter/View/5992/Eric-Mutch-PDF,2026-07-03,scanned,tesseract OCR (pdftoppm; OSD-derotated),raw/cf_2025_5992_Eric_Mutch.pdf,Mayor,False,yes,creation_date,5992
2025-12-04,Marsha Judkins,Mayor,2025,summary,,2025 Campaign Finance Disclosure — Marsha Judkins (Mayor),https://www.provo.gov/DocumentCenter/View/5990/Marsha-Judkins-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5990_Marsha_Judkins.pdf,Mayor,True,yes,creation_date,5990
2025-12-04,Michelle Kaufusi,Mayor,2025,summary,,2025 Campaign Finance Disclosure — Michelle Kaufusi (Mayor),https://www.provo.gov/DocumentCenter/View/5991/Michelle-Kaufusi-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5991_Michelle_Kaufusi.pdf,Mayor,True,yes,creation_date,5991
2025-09-10,Thatcher Alain Longman,Mayor,2025,summary,,2025 Campaign Finance Disclosure — Thatcher Alain Longman (Mayor),https://www.provo.gov/DocumentCenter/View/5989/Thatcher-Alain-Longman-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5989_Thatcher_Alain_Longman.pdf,Mayor,False,yes,creation_date,5989
2025-12-03,Adam Shin,Council,2025,summary,,2025 Campaign Finance Disclosure — Adam Shin (Citywide I),https://www.provo.gov/DocumentCenter/View/6000/Adam-Shin-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_6000_Adam_Shin.pdf,Citywide I,False,yes,creation_date,6000
2025-12-04,Hannah Petersen,Council,2025,summary,,2025 Campaign Finance Disclosure — Hannah Petersen (District 2),https://www.provo.gov/DocumentCenter/View/6002/Hannah-Petersen-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_6002_Hannah_Petersen.pdf,District 2,False,yes,creation_date,6002
2025-12-04,Jeff Whitlock,Council,2025,summary,,2025 Campaign Finance Disclosure — Jeff Whitlock (District 2),https://www.provo.gov/DocumentCenter/View/6001/Jeff-Whitlock-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_6001_Jeff_Whitlock.pdf,District 2,True,yes,creation_date,6001
2025-12-04,Katrice MacKay,Council,2025,summary,,2025 Campaign Finance Disclosure — Katrice MacKay (Citywide I),https://www.provo.gov/DocumentCenter/View/5999/Katrice-MacKay-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5999_Katrice_MacKay.pdf,Citywide I,True,yes,creation_date,5999
2025-12-03,Rachel Whipple,Council,2025,summary,,2025 Campaign Finance Disclosure — Rachel Whipple (District 5),https://www.provo.gov/DocumentCenter/View/5996/Rachel-Whipple-PDF,2026-07-03,scanned,tesseract OCR (pdftoppm; OSD-derotated),raw/cf_2025_5996_Rachel_Whipple.pdf,District 5,True,yes,creation_date,5996
2025-09-11,Sally Clayton,Council,2025,summary,,2025 Campaign Finance Disclosure — Sally Clayton (District 2),https://www.provo.gov/DocumentCenter/View/5997/Sally-Clayton-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5997_Sally_Clayton.pdf,District 2,False,yes,creation_date,5997
2025-12-04,Sam Blackburn,Council,2025,summary,,2025 Campaign Finance Disclosure — Sam Blackburn (District 5),https://www.provo.gov/DocumentCenter/View/5995/Sam-Blackburn-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5995_Sam_Blackburn.pdf,District 5,False,yes,creation_date,5995
2025-11-29,Shay Aslett,Council,2025,summary,,2025 Campaign Finance Disclosure — Shay Aslett (District 5),https://www.provo.gov/DocumentCenter/View/5994/Shay-Aslett-PDF,2026-07-03,scanned,tesseract OCR (pdftoppm; OSD-derotated),raw/cf_2025_5994_Shay_Aslett.pdf,District 5,False,yes,latest_period_end,5994
2025-08-05,Tim Jafek,Council,2025,summary,,2025 Campaign Finance Disclosure — Tim Jafek (District 5),https://www.provo.gov/DocumentCenter/View/5993/Tim-Jafek-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5993_Tim_Jafek.pdf,District 5,False,yes,creation_date,5993
2025-08-06,Tom Fifita Sitake Sr,Council,2025,summary,,2025 Campaign Finance Disclosure — Tom Fifita Sitake Sr (Citywide I),https://www.provo.gov/DocumentCenter/View/5998/Tom-Fifita-Sitake-Sr-PDF,2026-07-03,text,pdftotext -layout,raw/cf_2025_5998_Tom_Fifita_Sitake_Sr.pdf,Citywide I,False,yes,latest_period_end,5998
