geography,geography_type,year,metric,value,scenario,source,source_url,vintage
Alpine,city_area,2020,population,10359,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Alpine,city_area,2030,population,10713,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Alpine,city_area,2040,population,10952,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Alpine,city_area,2050,population,11420,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
American Fork,city_area,2020,population,33501,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
American Fork,city_area,2030,population,42804,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
American Fork,city_area,2040,population,45915,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
American Fork,city_area,2050,population,47773,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Fort,city_area,2020,population,666,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Fort,city_area,2030,population,632,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Fort,city_area,2040,population,598,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Fort,city_area,2050,population,1991,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Hills,city_area,2020,population,10058,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Hills,city_area,2030,population,9916,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Hills,city_area,2040,population,9635,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Cedar Hills,city_area,2050,population,9426,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Draper,city_area,2020,population,3631,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Draper,city_area,2030,population,4463,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Draper,city_area,2040,population,4590,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Draper,city_area,2050,population,4524,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Eagle Mountain,city_area,2020,population,44656,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Eagle Mountain,city_area,2030,population,66512,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Eagle Mountain,city_area,2040,population,100078,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Eagle Mountain,city_area,2050,population,144844,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Elk Ridge,city_area,2020,population,4725,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Elk Ridge,city_area,2030,population,5421,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Elk Ridge,city_area,2040,population,5614,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
Elk Ridge,city_area,2050,population,5841,baseline,Mountainland Association of Governments (MAG) - 2023 RTP Socioeconomic Forecast,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_by_City/FeatureServer/0,MAG 2023 RTP (adopted 2023)
