ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note
2020-O-4,2020-11-12,2020-11-12,Ordinance Supporting Land Use (dog licenses companion),https://www.utah.gov/pmn/files/694967.pdf,2026-07-13,na,,,yes,APPROVED,2020-11-12,m2,within_source,adopted; no PDF on town ordinance list (minutes are sole witness); number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2020-O-5,2020-10-14,2020-10-14,Ordinance Regarding Dog Licenses,https://www.utah.gov/pmn/files/694969.pdf,2026-07-13,na,,,no,APPROVED,2020-10-14,m4,within_source,adopted; no PDF on town ordinance list (minutes are sole witness); number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2021-O-1,2021-04-14,2021-04-14,Ordinances 2021-O-1 Land Use Amendments -,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinances%202021-O-1%203:10:2021%20%E2%80%93%20Land%20Use%20Amendments.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-1.pdf,yes,APPROVED,2021-04-14,m6,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-3,2021-06-30,2021-06-30,Ordinance 2021-O-3 Year Round Fire Restrictions in Town of Alta – 6/30/2021,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-3%20Year%20Round%20Fire%20Restrictions%20in%20Town%20of%20Alta%20%E2%80%93%206:30:202.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-3.pdf,no,APPROVED,2021-06-30,m1,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-4,2021-06-30,2021-06-30,Ordinance 2021-O-4 Fireworks Restrictions,https://storage.googleapis.com/juniper-media-library/130/2024/08/2021-O-4%20Fireworks%20restrictions.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-4.pdf,no,APPROVED,2021-06-30,m2,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-5,2021-07-14,2021-07-14,Ordinance 2021-O-5 Peruvian Estates Short Term Rental Parking,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-5%20Peruvian%20Estates%20Short%20Term%20Rental%20Parking.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-5.pdf,yes,APPROVED (3-2),2021-07-14,m2,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-6,2021-08-11,2021-08-11,Business Licenses ordinance,https://www.utah.gov/pmn/files/758157.pdf,2026-07-13,na,,,no,APPROVED,2021-08-11,m6,within_source,Did Not Pass per town ordinance list; no PDF posted; number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2021-O-7,2021-09-08,2021-09-08,Ordinance 2021-O-7 Permit Parking,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-7%20Permit%20Parking.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2021-O-7.pdf,no,APPROVED,2021-09-08,m6,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-8,2021-09-29,2021-09-29,Ordinance 2021-O-8 Business License Study,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-8%20Business%20License%20Study.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-8.pdf,no,APPROVED (4-1),2021-09-29,m1,high,number cited in council vote motion (independent PDF + motion citation)
2021-O-9,2021-11-10,2021-11-10,Ordinance 2021-O-9 Quasi Public Parking,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-9%20Quasi%20Public%20Parking.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-9.pdf,no,APPROVED,2021-11-10,m5,high,number cited in council vote motion (independent PDF + motion citation)
