date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,raw_path,status,from_compilation
2020-05-12,2020,Municipal Building Authority Special Meeting,municipal-building-authority-special-meeting,MBA,minutes/2020-05-12_municipal-building-authority-special-meeting.md,pmn,https://www.utah.gov/pmn/files/659265.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2020-05-12_MBA.pdf,recovered,N
2020-06-09,2020,Municipal Building Authority Special Meeting,municipal-building-authority-special-meeting,MBA,minutes/2020-06-09_municipal-building-authority-special-meeting.md,pmn,https://www.utah.gov/pmn/files/659279.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2020-06-09_MBA.pdf,recovered,N
2023-01-17,2023,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2023-01-17_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1085499.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-01-17_RDA-special.pdf,recovered,N
2023-06-06,2023,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2023-06-06_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1085523.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-06-06_RDA.pdf,recovered,N
2023-07-11,2023,Redevelopment Agency Meeting,redevelopment-agency-meeting,RDA,minutes/2023-07-11_redevelopment-agency-meeting.md,pmn,https://www.utah.gov/pmn/files/1085535.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-07-11_RDA.pdf,recovered,N
2023-08-15,2023,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2023-08-15_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1085547.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-08-15_RDA.pdf,recovered,N
2023-10-10,2023,Redevelopment Agency Meeting,redevelopment-agency-meeting,RDA,minutes/2023-10-10_redevelopment-agency-meeting.md,pmn,https://www.utah.gov/pmn/files/1085549.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-10-10_RDA.pdf,recovered,N
2023-11-07,2023,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2023-11-07_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1085551.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-11-07_RDA.pdf,recovered,N
2023-11-28,2023,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2023-11-28_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1085559.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2023-11-28_RDA.pdf,recovered,N
2024-04-23,2024,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,minutes/2024-04-23_redevelopment-agency-special-meeting.md,pmn,https://www.utah.gov/pmn/files/1123003.pdf,https://www.utah.gov/pmn/list/notices.html?id=6587,,,2026-07-05,text,pdftotext -layout,raw/ogden_2024-04-23_RDA.pdf,recovered,N
2020-05-12,2020,City Council Joint Work Session,city-council-joint-work-session,Council,minutes/2020-05-12_city-council-joint-work-session.md,pmn,https://www.utah.gov/pmn/files/659305.pdf,https://www.utah.gov/pmn/sitemap/notice/602339.html,6587,659305,2026-07-17,text,pdftotext -layout,raw/ogden_2020-05-12_JWS.pdf,recovered,N
2023-01-17,2023,City Council Joint Work Session,city-council-joint-work-session,Council,minutes/2023-01-17_city-council-joint-work-session.md,pmn,https://www.utah.gov/pmn/files/1085453.pdf,https://www.utah.gov/pmn/sitemap/notice/804227.html,6587,1085453,2026-07-17,text,pdftotext -layout,raw/ogden_2023-01-17_JWS.pdf,recovered,N
2023-10-03,2023,City Council Joint Work Session,city-council-joint-work-session,Council,minutes/2023-10-03_city-council-joint-work-session.md,pmn,https://www.utah.gov/pmn/files/1072283.pdf,https://www.utah.gov/pmn/sitemap/notice/860069.html,6587,1072283,2026-07-17,text,pdftotext -layout,raw/ogden_2023-10-03_JWS.pdf,recovered,N
