year,election_type,office,contest,candidate,votes,pct,rank,is_winner
2019,municipal primary,Council,Logan City Council,Mark A. Anderson,3094,25.33,1,Y
2019,municipal primary,Council,Logan City Council,Jeannie F. Simmonds,2600,21.29,2,Y
2019,municipal primary,Council,Logan City Council,Tom Jensen,2111,17.28,3,Y
2019,municipal primary,Council,Logan City Council,Ken Heare,1530,12.53,4,Y
2019,municipal primary,Council,Logan City Council,Keegan Garrity,1210,9.91,5,Y
2019,municipal primary,Council,Logan City Council,Abraham E. Verdoes,1038,8.5,6,Y
2019,municipal primary,Council,Logan City Council,Gary Poore,631,5.17,7,N
2019,municipal general,Council,Logan City Council,Mark A. Anderson,3837,25.28,1,Y
2019,municipal general,Council,Logan City Council,Jeannie F. Simmonds,3221,21.22,2,Y
2019,municipal general,Council,Logan City Council,Tom Jensen,2546,16.77,3,Y
2019,municipal general,Council,Logan City Council,Ken Heare,2138,14.08,4,N
2019,municipal general,Council,Logan City Council,Keegan Garrity,2106,13.87,5,N
2019,municipal general,Council,Logan City Council,Abraham E. Verdoes,1332,8.77,6,N
2021,municipal primary,Mayor,Logan Mayor,Holly H. Daines,3283,64.74,1,Y
2021,municipal primary,Mayor,Logan Mayor,Dee Jones,1596,31.47,2,Y
2021,municipal primary,Mayor,Logan Mayor,R. Lowell Huber,192,3.79,3,N
2021,municipal general,Council,Logan City Council,Ernesto Lopez,4313,35.11,1,Y
2021,municipal general,Council,Logan City Council,Amy Z. Anderson,4237,34.49,2,Y
2021,municipal general,Council,Logan City Council,Keegan Garrity,3733,30.39,3,N
2021,municipal general,Mayor,Logan Mayor,Holly H. Daines,4100,62.26,1,Y
2021,municipal general,Mayor,Logan Mayor,Dee Jones,2485,37.74,2,N
2023,municipal primary,Council,Logan City Council,MARK A. ANDERSON,2677,21.55,1,Y
2023,municipal primary,Council,Logan City Council,MIKE JOHNSON,2036,16.39,2,Y
2023,municipal primary,Council,Logan City Council,JEANNIE F. SIMMONDS,1925,15.49,3,Y
2023,municipal primary,Council,Logan City Council,JOE NEEDHAM,1753,14.11,4,Y
2023,municipal primary,Council,Logan City Council,KATIE LEE-KOVEN,1662,13.38,5,Y
2023,municipal primary,Council,Logan City Council,ERIN BENNETT,949,7.64,6,Y
2023,municipal primary,Council,Logan City Council,STEFANI A.M. TAYLOR,715,5.75,7,N
2023,municipal primary,Council,Logan City Council,JOSHUA M. MOLITOR,360,2.9,8,N
2023,municipal primary,Council,Logan City Council,MATTHEW FATUESI,347,2.79,9,N
2023,municipal general,Council,Logan City Council,MARK A. ANDERSON,3449,23.57,1,Y
2023,municipal general,Council,Logan City Council,MIKE JOHNSON,2892,19.77,2,Y
2023,municipal general,Council,Logan City Council,JEANNIE F. SIMMONDS,2419,16.53,3,Y
2023,municipal general,Council,Logan City Council,JOE NEEDHAM,2400,16.4,4,N
2023,municipal general,Council,Logan City Council,KATIE LEE-KOVEN,2388,16.32,5,N
2023,municipal general,Council,Logan City Council,ERIN BENNETT,1082,7.4,6,N
2025,municipal primary,Council,Logan City Council,ERNESTO LOPEZ,2500,26.38,1,Y
2025,municipal primary,Council,Logan City Council,KATIE LEE-KOVEN,2115,22.32,2,Y
2025,municipal primary,Council,Logan City Council,MELISSA DAHLE,2075,21.9,3,Y
2025,municipal primary,Council,Logan City Council,BRIAN SEAMONS,1341,14.15,4,Y
2025,municipal primary,Council,Logan City Council,GAIL B. YOST,713,7.52,5,N
2025,municipal primary,Council,Logan City Council,KRISTI FATUESI,329,3.47,6,N
2025,municipal primary,Council,Logan City Council,JOSHUA MICHAEL MOLITOR,311,3.28,7,N
2025,municipal primary,Council,Logan City Council,REILLY SAMUEL FATUESI,92,0.97,8,N
2025,municipal primary,Mayor,Logan Mayor,MARK A. ANDERSON,3283,62.63,1,Y
2025,municipal primary,Mayor,Logan Mayor,ALANNA NAFZIGER,1550,29.57,2,Y
2025,municipal primary,Mayor,Logan Mayor,LEWIS ROESBERRY,208,3.97,3,N
2025,municipal primary,Mayor,Logan Mayor,JERRITT T. BODRERO,150,2.86,4,N
2025,municipal primary,Mayor,Logan Mayor,MATTHEW PAUL FATUESI,51,0.97,5,N
2025,municipal general,Council,Logan City Council,ERNESTO LOPEZ,3985,29.54,1,Y
2025,municipal general,Council,Logan City Council,KATIE LEE-KOVEN,3643,27.0,2,Y
2025,municipal general,Council,Logan City Council,MELISSA DAHLE,3559,26.38,3,N
2025,municipal general,Council,Logan City Council,BRIAN SEAMONS,2304,17.08,4,N
2025,municipal general,Mayor,Logan Mayor,MARK A. ANDERSON,4326,58.83,1,Y
2025,municipal general,Mayor,Logan Mayor,ALANNA NAFZIGER,3027,41.17,2,N
