year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal primary,Council,At-Large,Logan City Council,,3,7,plurality (vote-for-N at-large),,12214,Mark A. Anderson,3094,25.33,Gary Poore,631,407,3.33,,,,,,,
2019,municipal general,Council,At-Large,Logan City Council,,3,6,plurality (vote-for-N at-large),,15180,Mark A. Anderson,3837,25.28,Ken Heare,2138,408,2.69,,,,,,,
2021,municipal primary,Mayor,,Logan Mayor,,1,3,plurality,,5071,Holly H. Daines,3283,64.74,R. Lowell Huber,192,1404,27.69,,,,,,,
2021,municipal general,Council,At-Large,Logan City Council,,2,3,plurality (vote-for-N at-large),,12283,Ernesto Lopez,4313,35.11,Keegan Garrity,3733,504,4.1,,,,,,,
2021,municipal general,Mayor,,Logan Mayor,,1,2,plurality,,6585,Holly H. Daines,4100,62.26,Dee Jones,2485,1615,24.53,,,,,,,
2023,municipal primary,Council,At-Large,Logan City Council,,3,9,plurality (vote-for-N at-large),,12424,MARK A. ANDERSON,2677,21.55,STEFANI A.M. TAYLOR,715,234,1.88,,,,,,,
2023,municipal general,Council,At-Large,Logan City Council,,3,6,plurality (vote-for-N at-large),,14630,MARK A. ANDERSON,3449,23.57,JOE NEEDHAM,2400,19,0.13,,,,,,,
2025,municipal primary,Council,At-Large,Logan City Council,,2,8,plurality (vote-for-N at-large),,9476,ERNESTO LOPEZ,2500,26.38,GAIL B. YOST,713,628,6.63,,,,,,,
2025,municipal primary,Mayor,,Logan Mayor,,1,5,plurality,,5242,MARK A. ANDERSON,3283,62.63,LEWIS ROESBERRY,208,1342,25.6,,,,,,,
2025,municipal general,Council,At-Large,Logan City Council,,2,4,plurality (vote-for-N at-large),,13491,ERNESTO LOPEZ,3985,29.54,MELISSA DAHLE,3559,84,0.62,,,,,,,
2025,municipal general,Mayor,,Logan Mayor,,1,2,plurality,,7353,MARK A. ANDERSON,4326,58.83,ALANNA NAFZIGER,3027,1299,17.67,,,,,,,
