commissioner,first_seen,last_seen,n_meetings
Austin Anderson,2021-03-09,2026-01-13,80
Ben Rogers,2023-01-10,2026-06-23,62
Brandon Anderson,2023-12-19,2026-06-23,50
David Brager,2020-01-14,2020-12-08,16
Elise West,2020-02-09,2022-12-13,32
Emily Andrus,2020-01-14,2024-01-23,68
Kelly Casey,2023-12-19,2026-06-23,41
Kelly Taysom,2026-02-10,2026-06-23,9
Lori Chapman,2022-01-11,2026-06-23,70
Natalie Larsen,2020-01-14,2021-12-14,34
Nathan Fisher,2020-01-14,2026-06-23,105
Ray Draper,2020-01-14,2022-12-13,43
Roger Nelson,2020-01-14,2020-12-08,14
Steve Kemp,2020-02-09,2023-12-12,53
Teri Draper,2023-08-08,2026-06-23,55
Vardell Curtis,2020-01-14,2021-01-26,17
