ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source
,2020-01-14,2020-01-14,"by ordinance, to amend Orem City Code by enacting Section 22-14-21(C) Requirements for Cannabis Production Establishment and Medical Cannabis Pharmacy and amend Appendix A by enacting Standard Land Use Codes 2140 Cannabis Production Establishment (Subject to the requirements of Section 22-14-21(C)) and 5920 Medical Cannabis Pharmacy (Subject to the requirements of Section 22-14-21(C))",meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,6-1 Pass,2020-01-14,2,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council.md
,2020-01-28,2020-01-28,"by ordinance, to amend Orem City Code by amending Section 14-3-3 (Wall Signs) of the Orem City Code by adding the CM Zone as a permitted zone for wall signs",meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,no,6-1 Pass,2020-01-28,2,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council.md
,2020-01-28,2020-01-28,"by ordinance, to amend Orem City Code by amending Section 22-5-3(A) and the zoning map of the City of Orem by changing the zoning on approximately 0.28 acres for property located generally at 166 North 400 West from the R7.5 zone to the R6.5 zone",meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,6-1 Pass,2020-01-28,3,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council.md
,2020-05-26,2020-05-26,"by ordinance, to amend Sections 22-1-5(G) and 22-14-20(I), of the Orem City Code pertaining to neighborhood meeting and noticing",meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,6-0 Pass,2020-05-26,3,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council.md
,2020-06-16,2020-06-16,"by ordinance, to amend Section 22-11-33(F) PD-21 Zone, Student Housing Village, 1200 South Geneva Road of the Orem City Code to allow drive-thru windows",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,7-0 Pass,2020-06-16,4,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md
,2020-06-16,2020-06-16,"by ordinance, to amend Chapter 10 Flood Damage Prevention of the Orem City Code pertaining to updating the ordinance to comply with the State of Utah and FEMA (Federal Emergency Management Agency) standards as it relates to the revised Flood Insurance Rate Map (FIRM) and other requirements outlined by the State and FEMA",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,no,7-0 Pass,2020-06-16,5,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md
,2020-06-16,2020-06-16,"by ordinance, to approve and adopt the Fiscal Year 2020-2021 City of Orem Budget",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,no,7-0 Pass,2020-06-16,6,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md
,2020-07-14,2020-07-14,"by ordinance, to approve amendments to the Fiscal Year 2020-2021 Budget as presented",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,no,7-0 Pass,2020-07-14,2,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council.md
,2020-07-14,2020-07-14,"by ordinance, to amending Sections 22-24-3(F)(1)(a) and 22-24-3(F)(2)(d) ""Design Standards"" of the Orem City Code, pertaining to accessory buildings in the Canyon Crossing District (CXD) zone",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,7-0 Pass,2020-07-14,3,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council.md
,2020-08-11,2020-08-11,"by ordinance, to amend portions of Chapter 2 Land Use and Chapter 6 Transportation of the Orem General Plan updating the Land Use Map and Pedestrian and Bike Path Map and language pertaining to the southwest area, capping the maximum number of units at seven and not eight",meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council.md,2026-07-19,text,reconstructed from meeting_minutes/all_votes.csv motion text (Orem minutes assign no ordinance number),,yes,4-3 Pass,2020-08-11,2,within_source,"backbone derived FROM this motion; number-less, not an independent cross-match",meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council.md
