date,year,title,body,source_url,reason
2017-01-18,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/371801.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-02-15,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/377737.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-02-28,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/380241.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-03-15,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/383321.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-03-22,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/384873.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-04-05,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/387037.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-04-19,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/390161.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-05-09,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/391195.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-06-13,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/400713.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-06-29,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/404167.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-07-11,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/405499.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-07-18,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/407935.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-08-08,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/410557.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-09-12,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/415273.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-10-10,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/421871.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-11-13,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/428671.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-12-11,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/433701.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2017-12-21,2017,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/436251.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-01-08,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/438559.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-02-12,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/445849.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-02-27,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/449085.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-03-12,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/451805.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-04-09,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/456713.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-05-14,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/464479.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-06-11,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/469667.html,"Township-era meeting held; a written 'Meeting Minutes' attachment WAS published to Utah PMN body 5823, but the file object has been purged from PMN's file store (pre-~July-2018 uploads, file_id<~450000, now 404 at /pmn/files/; the notice page retains a stale link). Not retrievable from PMN (www/pmn/secure hosts) nor the Internet Archive as of 2026-07-12. Minutes genuinely absent from disk (not fabricated); recover if PMN restores the pre-2018 file blobs."
2018-10-08,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/490995.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2018-12-10,2018,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/502945.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2019-10-07,2019,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/562647.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2022-11-14,2022,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/793979.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2022-11-28,2022,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/796489.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2023-05-08,2023,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/831001.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2023-09-11,2023,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/857005.html,Township-era meeting held; Utah PMN body 5823 posted only an agenda and MP3 audio for this meeting — NO written 'Meeting Minutes' attachment was ever published. Minutes genuinely absent (not fabricated); confirmed by 2026-07-12 backfill enumeration.
2024-11-12,2024,Council Meeting,Council,https://www.utah.gov/pmn/sitemap/notice/952529.html,City/township meeting held; minutes not yet approved/posted to Utah PMN body 5823 at retrieval (no 'Meeting Minutes' attachment as of 2026-07-12). Minutes genuinely absent (not fabricated); will post when approved.
