date,year,body,doc_status,pages,format,ocr,extraction_confidence,provenance,source_url,md_path,basename,snapshot_url,snapshot_timestamp
2015-01-05,2015,Council,approved,4,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/01-05-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-01-05_council.md,01-05-2015 Approved Council Minutes.pdf,,
2015-01-13,2015,Council,approved,20,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/01-13-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-01-13_council.md,01-13-2015 Approved Council Minutes.pdf,,
2015-01-27,2015,Council,approved,17,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/01-27-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-01-27_council.md,01-27-2015 Approved Council Minutes.pdf,,
2015-02-10,2015,Council,approved,26,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/02-10-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-02-10_council.md,02-10-2015 Approved Council Minutes.pdf,,
2015-03-10,2015,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/03-10-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-03-10_council.md,03-10-2015 Approved Council Minutes.pdf,,
2015-03-24,2015,Council,approved,32,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/03-24-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-03-24_council.md,03-24-2015 Approved Council Minutes.pdf,,
2015-04-14,2015,Council,approved,18,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/04-14-2015a Approved Council Minutes.pdf,legislative/minutes/2015/2015-04-14_council.md,04-14-2015a Approved Council Minutes.pdf,,
2015-04-28,2015,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/04-28-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-04-28_council.md,04-28-2015 Approved Council Minutes.pdf,,
2015-05-12,2015,Council,approved,11,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/05-12-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-05-12_council.md,05-12-2015 Approved Council Minutes.pdf,,
2015-05-26,2015,Council,approved,89,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/05-26-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-05-26_council.md,05-26-2015 Approved Council Minutes.pdf,,
