video_id,video_url,title,channel_tab,parsed_date,is_meeting,minutes_match,slug
MRmxj00RGC8,https://www.youtube.com/watch?v=MRmxj00RGC8,"Ogden City Council Work Session - June 16, 2026",streams,2026-06-16,Y,N,ogden-city-council-work-session-june-16-2026
CAWqeKe7G5c,https://www.youtube.com/watch?v=CAWqeKe7G5c,"Ogden City Council - June 16, 2026",streams,2026-06-16,Y,N,ogden-city-council-june-16-2026
6w9K6F8R5CI,https://www.youtube.com/watch?v=6w9K6F8R5CI,"Ogden City Council Work Session - June 9, 2026",streams,2026-06-09,Y,N,ogden-city-council-work-session-june-9-2026
BHjxY6zYUQs,https://www.youtube.com/watch?v=BHjxY6zYUQs,"Ogden City Council Work Session - June 2, 2026 (Con't)",streams,2026-06-02,Y,N,ogden-city-council-work-session-june-2-2026-con-t
6PJVzyBh5AQ,https://www.youtube.com/watch?v=6PJVzyBh5AQ,"Ogden City Council Work Session - June 2, 2026",streams,2026-06-02,Y,N,ogden-city-council-work-session-june-2-2026
YTNYOi39VeU,https://www.youtube.com/watch?v=YTNYOi39VeU,"Ogden City Council - June 1, 2026",streams,2026-06-01,Y,N,ogden-city-council-june-1-2026
DE5lmBOUIBg,https://www.youtube.com/watch?v=DE5lmBOUIBg,"Ogden City Council Work Session - May 26, 2026",streams,2026-05-26,Y,N,ogden-city-council-work-session-may-26-2026
zfH_xduKws0,https://www.youtube.com/watch?v=zfH_xduKws0,"Ogden City Council - May 26, 2026 (Con't)",streams,2026-05-26,Y,N,ogden-city-council-may-26-2026-con-t
dzdX44y30GY,https://www.youtube.com/watch?v=dzdX44y30GY,"Ogden City Council Work Session - May 19, 2026",streams,2026-05-19,Y,Y,ogden-city-council-work-session-may-19-2026
j2xgOUniIVo,https://www.youtube.com/watch?v=j2xgOUniIVo,"Ogden City Council Work Session (Con't) - May 19, 2026",streams,2026-05-19,Y,Y,ogden-city-council-work-session-con-t-may-19-2026
gbl1FhEiQ_0,https://www.youtube.com/watch?v=gbl1FhEiQ_0,"Ogden City Council Meeting - May 19, 2026",streams,2026-05-19,Y,Y,ogden-city-council-meeting-may-19-2026
OUbYADvdgr8,https://www.youtube.com/watch?v=OUbYADvdgr8,"Ogden City Council Work Session - May 12, 2026",streams,2026-05-12,Y,Y,ogden-city-council-work-session-may-12-2026
e6PxDg3xcKA,https://www.youtube.com/watch?v=e6PxDg3xcKA,"Ogden City Council Work Session (Con't) - May 12, 2026",streams,2026-05-12,Y,Y,ogden-city-council-work-session-con-t-may-12-2026
UfI8Z8LjFh8,https://www.youtube.com/watch?v=UfI8Z8LjFh8,"Ogden City Council Meeting - May 12, 2026",streams,2026-05-12,Y,Y,ogden-city-council-meeting-may-12-2026
DgL6t7LJS-Q,https://www.youtube.com/watch?v=DgL6t7LJS-Q,"Ogden City Council Work Session - May 5, 2026",streams,2026-05-05,Y,Y,ogden-city-council-work-session-may-5-2026
W1Mh6pxpRMk,https://www.youtube.com/watch?v=W1Mh6pxpRMk,"Ogden City Council Meeting - May 5, 2026",streams,2026-05-05,Y,Y,ogden-city-council-meeting-may-5-2026
iPWjhzrD4Fc,https://www.youtube.com/watch?v=iPWjhzrD4Fc,"Ogden City Council Work Session - April 21, 2026",streams,2026-04-21,Y,Y,ogden-city-council-work-session-april-21-2026
zAghtjS1x7E,https://www.youtube.com/watch?v=zAghtjS1x7E,"Ogden City Council Meeting - April 21, 2026",streams,2026-04-21,Y,Y,ogden-city-council-meeting-april-21-2026
