FILING PERIOD: From __2023-01-01__ To __2023-08-29__
NAME OF CANDIDATE _____David_Edward_Garber_____
NAME OF OFFICE ________Orem_City_Councilor________
1. Total contributions of donors more than $50.00 ………$ ___3,065.00___
2. Aggregate total of contributions of $50.00 or less……$ ___111.35____

3. Total campaign expenditures …………………………….$ __2,842.33___
Date _2023-08-29_ Signed ________David_Edward_Garber________

                                      Cash Contributions
Date                                     Name of Donor                             Amount
2023-01-12        David Edward Garber                   via bank transfer                 $100.00
2023-01-23                PayPal              (bank account verification deposits)          $0.35
2023-02-26        David Edward Garber                        via Zelle                    $100.00
2023-03-02              Brian Gray                           via Stripe                    $10.00
2023-03-23             David Brick                           via Stripe                     $1.00
2023-03-29             Ada _____                             via Stripe                     $1.00
2023-04-30            Matthew Wood                           via Stripe                     $1.00
2023-05-01               Egzo Vai                            via Stripe                     $2.00
2023-05-09            Jeanne Basho                           via Stripe                     $1.00
2023-06-04           Marylynn Benner                        via PayPal                     $60.00
2023-06-05              Jen Doud                             via Stripe                    $75.00
2023-06-05            Gary R Lawlor                          via Stripe                    $50.00
2023-06-05        David Edward Garber                   via bank transfer                  $50.00
2023-06-07        David Edward Garber                    via bank deposit                   $5.00
2023-06-07        Emily Marjean Eliason                  via bank deposit                  $80.00
2023-06-08        Emily Marjean Eliason                  via bank deposit               $2,000.00
2023-06-09            Enoch Moore                            via Stripe                   $100.00
2023-06-14        David Edward Garber                        via Zelle                     $45.00
2023-06-20         Jordan Gunderson                         via PayPal                    $100.00
2023-08-07          Thomas D Garber                          via Stripe                    $10.00
2023-08-08             Eric Eliason                          via Stripe                    $10.00
2023-08-14            Barry Roberts                         via PayPal                     $20.00
2023-08-17           Johnathan Allen                         via Stripe                   $100.00
2023-08-18        David Edward Garber                   via bank transfer                 $200.00
2023-08-27          Thomas D Garber                          via Stripe                    $30.00
2023-08-27            Brenda Taylor                          via Stripe                    $25.00
                                                                            TOTAL       $3,176.35
                                     In-Kind Contributions
Date                                     Name of Donor                             Estimated Amount
never                     nobody                               none                         $0.00
                                                                            TOTAL           $0.00
                                       Cash Expenditures
Date          Name of Recipient             Political Purpose                      Amount
2023-01-23    WordPress                     campaign website services                      $51.48
2023-01-23    Proton                        campaign e-mail services                       $47.88
2023-01-23   US Bank                 processing fee                         $1.43
2023-02-27   Yahoo!                  campaign e-mail services               $5.00
2023-03-09   Stripe                  processing fee                         $0.59
2023-03-22   JCPenney                campaign portrait photography         $80.42
2023-03-27   Stripe                  processing fee                         $0.33
2023-03-31   Stripe                  processing fee                         $0.33
2023-04-17   VistaPrint              campaign card design service          $10.73
2023-04-21   VistaPrint              campaign doorhanger design service    $10.73
2023-04-24   WordPress               campaign e-mail address               $28.28
2023-04-25   US Bank                 banking fee                           $36.00
2023-05-03   Stripe                  processing fee                         $0.99
2023-05-11   Stripe                  processing fee                         $0.33
2023-06-04   PayPal                  processing fee                         $1.79
2023-06-08   Stripe                  processing fee                         $9.23
2023-06-09   City of Orem            campaign filing fee                   $75.00
2023-06-09   FACL                    campaign management training          $60.00
2023-06-09   Carol’s Copy Center     campaign parade handout copies        $56.65
2023-06-12   VistaPrint              campaign flyers (1,000)              $193.37
2023-06-12   VistaPrint              campaign doorhangers (1,000)         $169.07
2023-06-12   VistaPrint              campaign cards (1,000)               $108.33
2023-06-12   VistaPrint              campaign card holder (1)               $8.10
2023-06-12   VistaPrint              campaign car magnets (2)             $107.32
2023-06-12   VistaPrint              campaign T-shirt (1)                  $20.10
2023-06-12   VistaPrint              campaign “baseball” cap (1)            $8.60
2023-06-12   Dreamstime.com          campaign website images               $25.00
2023-06-12   Twitter                 Twitter Blue                           $8.00
2023-06-13   Stripe                  processing fee                         $7.20
2023-06-15   Meta for Business       campaign social-media ads              $9.00
2023-06-20   PayPal                  processing fee                         $2.99
2023-06-20   Meta for Business       campaign social-media ads             $20.40
2023-06-22   Meta for Business       campaign social-media ads             $10.00
2023-06-23   PayPal                  processing fee                         $2.33
2023-06-27   Meta for Business       campaign social-media ads             $15.00
2023-07-03   Meta for Business       campaign social-media ads             $25.00
2023-07-10   Dreamstime.com          campaign website images               $13.00
2023-07-11   Meta for Business       campaign social-media ads             $35.00
2023-07-12   Twitter                 Twitter Blue                           $8.00
2023-07-18   Meta for Business       campaign social-media ads             $27.61
2023-07-24   Young Sign and Banner   campaign signs, large (6)            $450.45
2023-07-24   Lowe’s                  campaign sign posts & ties            $75.89
2023-07-31   Meta for Business       campaign social-media ads             $50.00
2023-08-02   Google Ads              campaign social-media ads              $7.36
2023-08-07   VistaPrint              campaign signs, small (100)          $453.42
2023-08-07   VistaPrint              campaign doorhangers (2,000)         $170.40
2023-08-07   VistaPrint              campaign tote bag (1)                 $16.05
2023-08-07   VistaPrint              campaign “baseball” cap (1)            $8.05
2023-08-07   VistaPrint              campaign button stickers (24)         $11.35
2023-08-09   Stripe                  processing fee                         $0.99
2023-08-10   Stripe                  processing fee                         $0.99
2023-08-14         PayPal                                processing fee                                              $0.60
