date,pmn_file_id,bytes,disposition,body_verified,header_date_matches,reason
2021-01-13,680351,13256431,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2021-02-24,720491,22537026,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2021-05-12,1043453,19763164,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2021-06-23,737785,11808958,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2021-09-08,1043471,23859888,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-01-12,1043423,31930113,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-02-09,1043425,16204523,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-02-23,1043431,92973591,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-05-11,853001,53307118,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-05-25,1043439,101238733,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2022-08-24,937439,96276718,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2023-03-08,1043407,15982487,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2023-06-14,1043417,8402260,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2023-12-13,1121631,8143762,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2023-12-27,1140605,52561832,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2024-03-27,1142289,16374773,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2024-05-08,1140487,12669383,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2024-05-22,1140139,61742034,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2024-06-12,1177479,64835736,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2024-06-26,1214663,51963452,ingested,RDA,yes,"real net-new standalone RDA board minutes; in-body header confirms Vineyard Redevelopment Agency Board Meeting for the labeled date; text-layer PDF, no OCR"
2021-01-27,1192525,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2021-01-27 already recovered as pmn_minutes from RDA_2598_690583
2024-08-28,1211791,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2024-08-28 already in audited primary minutes
2025-01-29,1277677,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-01-29 already in audited primary minutes
2025-02-12,1242057,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-02-12 already in audited primary minutes
2025-04-30,1277631,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-04-30 already in audited primary minutes
2025-05-28,1286637,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-05-28 already in audited primary minutes
2025-06-11,1292165,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-06-11 already in audited primary minutes
2025-06-25,1340651,(not fetched),not-promoted,(not fetched - date already covered),n/a,duplicate: 2025-06-25 already in audited primary minutes
