date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,status,internal_meeting_date,date_basis,notice_dates,saved_as,text_path,bytes,fname
2015-01-14,2015,"Vineyard CC — January 14, 2015 TC Final Minutes.pdf",,CC,,utah-pmn,https://www.utah.gov/pmn/files/144083.pdf,,,144083,2026-07-05,na,none,source-unavailable,,notice-approx,2015-01-14,,,,"January 14, 2015 TC Final Minutes.pdf"
2015-01-20,2015,"Vineyard CC — January 20, 2015 TC Final Minutes.pdf",,CC,,utah-pmn,https://www.utah.gov/pmn/files/148925.pdf,,,148925,2026-07-05,na,none,source-unavailable,,notice-approx,2015-01-20,,,,"January 20, 2015 TC Final Minutes.pdf"
2015-01-26,2015,Vineyard CC — Vineyard Council Retreat Final Minutes.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/157329.pdf,,,157329,2026-07-05,na,none,source-unavailable,,notice-approx,2015-01-26,,,,Vineyard Council Retreat Final Minutes.pdf
2015-01-28,2015,"Vineyard CC — January 28, 2015 TC Final Minutes.pdf",,CC,,utah-pmn,https://www.utah.gov/pmn/files/154059.pdf,,,154059,2026-07-05,na,none,source-unavailable,,notice-approx,2015-01-28,,,,"January 28, 2015 TC Final Minutes.pdf"
2015-02-11,2015,"Vineyard CC — February 11, 2015 TC Final Minutes.pdf",,CC,,utah-pmn,https://www.utah.gov/pmn/files/154752.pdf,,,154752,2026-07-05,na,none,source-unavailable,,notice-approx,2015-02-11,,,,"February 11, 2015 TC Final Minutes.pdf"
2015-02-20,2015,Vineyard CC — 2.20.2015 TAC Final Minutes.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/168347.pdf,,,168347,2026-07-05,na,none,source-unavailable,,notice-approx,2015-02-20,,,,2.20.2015 TAC Final Minutes.pdf
2015-02-25,2015,Vineyard CC — Feb25 2015 TC Final Minutes.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/154748.pdf,,,154748,2026-07-05,na,none,source-unavailable,,notice-approx,2015-02-25,,,,Feb25 2015 TC Final Minutes.pdf
2015-02-27,2015,Vineyard CC — 2.27.2015 TC&#039;s YC Swearing in Ceremony.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/144081.pdf,,,144081,2026-07-05,na,none,source-unavailable,,notice-approx,2015-02-27,,,,2.27.2015 TC&#039;s YC Swearing in Ceremony.pdf
2015-03-06,2015,Vineyard CC — 3.6.2015 TAC Final Minutes.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/168349.pdf,,,168349,2026-07-05,na,none,source-unavailable,,notice-approx,2015-03-06,,,,3.6.2015 TAC Final Minutes.pdf
2015-03-11,2015,"Vineyard CC — March 11, 2015 TC Final Minutes.pdf",,CC,,utah-pmn,https://www.utah.gov/pmn/files/154750.pdf,,,154750,2026-07-05,na,none,source-unavailable,,notice-approx,2015-03-11,,,,"March 11, 2015 TC Final Minutes.pdf"
2015-03-25,2015,Vineyard CC — March 25 2015 TC Final Minutes.pdf,,CC,,utah-pmn,https://www.utah.gov/pmn/files/157333.pdf,,,157333,2026-07-05,na,none,source-unavailable,,notice-approx,2015-03-25,,,,March 25 2015 TC Final Minutes.pdf
