year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Mayor,,West Jordan City Mayor,,1,2,,13821,,DIRK BURTON,7205,52.13,JIM RIDING,6616,589,4.26,,,,,,,
2019,municipal general,Council,At-Large,West Jordan City Council At-Large,,1,4,,13298,,KELVIN GREEN,6220,46.77,MIKEY SMITH,4327,1893,14.24,,,,,,,
2019,municipal general,Council,1,West Jordan City Council District 1,,1,2,,3942,,CHRISTOPHER M MCCONNEHEY,1998,50.68,MARILYN RICHARDS,1944,54,1.37,,,,,,,
2019,municipal general,Council,2,West Jordan City Council District 2,,1,2,,3850,,MELISSA WORTHEN,3154,81.92,JOHN PRICE,696,2458,63.84,,,,,,,
2019,municipal general,Council,3,West Jordan City Council District 3,,1,2,,2377,,ZACH JACOB,1366,57.47,AMY L MARTZ,1011,355,14.93,,,,,,,
2019,municipal general,Council,4,West Jordan City Council District 4,,1,2,,3270,,DAVID PACK,1870,57.19,PAMELA BERRY,1400,470,14.37,,,,,,,
2021,municipal general,Council,At-Large,West Jordan City Council At-Large,,3,6,,25128,,PAMELA BLOOM,4951,19.7,CHAD LAMB,4625,326,1.3,,,,,,,
2023,municipal general,Mayor,,West Jordan City Mayor,,1,2,,14445,,DIRK BURTON,8735,60.47,KAYLEEN WHITELOCK,5710,3025,20.94,,,,,,,
2023,municipal general,Council,1,West Jordan City Council District 1,,1,2,,3745,,CHAD LAMB,2417,64.54,RULON GREEN,1328,1089,29.08,,,,,,,
2023,municipal general,Council,2,West Jordan City Council District 2,,1,2,,3740,,BOB BEDORE,2026,54.17,GARY LEANY,1714,312,8.34,,,,,,,
2023,municipal general,Council,3,West Jordan City Council District 3,,1,2,,2907,,ZACH JACOB,1913,65.81,STERLING MORRIS,994,919,31.61,,,,,,,
2023,municipal general,Council,4,West Jordan City Council District 4,,1,2,,3859,,KENT SHELTON,2207,57.19,DAVID F. PACK,1652,555,14.38,,,,,,,
2025,municipal general,Council,At-Large,West Jordan City Council At-Large,,3,6,,33610,,JESSICA WIGNALL,5595,16.65,SERGIO SOTELO,5516,79,0.24,,,,,,,
