date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,date_precision,is_incremental,matched_election_candidate,join_confidence,sha256,duplicate_of
2017-10-31,(multiple candidates — combined filing),,2017,interim,Pre-general combined disclosures (Oct 31 2017),Cottonwood Heights 2017 candidates — combined pre-general financial disclosures (Oct 31 2017),https://municipal.utah.gov/salt%20lake/2017/Cottonwood%20Heights/Candidates%20Financial%20Disclosures%20for%20October%2031%202017.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2017_state_candidates-financial-disclosures-for-october-31-2017.pdf,,state_lg_municipal_disclosures,filename_filing_date,no,,none,ed8a1f0028ea45415900d654a0a1c6c2aceea2e9d00355ba4861f168d5fcfc54,
2017-12-07,(multiple candidates — combined filing),,2017,summary,Year-end combined final reports (Dec 7 2017),Cottonwood Heights 2017 candidates — combined year-end campaign financial reports (Dec 7 2017),https://municipal.utah.gov/salt%20lake/2017/Cottonwood%20Heights/CH%20Municipal%20Campaign%20Financial%20Reports%2012-7-2017.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2017_state_ch-municipal-campaign-financial-reports-12-7-2017.pdf,,state_lg_municipal_disclosures,filename_filing_date,no,,none,8aaeddca7985fb7f831d4e4613e12a38975e8d59dfb713f633979cdc26253a0d,
2017-12-07,(multiple candidates — combined filing),Council,2017,summary,District 3 + amended District 4 combined report,Cottonwood Heights 2017 — District 3 and AMENDED District 4 combined financial report,https://municipal.utah.gov/salt%20lake/2017/Cottonwood%20Heights/Financial%20Report%20-%20Dist%203%20and%20AMENDED%20Dist%204%20NEW.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2017_state_financial-report-dist-3-and-amended-dist-4-new.pdf,,state_lg_municipal_disclosures,cycle_anchor_year_end,no,,none,0170b26be9c11f8ecfbcc860527c9609f1f86b178debbb64fd1ef1f332088fc9,
2017-08-31,Tonia Dalton,Council,2017,statement,Pre-primary financial disclosure (Aug 31 2017),Tonia Dalton — Cottonwood Heights campaign financial disclosure (Aug 31 2017),https://municipal.utah.gov/salt%20lake/2017/Cottonwood%20Heights/Tonia%20Dalton%20Financial%20Disclosure%208-31-17.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2017_state_tonia-dalton-financial-disclosure-8-31-17.pdf,,state_lg_municipal_disclosures,filename_filing_date,no,,none,880b30ab83de61ae3bea57a0f3074716286ff77ce7d85d679f73d4fda70b63a7,
2019-08-13,Christopher McHugh,Council,2019,statement,PRIMARY financial disclosure statement,Christopher McHugh — Cottonwood Heights PRIMARY financial disclosure statement (2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Christopher%20McHugh%20-%20Financial%20Disclosure%20PRIMARY.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_christopher-mchugh-financial-disclosure-primary.pdf,1,state_lg_municipal_disclosures,cycle_anchor_primary_election_day,no,,none,786d41e10c00cf872f1d4d0adb76075b01c54ff7ad7dca22bbc09c5469e7aa63,
2019-09-10,Christopher McHugh,Council,2019,interim,"Report (Sept 10 2019, primary season)",Christopher McHugh — Cottonwood Heights municipal campaign financial report (Sept 10 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Christopher%20McHugh%20-%20Municipal%20Campaign%20Financial%20Reporting%20September%2010%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_christopher-mchugh-municipal-campaign-financial-reporting-september-10-2019.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,,none,cf33a1d5d112ba507b035108089270bb59d270c98d82cd6d53180c7b7656cfe0,
2019-08-13,Deborah Case,Council,2019,statement,PRIMARY financial disclosure statement,Deborah Case — Cottonwood Heights PRIMARY financial disclosure statement (2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Deborah%20Case%20-%20Financial%20Disclosure%20PRIMARY.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_deborah-case-financial-disclosure-primary.pdf,1,state_lg_municipal_disclosures,cycle_anchor_primary_election_day,no,DEBORAH CASE,high,340235c3bcc1bc35801f5de680c5033e458213029c14a9e3ae78b94a14bb9b8c,
2019-08-23,Deborah Case,Council,2019,interim,AMENDED pre-primary report (Aug 23 2019),Deborah Case — AMENDED Cottonwood Heights campaign financial report (Aug 23 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Deborah%20Case%20-%20Amended%20Campaign%20Financial%20Report%208-23-19.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_deborah-case-amended-campaign-financial-report-8-23-19.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,DEBORAH CASE,high,97c5b97e18dc49e21bb1ba56e8b2a18573a2521582d766282b4279b03d3cbf09,
2019-10-01,Deborah Case,Council,2019,interim,Pre-general report (Oct 2019),Deborah Case — Cottonwood Heights campaign financial report (Oct 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Case%2C%20Deborah%20-%20Financial%20Reporting%20Oct%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_case-deborah-financial-reporting-oct-2019.pdf,1,state_lg_municipal_disclosures,label_month,no,DEBORAH CASE,high,d594544b3ef7873923fb4a8bde052f66be7f64094c7aeda084a9e7cac0e682f1,
2019-12-05,Deborah Case,Council,2019,summary,Year-end report (Dec 5 2019),Deborah Case — Cottonwood Heights campaign financial report (Dec 5 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Deborah%20Case%20-%20Financial%20Reporting%20for%20Dec%205%2C%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_deborah-case-financial-reporting-for-dec-5-2019.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,DEBORAH CASE,high,8cdbc5a98a7e72c7c93a1cd9c5100da7ffd9136aafa9d7577457eb7bf8e365e6,
