year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,At-Large,Herriman City Council At-Large,MIKE DAY,1412,32.91,1,True
2007,municipal general,Council,At-Large,Herriman City Council At-Large,MATT ROBINSON,1073,25.01,2,True
2007,municipal general,Council,At-Large,Herriman City Council At-Large,RAQUEL H. DELUCA,1052,24.52,3,False
2007,municipal general,Council,At-Large,Herriman City Council At-Large,MICHELLE BAILEY,736,17.15,4,False
2007,municipal general,Council,At-Large,Herriman City Council At-Large,Write-in,18,0.42,5,False
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,MIKE DAY,366,30.37,1,True
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,MATT ROBINSON,294,24.4,2,True
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,RAQUEL H. DELUCA,210,17.43,3,False
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,MICHELLE BAILEY,176,14.61,4,False
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,JEFFERY MORTON,89,7.39,5,False
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,ETHAN ROBERT CHANDLE,70,5.81,6,False
2009,municipal general,Council,At-Large,Herriman City Council At-Large,MICK SHANNON,1559,33.3,1,True
2009,municipal general,Council,At-Large,Herriman City Council At-Large,CRAIG B. TISCHNER,1158,24.74,2,True
2009,municipal general,Council,At-Large,Herriman City Council At-Large,MICHELLE FACER BAGULEY,1104,23.58,3,False
2009,municipal general,Council,At-Large,Herriman City Council At-Large,JERRY W WALKER,830,17.73,4,False
2009,municipal general,Council,At-Large,Herriman City Council At-Large,Write-in,30,0.64,5,False
2009,municipal general,Mayor,,Herriman City Mayor,JOSH MILLS,1332,53.09,1,True
2009,municipal general,Mayor,,Herriman City Mayor,J. LYNN CRANE,1172,46.71,2,False
2009,municipal general,Mayor,,Herriman City Mayor,Write-in,5,0.2,3,False
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,MICK SHANNON,616,21.84,1,True
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,MICHELLE FACER-BAGULEY,588,20.85,2,True
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,CRAIG B. TISCHNER,458,16.24,3,False
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,JERRY W. WALKER,422,14.96,4,False
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,KEITH G. ADAMS,408,14.47,5,False
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,JEFFERY MORTON,216,7.66,6,False
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,E. TERRY SHARP,112,3.97,7,False
2009,municipal primary,Mayor,,Herriman City Mayor,J. LYNN CRANE,661,43.63,1,True
2009,municipal primary,Mayor,,Herriman City Mayor,JOSH MILLS,549,36.24,2,False
2009,municipal primary,Mayor,,Herriman City Mayor,M.C. RIVETTI,305,20.13,3,False
2011,municipal general,Council,1,Herriman City Council District 1,MATT ROBINSON,382,59.13,1,True
