year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,At-Large,Herriman City Council At-Large,HERRIMAN CITY COUNCIL AT LARGE,2,5,plurality,4291,,MIKE DAY,1412,32.91,RAQUEL H. DELUCA,1052,21,0.49,6452,,,False,False,"At-large, 2 seats -- elected: MIKE DAY (1412); MATT ROBINSON (1073). winner column = top vote-getter; runner_up = highest non-winning candidate; margin = last-seat margin.",2007-11-06-municipal-general-sovc.xls
2007,municipal primary,Council,At-Large,Herriman City Council At-Large,HERRIMAN CITY COUNCIL AT LARGE,2,6,plurality,1205,,MIKE DAY,366,30.37,RAQUEL H. DELUCA,210,84,6.97,6318,,,False,False,"At-large, 2 seats -- elected: MIKE DAY (366); MATT ROBINSON (294). winner column = top vote-getter; runner_up = highest non-winning candidate; margin = last-seat margin.",2007-09-11-municipal-primary-sovc.xls
2009,municipal general,Council,At-Large,Herriman City Council At-Large,HERRIMAN CITY COUNCIL AT LARGE,2,5,plurality,4681,,MICK SHANNON,1559,33.3,MICHELLE FACER BAGULEY,1104,54,1.15,,,,False,False,"At-large, 2 seats -- elected: MICK SHANNON (1559); CRAIG B. TISCHNER (1158). winner column = top vote-getter; runner_up = highest non-winning candidate; margin = last-seat margin.",2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Herriman City Mayor,HERRIMAN CITY MAYOR,1,3,plurality,2509,,JOSH MILLS,1332,53.09,J. LYNN CRANE,1172,160,6.38,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Council,At-Large,Herriman City Council At-Large,HERRIMAN CITY COUNCIL AT LARGE,2,7,plurality,2820,,MICK SHANNON,616,21.84,CRAIG B. TISCHNER,458,130,4.61,,,,False,False,"At-large, 2 seats -- elected: MICK SHANNON (616); MICHELLE FACER-BAGULEY (588). winner column = top vote-getter; runner_up = highest non-winning candidate; margin = last-seat margin.",2009-09-15-municipal-primary-sovc.xls
2009,municipal primary,Mayor,,Herriman City Mayor,HERRIMAN CITY MAYOR,1,3,plurality,1515,,J. LYNN CRANE,661,43.63,JOSH MILLS,549,112,7.39,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,1,Herriman City Council District 1,HERRIMAN CITY COUNCIL 1,1,3,plurality,646,,MATT ROBINSON,382,59.13,JOHN KNOTWELL,263,119,18.42,1796,646,35.97,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,2,Herriman City Council District 2,HERRIMAN CITY COUNCIL 2,1,3,plurality,659,,CORALEE WESSMANMOSER,429,65.1,RAQUEL H DELUCA,224,205,31.11,2523,660,26.16,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,4,Herriman City Council District 4,HERRIMAN CITY COUNCIL 4,1,2,plurality,428,,JOHN MICHAEL DAY,316,73.83,JANET OLANDER,112,204,47.66,2297,429,18.68,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal primary,Council,1,Herriman City Council District 1,HERRIMAN CITY COUNCIL 1,1,3,plurality,340,,MATT ROBINSON,216,63.53,JOHN KNOTWELL,107,109,32.06,1716,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
