year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,DAVE RICHARDS,,96,1,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 2 YEAR,alta,Council,At-Large,,CLIFF CURRY,,63,1,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,STEVEN 'PINEY' GILMA,,94,2,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 2 YEAR,alta,Council,At-Large,,ROGER BOURKE,,48,2,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,ROGER BOURKE,,3,3,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 2 YEAR,alta,Council,At-Large,,WRITE-IN,,0,3,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,CLIFF CURRY,,2,4,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,SAM HOWARD,,2,5,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,WRITE-IN,,2,6,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,BILL LEAVITT,,1,7,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,CREIGHTON HART,,1,8,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,DAVE ABRAHAM,,1,9,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,DEB ROSS,,1,10,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,GUY JORDAN,,1,11,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,ALTA COUNCIL AT LARGE 4 YEAR,alta,Council,At-Large,,SARAH EVANS,,1,12,2,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,ROD L. FLANIGAN,,1175,1,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,BRUCE M. KARTCHNER,,914,2,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,TROY E. CHISHOLM,,717,3,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,MARTHA SPEED,,614,4,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,DON T. WHITE,,613,5,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,BLUFFDALE CITY COUNCIL AT LARGE,bluffdale,Council,At-Large,,WRITE-IN,,36,6,6,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,ALAN SUMMERHAYS,,4143,1,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,TROY K. WALKER,,3672,2,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,BILL COLBERT,,3259,3,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,BART BARKER,,2851,4,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,SCOTT TANNER,,2454,5,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,PAUL TONKS,,2193,6,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,DRAPER CITY COUNCIL AT LARGE,draper,Council,At-Large,,WRITE-IN,,87,7,32,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,HERRIMAN CITY COUNCIL AT LARGE,herriman,Council,At-Large,,MIKE DAY,,1412,1,11,false,2007-11-06-municipal-general-sovc.xls
2007,municipal general,HERRIMAN CITY COUNCIL AT LARGE,herriman,Council,At-Large,,MATT ROBINSON,,1073,2,11,false,2007-11-06-municipal-general-sovc.xls
