year,election_type,office,district,winner,winner_votes,pdf,status
2002,general,Assessor,,LEE GARDNER RE,125066,2002-11-05-general-election.pdf,match
2002,general,Auditor,,CRAIG B. SORENSEN RE,123338,2002-11-05-general-election.pdf,match
2002,general,Clerk,,SHERRIE SWENSEN DE,134339,2002-11-05-general-election.pdf,match
2002,general,Council,1,JOE HATCH DEM,19701,2002-11-05-general-election.pdf,match
2002,general,Council,3,DAVID A. WILDE REP,16949,2002-11-05-general-election.pdf,match
2002,general,Council,5,CORTLUND G. ASHTON REP,19226,2002-11-05-general-election.pdf,match
2002,general,Council,At-Large A,RANDY HORIUCHI DE,108724,2002-11-05-general-election.pdf,match
2002,general,District Attorney,,DAVID E. YOCOM DE,114075,2002-11-05-general-election.pdf,match
2002,general,Recorder,,GARY OTT RE,113485,2002-11-05-general-election.pdf,match
2002,general,Sheriff,,AARON D. KENNARD RE,121314,2002-11-05-general-election.pdf,match
2002,general,Surveyor,,VAUGHN E. BUTLER RE,118925,2002-11-05-general-election.pdf,match
2002,general,Treasurer,,LARRY W RICHARDSON RE,116508,2002-11-05-general-election.pdf,match
2004,general,Auditor,,SEAN THOMAS,175934,2004-11-02-general-election.pdf,match
2004,general,Council,2,MICHAEL H. JENSEN R,37624,2004-11-02-general-election.pdf,match
2004,general,Council,4,MARK CROCKETT R,38052,2004-11-02-general-election.pdf,match
2004,general,Council,6,MARVIN L. HENDRICKSON R,34425,2004-11-02-general-election.pdf,match
2004,general,Council,At-Large B,"JENNIFER ""JENNY"" WILSON",177042,2004-11-02-general-election.pdf,match
2004,general,Mayor,,PETER M. CORROON,174580,2004-11-02-general-election.pdf,match
2006,general,Assessor,,LEE GARDNER (REP),120268,2006-11-07-general-election.pdf,match
2006,general,Auditor,,JEFF HATCH (DEM),107725,2006-11-07-general-election.pdf,match
2006,general,Clerk,,SHERRIE SWENSEN (DEM),126786,2006-11-07-general-election.pdf,match
2006,general,Council,1,JOE HATCH (DEM),22800,2006-11-07-general-election.pdf,match
2006,general,Council,3,DAVID A. WILDE (REP),14319,2006-11-07-general-election.pdf,match
2006,general,Council,5,JEFF ALLEN (REP),20900,2006-11-07-general-election.pdf,match
2006,general,Council,At-Large C,JIM BRADLEY (DEM),111556,2006-11-07-general-election.pdf,match
2006,general,District Attorney,,LOHRA L. MILLER (REP),109579,2006-11-07-general-election.pdf,match
2006,general,Recorder,,GARY OTT (REP),112813,2006-11-07-general-election.pdf,match
2006,general,Sheriff,,JIM WINDER (DEM),140825,2006-11-07-general-election.pdf,match
2006,general,Surveyor,,REID DEMMAN (REP),162158,2006-11-07-general-election.pdf,match
2006,general,Treasurer,,LARRY W RICHARDSON (REP),113438,2006-11-07-general-election.pdf,match
2006,primary,Sheriff,,AARON D. KENNARD,24006,2006-06-27-primary-election.pdf,match
2008,general,Council,2,MICHAEL H. JENSEN (REP),34346,,no-pdf
2008,general,Council,4,JANI IWAMOTO (DEM),38800,,no-pdf
2008,general,Council,6,MAX BURDICK (REP),31695,,no-pdf
2008,general,Council,At-Large A,RANDY HORIUCHI (DEM),193453,,no-pdf
2008,general,Mayor,,PETER M. CORROON (DEM),233655,,no-pdf
2010,general,Assessor,,LEE GARDNER (REP),147370,2010-11-02-general-election.pdf,match
2010,general,Auditor,,GREGORY P. HAWKINS (REP),123807,2010-11-02-general-election.pdf,match
2010,general,Clerk,,SHERRIE SWENSEN (DEM),151691,2010-11-02-general-election.pdf,match
2010,general,Council,1,ARLYN BRADSHAW (DEM),22723,2010-11-02-general-election.pdf,match
2010,general,Council,3,DAVID WILDE (REP),17344,2010-11-02-general-election.pdf,match
2010,general,Council,5,STEVEN L. DEBRY (REP),28471,2010-11-02-general-election.pdf,match
2010,general,Council,At-Large B,RICHARD SNELGROVE (REP),134423,2010-11-02-general-election.pdf,match
2010,general,District Attorney,,SIM GILL (DEM),127611,2010-11-02-general-election.pdf,match
2010,general,Recorder,,GARY W. OTT (REP),144100,2010-11-02-general-election.pdf,match
2010,general,Sheriff,,"JAMES ""JIM"" WINDER (DEM)",140634,2010-11-02-general-election.pdf,match
2010,general,Surveyor,,REID J. DEMMAN (REP),135301,2010-11-02-general-election.pdf,match
2010,general,Treasurer,,K. WAYNE CUSHING (REP),134242,2010-11-02-general-election.pdf,match
2010,primary,Council,1,ARLYN BRADSHAW (DEM),4948,2010-06-22-primary-election.pdf,match
2010,primary,Council,At-Large,RICHARD SNELGROVE (REP),35842,2010-06-22-primary-election.pdf,match
2012,general,Council,2,MICHAEL H. JENSEN (REP),27847,2012-11-06-general-election-with-recount-results.pdf,match
2012,general,Council,4,SAM F. GRANATO (DEM),46673,2012-11-06-general-election-with-recount-results.pdf,match
2012,general,Council,6,MAX L. BURDICK (REP),44294,2012-11-06-general-election-with-recount-results.pdf,match
2012,general,Council,At-Large C,JIM BRADLEY (DEM),194797,2012-11-06-general-election-with-recount-results.pdf,match
2012,general,Mayor,,BEN MCADAMS (DEM),203170,2012-11-06-general-election-with-recount-results.pdf,match
2012,primary,Council,At-Large C,JOSEPH M. DEMMA (REP),35028,2012-06-26-primary-election.pdf,match
2012,primary,Mayor,,MARK CROCKETT (REP),38387,2012-06-26-primary-election.pdf,match
2014,general,Assessor,,KEVIN JACOBS (REP),121592,2014-11-04-general-election.pdf,match
2014,general,Auditor,,SCOTT TINGLEY (REP),113215,2014-11-04-general-election.pdf,match
2014,general,Clerk,,SHERRIE SWENSEN (DEM),142055,2014-11-04-general-election.pdf,match
2014,general,Council,1,ARLYN BRADSHAW (DEM),20933,2014-11-04-general-election.pdf,match
2014,general,Council,3,AIMEE WINDER NEWTON (REP),18521,2014-11-04-general-election.pdf,match
2014,general,Council,5,STEVEN L. DEBRY (REP),30333,2014-11-04-general-election.pdf,match
2014,general,Council,At-Large A,JENNY WILSON (DEM),117626,2014-11-04-general-election.pdf,match
2014,general,District Attorney,,SIM GILL (DEM),114915,2014-11-04-general-election.pdf,match
2014,general,Recorder,,GARY W. OTT (REP),118531,2014-11-04-general-election.pdf,match
2014,general,Sheriff,,JAMES JIM WINDER (DEM),134666,2014-11-04-general-election.pdf,match
2014,general,Surveyor,,REID J. DEMMAN (REP),161154,2014-11-04-general-election.pdf,match
2014,general,Treasurer,,K. WAYNE CUSHING (REP),122221,2014-11-04-general-election.pdf,match
2014,primary,Assessor,,KEVIN JACOBS (REP),14189,2014-06-24-primary-election.pdf,match
2014,primary,Auditor,,JEFF HATCH (DEM),7580,2014-06-24-primary-election.pdf,match
2016,general,Council,2,MICHAEL H. JENSEN (REP),42297,2016-11-08-general-election.pdf,match
2016,general,Council,4,SAM F. GRANATO (DEM),66819,2016-11-08-general-election.pdf,match
