year,election_date,election_type,source_file,sheet,contest,candidate,parsed_sum,certified_total,delta,suppressed_cells,status
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #1,ROB BISHOP,794,794,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #1,KEVIN S. GARN,720,720,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #2,TIM BRIDGEWATER,7619,7619,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #2,JOHN SWALLOW,7915,7915,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #20,ANN W. HARDY,30,30,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #20,LEE STEPHENS,31,31,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #22,RONALD M. HENLINE,254,254,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #22,JOHN H. HOHLBAUCH,106,106,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #34,KORY M. HOLDAWAY,784,784,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #34,"DAVID L. ZOLMAN, SR.",268,268,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #36,SUSAN LAWRENCE,1455,1455,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #36,H. BLAINE WALKER,977,977,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #51,PATRICK R. CASADAY,941,941,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #51,GREG HUGHES,1047,1047,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #1,DONALD DUNN,1682,1682,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,US Rep Dist #1,DAVE THOMAS,697,697,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #26,ANA M. ARCHULETA,283,283,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,St. Rep #26,DAVID LITVACK,389,389,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 GRANITE SCHOOL DISTRICT,CONNIE C. BURGESS,419,419,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 GRANITE SCHOOL DISTRICT,BRENT OVERSON,382,382,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 GRANITE SCHOOL DISTRICT,STACEY D. LIDDIARD,143,143,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,JOSEPH M. GONZALEZ,74,74,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,KELLY D. KILLPACK,175,175,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,EVA L. BELLISTON,157,157,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,HENRY K BERTOCH,302,302,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,DENISE K. DENNIS,79,79,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 GRANITE SCHOOL DISTRICT,DARRYL LARSON,112,112,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 JORDAN SCHOOL DISTRICT,SHERI T. OLSEN,229,229,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 JORDAN SCHOOL DISTRICT,GARY L. ANDERSON,347,347,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 JORDAN SCHOOL DISTRICT,BRYSON GARBETT,589,589,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 JORDAN SCHOOL DISTRICT,ANN C. FORBUSH,519,519,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #3 JORDAN SCHOOL DISTRICT,DICK LOOMIS,330,330,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #6 JORDAN SCHOOL DISTRICT,TANA M NIELSON,145,145,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #6 JORDAN SCHOOL DISTRICT,GEORGE J. CAYIAS,212,212,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #6 JORDAN SCHOOL DISTRICT,DAVID T. JUDD,486,486,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #6 JORDAN SCHOOL DISTRICT,MIKE MARSHALL,134,134,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #6 JORDAN SCHOOL DISTRICT,LYNETTE PHILLIPS,231,231,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 JORDAN SCHOOL DISTRICT,RANDY BRINKERHOFF,429,429,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 JORDAN SCHOOL DISTRICT,MELANIE BARBERI,166,166,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #7 JORDAN SCHOOL DISTRICT,MITZI BODILY,166,166,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #4 SALT LAKE CITY SCHOOL DISTRICT,JOHN DE JONG,236,236,0,0,exact
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,School Prc #4 SALT LAKE CITY SCHOOL DISTRICT,NELSON R. ANDERL,222,222,0,0,exact
