year,election_date,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,certified_votes,votes_basis,rank_in_contest,n_precincts,suppressed,source_file
2002,2002-11-05,general,County Assessor,salt_lake_county,Assessor,,,LEE GARDNER RE,RE,125066,125066,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Assessor,salt_lake_county,Assessor,,,LIZ FEHRMANN DEM,DEM,90880,90880,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Auditor,salt_lake_county,Auditor,,,CRAIG B. SORENSEN RE,RE,123338,123338,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Auditor,salt_lake_county,Auditor,,,MARK A. WHEATLEY DEM,DEM,83593,83593,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Auditor,salt_lake_county,Auditor,,,JIM ELWELL LIB,LIB,9276,9276,exact,3,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Proposition Number 1,salt_lake_county,Ballot Measure,,,For the Issuance of the Bonds,,120096,120096,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Proposition Number 2,salt_lake_county,Ballot Measure,,,For the Issuance of the Bonds,,129266,129266,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Proposition Number 1,salt_lake_county,Ballot Measure,,,Against the Issuance of the Bonds,,75583,75583,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Proposition Number 2,salt_lake_county,Ballot Measure,,,Against the Issuance of the Bonds,,80075,80075,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Clerk,salt_lake_county,Clerk,,,SHERRIE SWENSEN DE,DE,134339,134339,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Clerk,salt_lake_county,Clerk,,,KEITH PROWS REP,REP,83904,83904,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #1,salt_lake_county,Council,1,,JOE HATCH DEM,DEM,19701,19701,exact,1,129,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #1,salt_lake_county,Council,1,,SEAN B. THOMAS REP,REP,10702,10702,exact,2,129,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #1,salt_lake_county,Council,1,,PATRICK C. BEECROFT GRN,GRN,2804,2804,exact,3,129,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #3,salt_lake_county,Council,3,,DAVID A. WILDE REP,REP,16949,16949,exact,1,109,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #3,salt_lake_county,Council,3,,MANUEL ROMERO DEM,DEM,12076,12076,exact,2,109,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #5,salt_lake_county,Council,5,,CORTLUND G. ASHTON REP,REP,19226,19226,exact,1,107,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SLCO Council DISTRICT #5,salt_lake_county,Council,5,,ELIZABETH ROMERO DEM,DEM,10652,10652,exact,2,107,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SL County Council At-Large #A,salt_lake_county,Council,At-Large A,,RANDY HORIUCHI DE,DE,108724,108724,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SL County Council At-Large #A,salt_lake_county,Council,At-Large A,,J BRUCE READING REP,REP,96882,96882,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,SL County Council At-Large #A,salt_lake_county,Council,At-Large A,,DIANA LEE HIRSCHI GRN,GRN,14403,14403,exact,3,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County District Attorney,salt_lake_county,District Attorney,,,DAVID E. YOCOM DE,DE,114075,114075,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County District Attorney,salt_lake_county,District Attorney,,,LOHRA L. MILLER RE,RE,103629,103629,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Recorder,salt_lake_county,Recorder,,,GARY OTT RE,RE,113485,113485,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Recorder,salt_lake_county,Recorder,,,JAN JOHNSON DE,DE,100858,100858,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Sheriff,salt_lake_county,Sheriff,,,AARON D. KENNARD RE,RE,121314,121314,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Sheriff,salt_lake_county,Sheriff,,,BEAU BABKA DEM,DEM,98480,98480,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Surveyor,salt_lake_county,Surveyor,,,VAUGHN E. BUTLER RE,RE,118925,118925,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Surveyor,salt_lake_county,Surveyor,,,KIM W. LUNDEBERG DEM,DEM,94163,94163,exact,2,743,false,2002-11-05-general-canvass.xls
