candidate,election_year,raised,spent,reason,added
LeAnne Huff,2023,2568.87,1411.55,"incremental per-period filer: money is in the pre-general Final adid325 (Col-A $2,568.87 raised / $558.00 spent); interim adid332 $0; year-end adid338 $0 raised / $853.55 spent. Cycle = sum of Column-A 'Total this Period'; generic rule wrongly took the $0 latest year-end 'summary'.",2026-07-17
Nicholas Mitchell,2023,4940.00,4696.55,"final report adid340 printed Column B Year-to-Date = $4,940 raised / $4,696.55 spent (authoritative filer cumulative). Per-period Column-A re-lists a few carryover donors (Garcia/Evans/Romero) across reports so Sigma Column-A overcounts; YTD-not-sum discipline.",2026-07-17
Portia Mila,2023,5022.35,2622.17,"incremental per-period filer: Sigma Column-A 'Total this Period' across adid326 ($2,997.35/$1,122.17) + adid333 ($2,025.00/$1,500.00) + adid339 ($0/$0). Generic rule wrongly took the $0 latest year-end 'summary' adid339.",2026-07-17
Natalie Pinkney,2023,29665.90,28376.63,"final report adid336 printed Column B Year-to-Date = $29,665.90 raised / $28,376.63 spent (= exact sum of the three reports' Column-A). Generic rule took only adid336's own per-period Column-A ($3,075.00/$4,531.55).",2026-07-17
Conrad Campos,2023,6022.98,6022.98,"incremental per-period filer: Sigma Column-A across adid322 ($150.00/$2,423.22) + adid330 ($5,872.98/$3,599.76) + adid337 ($0/$0); the $0 ending balance corroborates raised == spent. Generic rule dropped adid322's Column-A because it is 'summary'-typed.",2026-07-17
Sharla Bynum,2025,4544.12,4544.12,"incremental per-period filer: Sigma Column-A across adid301 ($3,217.13) + adid309 ($1,274.66) + adid317 ($52.33). Generic rule dropped the $52.33 year-end 'summary' adid317.",2026-07-17
Aileen Hampton,2025,982.72,982.72,"incremental per-period filer: Sigma Column-A across adid302 ($225.00/$36.36) + adid310 ($757.72/$889.04) + adid318 ($0/$57.32). Generic rule dropped adid318's $57.32 year-end 'summary' expenditure.",2026-07-17
Conrad Campos,2025,6750.00,7240.71,"real activity is the pre-general adid304 ($6,750.00 raised / $7,175.78 spent); adid311 cover totals are STALE CARRYOVER (a duplicate of adid304's covers) contradicting its own itemized pages (this-period $0 raised / $64.93 spent), so summing covers double-counts; adid320 is $0. Cycle = $6,750 raised / $7,240.71 spent; the -$490.71 ending balance on adid320 confirms (6750-7240.71).",2026-07-17
Cherie Wood,2025,35915.11,34050.26,"final report adid314 printed Column B Year-to-Date = $35,915.11 raised / $34,050.26 spent (= exact sum of the three reports' Column-A). Generic rule (MIXED flag) dropped adid314's own $6,000/$11,523.98 per-period Column-A.",2026-07-17
Brittany Karzen,2025,14969.48,14969.48,"final report adid315 printed Column B Year-to-Date = $14,969.48 raised / $14,969.48 spent (= exact sum of the three reports' Column-A). Generic rule (MIXED flag) dropped adid315's $2,800/$2,800 per-period Column-A.",2026-07-17
