candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Aileen Hampton,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,1189.00,1004.15,0.00,184.85,1189.00,1004.15,True,True,0.00,0.00,1175.00,10,16,raw/2021_state_hampton-aileen.pdf,8c946605,medium,vision-transcribed(read-tool),
Cherie Wood,Mayor,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,16495.00,10296.64,0.00,6198.36,16495.00,10296.66,True,False,0.00,0.02,0.00,61,40,raw/2021_state_wood-cherie.pdf,84ece4b9,low,vision-transcribed(read-tool); expend!=stated,
Clarissa Williams,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,1075.00,1070.47,,4.83,1075.00,1070.47,True,True,0.00,0.00,0.00,9,8,raw/2021_state_williams-clarissa.pdf,50ee4e19,medium,vision-transcribed(read-tool),
Corey Thomas,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,6466.00,4850.78,,1615.22,6436.00,4850.78,False,True,-30.00,0.00,250.00,23,18,raw/2021_state_thomas-corey.pdf,15251f60,low,vision-transcribed(read-tool); contrib!=stated,
Jake Christensen,Mayor,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,7209.02,7113.13,0.00,95.89,7209.02,7113.13,True,True,0.00,0.00,120.00,86,55,raw/2021_state_christensen-jake.pdf,d336fdd6,medium,vision-transcribed(read-tool),
Olivia Spencer,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,3831.00,2564.96,,1246.04,3831.00,2564.96,True,True,0.00,0.00,200.00,17,11,raw/2021_state_spencer-olivia.pdf,5b941a12,medium,vision-transcribed(read-tool),
Sam Garfield,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,1740.00,933.87,,806.13,1740.00,933.87,True,True,0.00,0.00,375.00,16,12,raw/2021_state_garfield-sam.pdf,c7a01592,medium,vision-transcribed(read-tool),
Shane Siwik,Mayor,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,8530.50,8469.37,0.00,61.13,8530.50,8509.17,True,False,0.00,39.80,0.00,14,23,raw/2021_state_siwik-shane.pdf,4afdadf2,low,vision-transcribed(read-tool); expend!=stated,
Sharla Bynum,Council,2021,2021-11-30,2021 cycle filing (state LG tree; single per-candidate file),summary,3597.39,3597.39,0.00,0.00,3397.39,3597.39,False,True,-200.00,0.00,25.05,38,15,raw/2021_state_bynum-sharla.pdf,b6305b58,low,vision-transcribed(read-tool); contrib!=stated,
Conrad Campos,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,150.00,2423.22,0.00,-2273.22,150.00,2423.22,True,True,0.00,0.00,0.00,3,4,raw/2023_adid323_conrad-campos-final-campaign-financial-disclosure.pdf,a6e83d28,medium,vision-transcribed(read-tool),
Jeanette Potter,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_adid324_jeanette-potter-final-campaign-financial-disclosure.pdf,7fbd725e,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
LeAnne Huff,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,2568.87,558.00,2568.87,2010.87,2568.87,558.00,True,True,0.00,0.00,1810.87,4,3,raw/2023_adid325_leanne-huff-final-campaign-financial-disclosure.pdf,9d750c6e,medium,vision-transcribed(read-tool),
Natalie Pinkney,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,23585.90,20207.22,0.00,3378.68,23585.90,20207.22,True,True,0.00,0.00,145.00,202,53,raw/2023_adid322_natalie-pinkney-final-campaign-financial-disclosure.pdf,5858e9f3,medium,vision-transcribed(read-tool),
Nicholas Mitchell,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,4470.00,1630.94,0.00,2839.06,4470.00,1630.94,True,True,0.00,0.00,800.00,30,19,raw/2023_adid327_nicholas-mitchell-final-campaign-financial-disclosure.pdf,618b37fd,high,vision-transcribed(read-tool),
Paul Sanchez,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,1360.00,541.27,0.00,818.73,1360.00,541.27,True,True,0.00,0.00,100.00,13,10,raw/2023_adid328_paul-sanchez-final-campaign-financial-disclosure.pdf,c49f987b,high,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Portia Mila,Council,2023,2023-10-31,Final report (pre-general; through ~Oct 22),summary,2997.35,1122.17,0.00,1875.08,2997.35,1122.17,True,True,0.00,0.00,0.00,14,2,raw/2023_adid326_portia-mila-final-campaign-financial-disclosure.pdf,2628aa9c,medium,vision-transcribed(read-tool),
Conrad Campos,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,5872.98,3599.76,-2273.22,0.00,5872.98,3599.76,True,True,0.00,0.00,5842.98,2,3,raw/2023_adid330_conrad-campos-electionl-campaign-financial-disclosure.pdf,d51a0261,medium,vision-transcribed(read-tool),
Jeanette Potter,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_adid331_jeanette-potter-electionl-campaign-financial-disclosure.pdf,de3f91ab,medium,vision-transcribed(read-tool),
LeAnne Huff,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,0.00,0.00,2568.87,2010.87,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_adid332_leanne-huff-electionl-campaign-financial-disclosure.pdf,7aadf55c,medium,vision-transcribed(read-tool),
Natalie Pinkney,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,3005.00,3637.86,3378.68,2745.82,3005.00,3637.86,True,True,0.00,0.00,0.00,15,9,raw/2023_adid329_natalie-pinkney-electionl-campaign-financial-disclosure.pdf,fc4699a5,medium,vision-transcribed(read-tool),
Nicholas Mitchell,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,330.00,1718.95,2839.06,1450.11,330.00,1718.95,True,True,0.00,0.00,0.00,5,8,raw/2023_adid334_nicholas-mitchell-electionl-campaign-financial-disclosure.pdf,b1f3d787,high,vision-transcribed(read-tool),
Paul Sanchez,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,1585.00,1499.42,818.73,85.58,1585.00,1499.42,True,True,0.00,0.00,100.00,15,17,raw/2023_adid335_paul-sanchez-electionl-campaign-financial-disclosure.pdf,a21b529e,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Portia Mila,Council,2023,2023-11-15,Election-period report (~Oct 23-Nov 8),interim,2025.00,1500.00,1875.08,2400.08,2025.00,1500.00,True,True,0.00,0.00,0.00,5,1,raw/2023_adid333_portia-mila-electionl-campaign-financial-disclosure.pdf,60b8a400,medium,vision-transcribed(read-tool),
Conrad Campos,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_adid337_conrad-campos-final-campaign-financial-disclosure.pdf,2189b53d,medium,vision-transcribed(read-tool),
LeAnne Huff,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,0.00,853.55,2010.87,1157.32,0.00,,True,,0.00,,0.00,0,0,raw/2023_adid338_leanne-huff-final-campaign-financial-disclosure.pdf,fd9f93a5,low,vision-transcribed(read-tool); totals-only(no itemization),
Natalie Pinkney,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,3075.00,4531.55,2745.82,1289.27,2325.00,5281.55,False,False,-750.00,750.00,0.00,12,17,raw/2023_adid336_natalie-pinkney-final-campaign-financial-disclosure.pdf,969e46b7,low,vision-transcribed(read-tool); contrib!=stated; expend!=stated,
Nicholas Mitchell,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,640.00,1703.08,1450.11,387.03,640.00,1703.83,True,False,0.00,0.75,0.00,4,16,raw/2023_adid340_nicholas-mitchell-final-campaign-financial-disclosure.pdf,f5af365c,low,vision-transcribed(read-tool); expend!=stated,
Paul Sanchez,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,1585.00,1504.42,85.58,80.58,1585.00,1504.42,True,True,0.00,0.00,100.00,15,18,raw/2023_adid341_paul-sanchez-final-campaign-financial-disclosure.pdf,8dd3da5a,medium,vision-transcribed(read-tool),
Portia Mila,Council,2023,2023-12-31,Final report (year-end; transactions Nov 15+),summary,0.00,0.00,2400.08,2400.08,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_adid339_portia-mila-final-campaign-financial-disclosure.pdf,0dd7c923,medium,vision-transcribed(read-tool),
Aileen Hampton,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,225.00,36.36,0.00,188.64,225.00,36.36,True,True,0.00,0.00,225.00,2,4,raw/2025_adid302_aileen-hampton-final-campaign-financial-disclosure.pdf,66b45c49,medium,vision-transcribed(read-tool),
Brittany Karzen,Mayor,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,8949.98,5802.69,0.00,3147.29,8949.98,5802.69,True,True,0.00,0.00,2000.00,26,19,raw/2025_adid299_brittany-karzen-final-campaign-financial-disclosure.pdf,35c1bb37,high,vision-transcribed(read-tool),
Cherie Wood,Mayor,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,22080.11,10842.38,0.00,11237.73,22080.11,10842.38,True,True,0.00,0.00,6500.00,41,14,raw/2025_adid298_cherie-wood-final-campaign-financial-disclosure.pdf,115993e6,medium,vision-transcribed(read-tool),
Clarissa Williams,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,150.00,79.51,,70.49,150.00,79.51,True,True,0.00,0.00,0.00,2,1,raw/2025_adid305_clarissa-williams-final-campaign-financial-disclosure.pdf,23d0e20c,high,vision-transcribed(read-tool),
Conrad Campos,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,6750.00,7175.78,0.00,-425.78,6750.00,7175.78,True,True,0.00,0.00,0.00,1,3,raw/2025_adid304_conrad-campos-final-campaign-financial-disclosure.pdf,9e9aca9b,medium,vision-transcribed(read-tool),
Corey Thomas,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,4306.00,1104.97,0.00,3201.03,4306.00,1104.97,True,True,0.00,0.00,286.00,41,12,raw/2025_adid300_corey-thomas-final-campaign-financial-disclosure.pdf,6e254a24,medium,vision-transcribed(read-tool),
Ray deWolfe,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,719.48,719.48,0.00,0.00,719.48,719.48,True,True,0.00,0.00,0.00,6,7,raw/2025_adid303_ray-dewolfe-final-campaign-financial-disclosure.pdf,dcecebd7,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Sharla Bynum,Council,2025,2025-10-07,Pre-general report (Oct 7 / 28-day filing),interim,3217.13,3217.13,0.00,0.00,3217.13,3217.13,True,True,0.00,0.00,17.13,10,7,raw/2025_adid301_sharla-bynum-final-campaign-financial-disclosure.pdf,84e3f2eb,medium,vision-transcribed(read-tool),
Aileen Hampton,Council,2025,2025-10-28,Pre-general report (Oct 28 filing),interim,757.72,889.04,188.64,57.32,757.72,889.04,True,True,0.00,0.00,612.22,9,10,raw/2025_adid310_aileen-hampton-election-campaign-financial-disclosure.pdf,b5f9aa14,medium,vision-transcribed(read-tool),
Brittany Karzen,Mayor,2025,2025-10-28,Pre-general report (Oct 28 filing),interim,3219.50,6366.79,3147.29,0.00,3219.50,6366.79,True,True,0.00,0.00,1044.55,16,8,raw/2025_adid307_brittany-karzen-election-campaign-financial-disclosure.pdf,76c55bac,high,vision-transcribed(read-tool),
Cherie Wood,Mayor,2025,2025-10-28,Pre-general report (Oct 28 filing),interim,7835.00,11683.90,11237.73,7388.83,7835.00,11683.90,True,True,0.00,0.00,0.00,13,9,raw/2025_adid306_cherie-wood-election-campaign-financial-disclosure.pdf,593108bb,medium,vision-transcribed(read-tool),
Clarissa Williams,Council,2025,2025-10-28,Pre-general report (Oct 28 filing),interim,0.00,0.00,70.49,70.49,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025_adid313_clarissa-williams-election-campaign-financial-disclosure.pdf,e39e9056,high,vision-transcribed(read-tool),
